point_count,cell_id,n_民生基础,n_安全韧性,n_噪声,n_住宅,n_物业,n_停车,n_出行,n_管网安全,n_出行安全,n_消防安全,n_环境安全,n_其他,n_ev_投诉,n_ev_求助,n_ev_建议,n_ev_其他,top_community,n_in_xw,n_in_174,in_xw,in_174,top_class9,top_class9_count,top_aspect
1,grid_400_8507_1309,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
3,grid_400_8481_1333,2,1,0,1,1,0,0,0,1,0,0,0,2,1,0,0,,3,0,True,False,住宅,1,民生基础
1,grid_400_8504_1327,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,峡州社区,1,1,True,True,住宅,1,民生基础
3,grid_400_8493_1311,2,1,0,1,0,1,0,1,0,0,0,0,2,1,0,0,朱市街社区,0,3,False,True,住宅,1,民生基础
5,grid_400_8509_1330,5,0,3,1,0,0,1,0,0,0,0,0,4,0,1,0,锦江社区,0,5,False,True,噪声,3,民生基础
2,grid_400_8495_1308,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,,0,0,False,False,物业,1,民生基础
48,grid_400_8480_1333,48,0,19,12,9,3,5,0,0,0,0,0,44,2,2,0,白马山社区,48,35,True,True,噪声,19,民生基础
1,grid_400_8497_1329,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,汕头路社区,1,1,True,True,停车,1,民生基础
1,grid_400_8508_1330,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,锦江社区,0,1,False,True,噪声,1,民生基础
1,grid_400_8502_1335,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,石板社区,1,1,True,True,停车,1,民生基础
7,grid_400_8504_1332,6,1,2,3,1,0,0,0,1,0,0,0,6,1,0,0,石板社区,7,7,True,True,住宅,3,民生基础
34,grid_400_8479_1333,27,7,10,8,5,3,1,1,5,1,0,0,29,5,0,0,白沙路社区,34,34,True,True,噪声,10,民生基础
1,grid_400_8496_1329,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,汕头路社区,1,1,True,True,出行安全,1,安全韧性
4,grid_400_8490_1334,4,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,,4,0,True,False,物业,3,民生基础
1,grid_400_8492_1331,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,1,0,True,False,出行,1,民生基础
1,grid_400_8493_1308,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,False,False,出行安全,1,安全韧性
4,grid_400_8503_1332,1,3,1,0,0,0,0,0,3,0,0,0,1,3,0,0,石板社区,4,4,True,True,出行安全,3,安全韧性
13,grid_400_8478_1333,12,1,6,3,0,3,0,1,0,0,0,0,13,0,0,0,李家湖社区,13,13,True,True,噪声,6,民生基础
1,grid_400_8514_1333,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,False,False,管网安全,1,安全韧性
2,grid_400_8452_1357,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,六泉湖社区,0,2,False,True,噪声,1,民生基础
5,grid_400_8527_1261,5,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,,0,0,False,False,住宅,4,民生基础
1,grid_400_8470_1291,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,False,False,出行安全,1,安全韧性
1,grid_400_8480_1315,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,False,False,出行,1,民生基础
1,grid_400_8491_1316,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,1,0,False,False,出行,1,民生基础
2,grid_400_8513_1333,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,锦云社区,0,2,False,True,停车,2,民生基础
1,grid_400_8477_1333,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,李家湖社区,1,1,True,True,住宅,1,民生基础
1,grid_400_8488_1334,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,True,False,噪声,1,民生基础
1,grid_400_8531_1267,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,物业,1,民生基础
59,grid_400_8490_1331,50,9,14,2,12,10,12,0,7,2,0,0,45,6,8,0,,59,0,True,False,噪声,14,民生基础
1,grid_400_8464_1355,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,False,False,出行,1,民生基础
32,grid_400_8526_1440,28,4,8,9,7,1,3,3,1,0,0,0,28,4,0,0,,0,0,False,False,住宅,9,民生基础
10,grid_400_8512_1333,9,1,2,0,0,7,0,1,0,0,0,0,10,0,0,0,,0,0,False,False,停车,7,民生基础
21,grid_400_8487_1334,17,4,5,4,2,4,2,1,0,3,0,0,17,3,1,0,,21,0,True,False,噪声,5,民生基础
14,grid_400_8489_1331,13,1,7,1,3,2,0,0,1,0,0,0,13,0,1,0,白家冲社区,14,3,True,True,噪声,7,民生基础
2,grid_400_8483_1336,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,东站路社区,2,1,True,False,噪声,1,民生基础
19,grid_400_8525_1440,19,0,3,7,4,3,2,0,0,0,0,0,17,2,0,0,,0,0,False,False,住宅,7,民生基础
10,grid_400_8511_1333,8,2,3,1,0,3,1,2,0,0,0,0,8,1,1,0,锦湖社区,0,10,False,False,噪声,3,民生基础
1,grid_400_8491_1313,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,朱市街社区,0,1,False,True,停车,1,民生基础
1,grid_400_8413_1442,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,False,False,停车,1,民生基础
1,grid_400_8414_1419,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,False,False,出行安全,1,安全韧性
4,grid_400_8488_1331,4,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,枫香树社区,4,4,True,True,住宅,3,民生基础
10,grid_400_8482_1336,10,0,4,0,2,1,3,0,0,0,0,0,10,0,0,0,东站路社区,10,3,True,False,噪声,4,民生基础
12,grid_400_8499_1332,7,5,1,3,1,1,1,1,2,2,0,0,9,2,1,0,汕头路社区,12,12,True,True,住宅,3,民生基础
10,grid_400_8530_1438,8,2,7,0,0,0,1,1,1,0,0,0,9,0,1,0,,0,0,False,False,噪声,7,民生基础
1,grid_400_8535_1441,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
2,grid_400_8437_1465,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,False,False,噪声,2,民生基础
59,grid_400_8487_1331,52,7,7,28,8,7,2,1,2,4,0,0,56,2,1,0,枫香树社区,59,59,True,True,住宅,28,民生基础
16,grid_400_8481_1336,13,3,8,0,2,2,1,0,0,3,0,0,14,1,1,0,东站路社区,16,13,True,False,噪声,8,民生基础
1,grid_400_8487_1316,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,五龙社区,0,1,False,True,物业,1,民生基础
7,grid_400_8407_1359,7,0,5,0,0,1,1,0,0,0,0,0,6,1,0,0,,0,0,False,False,噪声,5,民生基础
5,grid_400_8474_1338,5,0,1,0,1,1,2,0,0,0,0,0,4,1,0,0,,5,0,True,False,出行,2,民生基础
78,grid_400_8480_1336,70,8,25,7,8,23,7,4,3,1,0,0,68,6,4,0,,78,0,True,False,噪声,25,民生基础
16,grid_400_8528_1438,15,1,3,6,3,1,2,1,0,0,0,0,16,0,0,0,,0,0,False,False,住宅,6,民生基础
1,grid_400_8404_1362,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,False,False,停车,1,民生基础
5,grid_400_8448_1354,4,1,0,2,1,1,0,0,0,1,0,0,2,3,0,0,蔡家畈社区,0,5,False,True,住宅,2,民生基础
10,grid_400_8493_1319,7,3,4,1,1,1,0,2,1,0,0,0,7,3,0,0,夷陵路社区,10,10,True,True,噪声,4,民生基础
6,grid_400_8485_1331,4,2,2,0,1,1,0,2,0,0,0,0,5,1,0,0,,6,0,True,False,噪声,2,民生基础
12,grid_400_8479_1336,9,3,4,0,1,1,3,1,2,0,0,0,10,1,1,0,,12,0,True,False,噪声,4,民生基础
12,grid_400_8520_1339,11,1,1,2,1,7,0,1,0,0,0,0,12,0,0,0,,0,0,False,False,停车,7,民生基础
4,grid_400_8478_1344,3,1,2,0,1,0,0,0,1,0,0,0,2,2,0,0,花溪路社区,4,4,True,True,噪声,2,民生基础
3,grid_400_8447_1354,3,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,蔡家畈社区,0,3,False,True,出行,2,民生基础
24,grid_400_8492_1319,21,3,3,6,5,7,0,2,0,1,0,0,17,7,0,0,新隆康路社区,24,24,True,True,停车,7,民生基础
348,grid_400_8478_1336,322,26,134,46,56,67,19,18,3,5,0,0,319,22,7,0,八一路社区,348,1,True,True,噪声,134,民生基础
15,grid_400_8466_1343,13,2,1,7,5,0,0,0,2,0,0,0,14,1,0,0,磨盘社区,0,15,False,True,住宅,7,民生基础
1,grid_400_8483_1339,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,1,0,True,True,停车,1,民生基础
1,grid_400_8512_1289,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,False,False,物业,1,民生基础
