社区,area_km2,bldg_n,resi_km2
竹涛山社区,0.24699574101084604,35.0,0.020691573145302136
江山社区,0.32588777899738,96.0,0.05758087982373037
花溪路社区,2.0996166274889383,31.0,0.02086928778477008
李家湖社区,0.39085491909600895,38.0,0.027744556549017464
四方堰社区,0.1575406341194584,65.0,0.02724828837686222
翁家堰社区,0.12230625982252441,53.0,0.02362995649434431
唐家湾社区,0.8331321786071991,15.0,0.01158450035834681
望洲社区,0.3483347163820872,425.0,0.08786046828105956
峡州社区,0.3285072083075165,34.0,0.014369433969760767
常家湾社区,0.19340733300107676,82.0,0.041872118345262783
金安岭社区,0.19030687452416517,56.0,0.039858009424470375
平湖馨苑社区,0.17518781025247407,46.0,0.045430888244958216
镇境山社区,0.28489547867118364,78.0,0.04254428540704787
镇平路社区,0.3492160320829292,203.0,0.10032357970454159
白龙井社区,0.5943466105480959,111.0,0.04593781632329144
绿萝路社区,0.19415996677995695,52.0,0.03908007692733619
茶庵社区,0.36284964380453955,167.0,0.04092007148848392
福久源社区,0.2879368252129897,59.0,0.016813844543751334
解放路社区,0.17959038408792938,50.0,0.026392105703441495
长樵溪社区,0.19840311096743857,51.0,0.03565236277803086
鑫鼎社区,0.33320269490504395,8.0,0.00480081970012554
气象台社区,0.4492466597828349,69.0,0.041496298129931816
石板溪社区,0.1824654475571495,80.0,0.057172412486287114
铁路坝社区,0.24018512444888973,56.0,0.04307029844365168
胡家冲社区,0.31532844395816034,53.0,0.032151272730571605
松林路社区,0.22588349741048744,11.0,0.009578584972132587
青岛路社区,1.2914184887568831,35.0,0.031529077481648
南苑社区,0.48147124277261666,122.0,0.054005065703254605
山河园路社区,0.25130969153427746,31.0,0.01882297178229123
艾家嘴社区,0.8647559272138877,166.0,0.0807268765186768
古塔社区,0.590280659624233,68.0,0.040861005790054056
东山花园社区,0.5289175894828887,100.0,0.07609875392841625
城东社区,0.42050846981894413,109.0,0.07808104640564614
廖家湾社区,0.35489409512765335,36.0,0.024664948591941203
学堂湾社区,0.5596359397852347,62.0,0.037487253914718015
叶家坝社区,0.7175608205166195,26.0,0.018924103158107983
汕头路社区,3.180385339188553,39.0,0.030673913740386145
深圳路社区,0.363686308987658,127.0,0.08586224903873872
珠海路社区,0.548008452559792,42.0,0.03658252706491372
苏家榜社区,0.31608298923540357,70.0,0.039667395909295564
王家坝社区,0.7132863302902659,94.0,0.055694966674593616
长江社区,1.2308382606661796,55.0,0.050108231053675054
东锦苑社区,0.6289315025302938,38.0,0.021492130931459005
白家冲社区,0.38796431253279223,66.0,0.0471426071932111
韩家坝社区,0.20911868765890884,40.0,0.032857305456293895
合益路社区,0.28694391768862104,54.0,0.042454722407043025
宝联社区,0.722575362722934,94.0,0.05159950629725509
东星社区,0.5136883661619005,30.0,0.022865738634312197
魏家湾社区,0.48285254079776824,103.0,0.03019607418482223
徐家坝社区,0.2524392460822421,129.0,0.02218261375676818
岳家冲社区,0.16762790834921643,29.0,0.02485162875114182
北山坡社区,0.14257782690825688,68.0,0.03319439404002969
岳湾路社区,0.5303052562788673,83.0,0.06373622418075824
中南路社区,0.1897055702785351,28.0,0.022903588362667204
张家坡社区,0.25721046785904333,85.0,0.04230185176654287
金家台社区,0.19127098485130223,63.0,0.02898464087870884
港务社区,0.29778494658391214,106.0,0.05096656393850951
环城东路社区,0.1302662763553754,64.0,0.034838509404036704
胜利二路社区,0.2937001635977891,30.0,0.02452748304573265
张家店社区,0.16771456038632548,80.0,0.03140777047435553
胜利四路社区,0.23648954935887614,44.0,0.028462761028837474
新隆康路社区,0.2667614147030625,130.0,0.06005376073504424
建设社区,0.3081234590168105,66.0,0.028646408347113607
万达社区,0.38603090929269407,69.0,0.03678963973487424
杨岔路社区,0.384383215872779,63.0,0.03018751546953986
八一路社区,0.3781411293886754,58.0,0.033148545046578964
白沙脑社区,0.23867668809503978,26.0,0.018325281192742234
东艳路社区,0.19038474965376706,28.0,0.01727495819299984
花艳社区,1.5914616182016916,23.0,0.013841282469171257
白马山社区,0.2635220767920432,31.0,0.024135624327342037
白沙路社区,0.2993244084356639,39.0,0.026904266477885436
桔城路社区,0.5193814294289878,73.0,0.04475722206733513
墨池巷社区,0.16637833471404015,24.0,0.02083847339517351
临江溪社区,0.9191560971757422,8.0,0.00506865998176888
龙盘湖社区,2.1628734234162583,363.0,0.11256373918354005
柏临河路社区,1.9192683521326808,60.0,0.04248887261144095
沈家店社区,0.2605152366695955,21.0,0.011808723879430343
王家河社区,0.4348553808844383,66.0,0.03829887921772783
伍临路社区,0.48281000102584687,55.0,0.027799031726926896
东站路社区,0.7615922221029092,41.0,0.03243569054268235
枫香树社区,1.2221850216095247,28.0,0.022336871576045542
西峡社区,0.2575131596177812,78.0,0.04876105846506202
光明路社区,0.18197609483135793,83.0,0.04161745837485339
三峡物流园社区,1.0493339460527145,23.0,0.016871628028187483
金巴岭社区,2.1863109775439864,16.0,
张家湾社区,0.849480117963023,39.0,0.03000639525221945
临江坪社区,0.9939984806145629,,
石子岭社区,0.1921953870112926,60.0,0.046016507000892506
东方社区,0.14926656118921733,39.0,0.032398184663935015
东湖社区,0.2373096652212995,654.0,0.31239617996278934
锦绣社区,0.1494277806126075,30.0,0.023668551183441952
