社区,市政管网,安全消防,住房,总点数,总占比%,覆盖类数,排序,严重度
西峡社区,15,25,42,82,8.84,5,1,严重
深圳路社区,18,30,30,78,8.41,5,2,严重
金安岭社区,19,14,40,73,7.87,5,3,严重
镇境山社区,21,16,30,67,7.22,5,4,严重
幸福路社区,5,13,30,48,5.17,5,5,严重
新隆康路社区,8,11,28,47,5.06,5,6,严重
丫口社区,13,7,7,27,2.91,5,7,严重
二马路社区,3,1,21,25,2.69,5,8,严重
果园路社区,9,1,15,25,2.69,5,8,严重
东门外正街社区,0,22,0,22,2.37,3,10,严重
绿萝路社区,2,13,6,21,2.26,5,11,严重
环城东路社区,2,0,19,21,2.26,4,11,严重
桔城路社区,6,12,2,20,2.16,5,13,严重
刘家大堰社区,14,0,6,20,2.16,4,13,严重
合益路社区,0,0,18,18,1.94,3,15,较严重
东湖社区,0,6,11,17,1.83,4,17,较严重
桥北社区,4,6,7,17,1.83,5,17,较严重
王家河社区,0,14,3,17,1.83,4,17,较严重
清波路社区,1,4,10,15,1.62,5,19,较严重
桃花岭社区,0,1,14,15,1.62,4,19,较严重
常家湾社区,2,0,12,14,1.51,4,22,较严重
肖家岗社区,0,0,14,14,1.51,3,22,较严重
镇平路社区,2,3,9,14,1.51,5,22,较严重
汕头路社区,4,5,5,14,1.51,5,22,较严重
赵家湾社区,2,1,10,13,1.4,5,25,较严重
香锦社区,3,0,10,13,1.4,4,25,较严重
韩家坝社区,4,4,3,11,1.19,5,27,较严重
夷陵路社区,0,0,10,10,1.08,3,28,较严重
樵湖岭社区,9,1,0,10,1.08,4,28,较严重
土街头社区,0,1,8,9,0.97,4,30,较严重
苏家榜社区,4,4,0,8,0.86,4,31,较严重
城东社区,4,0,4,8,0.86,4,31,较严重
朝阳路社区,2,1,4,7,0.75,5,33,较严重
胜利四路社区,1,0,5,6,0.65,4,35,较严重
石子岭社区,4,0,2,6,0.65,4,35,较严重
光明路社区,1,1,4,6,0.65,5,35,较严重
胜利二路社区,0,6,0,6,0.65,3,35,较严重
中书街社区,1,0,4,5,0.54,4,38,较严重
北山坡社区,1,2,2,5,0.54,5,38,较严重
白马山社区,0,0,4,4,0.43,3,43,较严重
体育场路社区,0,3,1,4,0.43,4,43,较严重
叶家坝社区,0,0,4,4,0.43,3,43,较严重
墨池巷社区,2,2,0,4,0.43,4,43,较严重
夜明珠社区,0,0,4,4,0.43,3,43,较严重
铁路坝社区,0,2,2,4,0.43,4,43,较严重
东艳路社区,0,0,4,4,0.43,3,43,较严重
学堂湾社区,1,0,2,3,0.32,4,50,较严重
杨岔路社区,1,0,2,3,0.32,4,50,较严重
小林园社区,0,0,3,3,0.32,3,50,较严重
船柴社区,0,3,0,3,0.32,3,50,较严重
尚书巷社区,0,2,1,3,0.32,4,50,较严重
宝联社区,0,0,3,3,0.32,3,50,较严重
长江社区,2,0,1,3,0.32,4,50,较严重
黄河路社区,0,0,3,3,0.32,3,50,较严重
英雄山社区,0,0,2,2,0.22,3,57,较严重
艾家嘴社区,0,0,2,2,0.22,3,57,较严重
金家台社区,0,1,1,2,0.22,4,57,较严重
四方堰社区,0,0,2,2,0.22,3,57,较严重
港务社区,0,0,2,2,0.22,3,57,较严重
珠海路社区,0,1,1,2,0.22,4,57,较严重
张家坡社区,0,0,1,1,0.11,3,65,较严重
山庄路社区,0,1,0,1,0.11,3,65,较严重
山河园路社区,0,0,1,1,0.11,3,65,较严重
大学路社区,1,0,0,1,0.11,3,65,较严重
翁家堰社区,0,0,1,1,0.11,3,65,较严重
环城北路社区,0,0,1,1,0.11,3,65,较严重
气象台社区,1,0,0,1,0.11,3,65,较严重
八一路社区,0,0,1,1,0.11,3,65,较严重
青岛路社区,0,0,1,1,0.11,3,65,较严重
长樵溪社区,0,0,1,1,0.11,3,65,较严重
