社区,市政管网,安全消防,住房,总点数,总占比%,覆盖类数,排序,严重度
润城社区,39,44,19,102,24.52,3,1,严重
五龙社区,12,28,48,88,21.15,3,2,严重
六泉湖社区,0,16,20,36,8.65,2,3,严重
峡江社区,2,14,15,31,7.45,3,4,严重
锦江社区,0,24,0,24,5.77,1,5,严重
丁家坝社区,0,12,5,17,4.09,2,6,较严重
长江市场社区,1,5,10,16,3.85,3,7,较严重
朝阳社区,3,3,7,13,3.12,3,8,较严重
绿洲社区,0,0,10,10,2.4,1,9,一般
营盘社区,0,6,3,9,2.16,2,10,一般
红光社区,1,0,8,9,2.16,2,11,一般
梅子溪社区,0,2,5,7,1.68,2,12,一般
谭家榜社区,1,1,5,7,1.68,3,13,一般
虎牙社区,1,1,3,5,1.2,3,14,一般
古老背社区,1,2,2,5,1.2,3,15,一般
双桥社区,0,4,1,5,1.2,2,16,一般
七里新村社区,0,4,0,4,0.96,1,17,一般
锦湖社区,0,4,0,4,0.96,1,18,一般
朱市街社区,0,0,3,3,0.72,1,19,一般
桐岭新村社区,1,2,0,3,0.72,2,20,一般
鸡山社区,1,1,1,3,0.72,3,21,一般
云池社区,0,0,2,2,0.48,1,22,一般
平云社区,0,2,0,2,0.48,1,23,一般
石板冲社区,0,0,2,2,0.48,1,24,一般
港虹社区,0,0,2,2,0.48,1,25,一般
黄金卡社区,0,1,1,2,0.48,2,26,一般
桐岭社区,0,2,0,2,0.48,1,27,一般
黄龙寺社区,0,0,1,1,0.24,1,28,一般
望江社区,0,0,1,1,0.24,1,29,一般
谭家河社区,0,1,0,1,0.24,1,30,一般
