社区,市政管网,安全消防,住房,总点数,总占比%,覆盖类数,排序,严重度
润城社区,39,44,19,102,7.59,3,1,严重
五龙社区,12,28,48,88,6.55,3,2,严重
西峡社区,15,25,42,82,6.1,3,3,严重
深圳路社区,18,30,30,78,5.8,3,4,严重
金安岭社区,19,14,40,73,5.43,3,5,严重
镇境山社区,21,16,30,67,4.99,3,6,较严重
幸福路社区,5,13,30,48,3.57,3,7,较严重
新隆康路社区,8,11,28,47,3.5,3,8,较严重
六泉湖社区,0,16,20,36,2.68,2,9,一般
峡江社区,2,14,15,31,2.31,3,10,一般
丫口社区,13,7,7,27,2.01,3,11,一般
二马路社区,3,1,21,25,1.86,3,12,一般
果园路社区,9,1,15,25,1.86,3,13,一般
锦江社区,0,24,0,24,1.79,1,14,一般
东门外正街社区,0,22,0,22,1.64,1,15,一般
绿萝路社区,2,13,6,21,1.56,3,16,一般
环城东路社区,2,0,19,21,1.56,2,17,一般
桔城路社区,6,12,2,20,1.49,3,18,一般
刘家大堰社区,14,0,6,20,1.49,2,19,一般
合益路社区,0,0,18,18,1.34,1,20,一般
桥北社区,4,6,7,17,1.26,3,21,一般
王家河社区,0,14,3,17,1.26,2,22,一般
丁家坝社区,0,12,5,17,1.26,2,23,一般
东湖社区,0,6,11,17,1.26,2,24,一般
长江市场社区,1,5,10,16,1.19,3,25,一般
清波路社区,1,4,10,15,1.12,3,26,一般
桃花岭社区,0,1,14,15,1.12,2,27,一般
常家湾社区,2,0,12,14,1.04,2,28,一般
镇平路社区,2,3,9,14,1.04,3,29,一般
肖家岗社区,0,0,14,14,1.04,1,30,一般
汕头路社区,4,5,5,14,1.04,3,31,一般
朝阳社区,3,3,7,13,0.97,3,32,一般
赵家湾社区,2,1,10,13,0.97,3,33,一般
香锦社区,3,0,10,13,0.97,2,34,一般
韩家坝社区,4,4,3,11,0.82,3,35,一般
夷陵路社区,0,0,10,10,0.74,1,36,一般
绿洲社区,0,0,10,10,0.74,1,37,一般
樵湖岭社区,9,1,0,10,0.74,2,38,一般
红光社区,1,0,8,9,0.67,2,39,一般
营盘社区,0,6,3,9,0.67,2,40,一般
土街头社区,0,1,8,9,0.67,2,41,一般
苏家榜社区,4,4,0,8,0.6,2,42,一般
城东社区,4,0,4,8,0.6,2,43,一般
朝阳路社区,2,1,4,7,0.52,3,44,一般
谭家榜社区,1,1,5,7,0.52,3,45,一般
梅子溪社区,0,2,5,7,0.52,2,46,一般
胜利四路社区,1,0,5,6,0.45,2,47,一般
石子岭社区,4,0,2,6,0.45,2,48,一般
光明路社区,1,1,4,6,0.45,3,49,一般
胜利二路社区,0,6,0,6,0.45,1,50,一般
北山坡社区,1,2,2,5,0.37,3,51,一般
中书街社区,1,0,4,5,0.37,2,52,一般
虎牙社区,1,1,3,5,0.37,3,53,一般
双桥社区,0,4,1,5,0.37,2,54,一般
古老背社区,1,2,2,5,0.37,3,55,一般
白马山社区,0,0,4,4,0.3,1,56,一般
体育场路社区,0,3,1,4,0.3,2,57,一般
叶家坝社区,0,0,4,4,0.3,1,58,一般
墨池巷社区,2,2,0,4,0.3,2,59,一般
夜明珠社区,0,0,4,4,0.3,1,60,一般
铁路坝社区,0,2,2,4,0.3,2,61,一般
东艳路社区,0,0,4,4,0.3,1,62,一般
锦湖社区,0,4,0,4,0.3,1,63,一般
七里新村社区,0,4,0,4,0.3,1,64,一般
小林园社区,0,0,3,3,0.22,1,65,一般
船柴社区,0,3,0,3,0.22,1,66,一般
学堂湾社区,1,0,2,3,0.22,2,67,一般
杨岔路社区,1,0,2,3,0.22,2,68,一般
宝联社区,0,0,3,3,0.22,1,69,一般
尚书巷社区,0,2,1,3,0.22,2,70,一般
朱市街社区,0,0,3,3,0.22,1,71,一般
桐岭新村社区,1,2,0,3,0.22,2,72,一般
鸡山社区,1,1,1,3,0.22,3,73,一般
长江社区,2,0,1,3,0.22,2,74,一般
黄河路社区,0,0,3,3,0.22,1,75,一般
云池社区,0,0,2,2,0.15,1,76,一般
珠海路社区,0,1,1,2,0.15,2,77,一般
港务社区,0,0,2,2,0.15,1,78,一般
四方堰社区,0,0,2,2,0.15,1,79,一般
金家台社区,0,1,1,2,0.15,2,80,一般
艾家嘴社区,0,0,2,2,0.15,1,81,一般
英雄山社区,0,0,2,2,0.15,1,82,一般
港虹社区,0,0,2,2,0.15,1,83,一般
石板冲社区,0,0,2,2,0.15,1,84,一般
平云社区,0,2,0,2,0.15,1,85,一般
桐岭社区,0,2,0,2,0.15,1,86,一般
黄金卡社区,0,1,1,2,0.15,2,87,一般
翁家堰社区,0,0,1,1,0.07,1,88,一般
大学路社区,1,0,0,1,0.07,1,89,一般
山河园路社区,0,0,1,1,0.07,1,90,一般
山庄路社区,0,1,0,1,0.07,1,91,一般
张家坡社区,0,0,1,1,0.07,1,92,一般
八一路社区,0,0,1,1,0.07,1,93,一般
气象台社区,1,0,0,1,0.07,1,94,一般
环城北路社区,0,0,1,1,0.07,1,95,一般
黄龙寺社区,0,0,1,1,0.07,1,96,一般
青岛路社区,0,0,1,1,0.07,1,97,一般
长樵溪社区,0,0,1,1,0.07,1,98,一般
望江社区,0,0,1,1,0.07,1,99,一般
谭家河社区,0,1,0,1,0.07,1,100,一般
