社区,公服设施,住房,停车设施,交通设施,物业街面,总点数,总占比%,覆盖类数,排序,严重度
营盘路社区,4,0,23,0,10,37,4.9,3,1,较严重
深圳路社区,2,18,6,2,1,29,3.84,5,2,较严重
果园路社区,0,0,10,0,16,26,3.44,2,3,较严重
宝联社区,1,0,0,0,25,26,3.44,2,4,较严重
铁路坝社区,1,0,16,1,3,21,2.78,4,5,一般
香锦社区,1,0,14,2,4,21,2.78,4,6,一般
桥北社区,1,10,6,0,3,20,2.65,4,7,一般
杨岔路社区,0,1,5,0,12,18,2.38,3,8,一般
幸福路社区,0,0,11,3,3,17,2.25,3,9,一般
桃花岭社区,1,0,8,0,7,16,2.12,3,10,一般
港务社区,0,7,1,0,7,15,1.99,3,11,一般
镇境山社区,2,3,8,1,1,15,1.99,5,12,一般
体育场路社区,2,0,11,0,2,15,1.99,3,13,一般
新隆康路社区,0,3,3,4,5,15,1.99,4,14,一般
樵湖岭社区,3,0,6,0,5,14,1.85,3,15,一般
长樵溪社区,10,0,3,0,0,13,1.72,2,16,一般
常家湾社区,0,1,10,0,2,13,1.72,3,17,一般
东门外正街社区,1,0,10,0,2,13,1.72,3,18,一般
南苑社区,7,0,3,0,3,13,1.72,3,19,一般
赵家湾社区,1,0,7,0,5,13,1.72,3,20,一般
镇平路社区,0,6,5,0,1,12,1.59,3,21,一般
二马路社区,1,0,3,0,8,12,1.59,3,22,一般
张家店社区,0,0,0,0,12,12,1.59,1,23,一般
山庄路社区,1,3,5,1,1,11,1.46,5,24,一般
金安岭社区,3,0,5,3,0,11,1.46,3,25,一般
绿萝路社区,1,0,8,0,1,10,1.32,3,26,一般
气象台社区,1,0,3,0,6,10,1.32,3,27,一般
胜利四路社区,1,0,4,0,5,10,1.32,3,28,一般
西峡社区,0,2,5,0,2,9,1.19,3,29,一般
上导堤社区,3,1,2,1,2,9,1.19,5,30,一般
四方堰社区,2,0,2,1,4,9,1.19,4,31,一般
建设社区,0,0,0,0,9,9,1.19,1,32,一般
