维度,序号,措施/项目名称,建设内容,规模,责任部门
住房,1,排查整治住宅结构安全隐患,针对存在房屋结构隐患、墙体裂缝、户内承重墙拆除等三方面问题的住宅进行维修，重点整治违规拆除结构承重构件如户内承重墙体拆墙打洞，底商或者地库结构柱拆除，砖混结构拆除阳台承重墙垛的住宅。,云集街办二马路社区17栋，桃花岭社区4栋，小林园社区3栋；大公桥街办新隆康路社区8栋，北山坡社区1栋；学院街办环城东路社区3栋，四方堰社区2栋；宝塔河街办艾家嘴社区2栋；万寿桥街办港务社区1栋；伍家岗街办白马山社区1栋。,西陵区 伍家岗区住建局
住房,2,排查整治住宅燃气安全隐患,针对存在安全隐患的立管、引入管和水平管，重点整治引入管、水平管存在锈蚀严重、破损等问题的住宅。,大公桥街办新隆康路社区2栋；西坝街办幸福路社区2栋；学院街办墨池巷社区2栋。,市住新局
住房,3,排查整治住宅楼道安全隐患,针对存在公共设施损坏、通风井道堵塞、消防设施损坏、违规占用消防通道等四方面问题的住宅进行维修，重点整治公共设施损坏和高层住宅消防设施损坏、缺乏维护的住宅。,东苑街办汕头路社区5栋，深圳路社区30栋，珠海路社区1栋；葛洲坝街办西峡社区25栋，东湖社区6栋，清波路社区4栋；夜明珠街办镇境山社区16栋，金安岭社区14栋，镇平路社区3栋；西坝街办幸福路社区13栋，丫口社区8栋，桥北社区5栋，光明路社区1栋；学院街办东门外正街社区23栋，墨池巷社区2栋，尚书巷社区2栋；大公桥街办新隆中路社区12栋，胜利二路社区6栋，北山坡社区2栋，金家台社区1栋；西陵街办绿萝路社区13栋，船柴社区3栋，铁路坝社区2栋，樵湖岭社区1栋，土街头社区1栋；伍家岗街办王家河社区14栋，桔城路社区12栋；云集街办体育场路社区3栋，二马路社区1栋，桃花岭社区1栋，果园路社区1栋，山庄路社区1栋，赵家湾社区1栋；宝塔河街办韩家坝社区4栋；南苑街办苏家榜社区4栋；窑湾街办朝阳路社区1栋。,西陵区 伍家岗区住建局
住房,4,排查整治住宅围护安全隐患,针对存在外墙材料损坏、门窗玻璃设施破损以及存在渗漏积水等三方面问题的住宅进行维修，重点整治屋顶、外墙、地下室存在渗漏积水问题的住宅。,夜明珠街办金安岭社区40栋，镇境山社区27栋，肖家岗社区15栋，常家湾社区10栋，镇平路社区9栋，夜明珠社区4栋，英雄山社区社区1栋；葛洲坝街办西峡社区42栋，东湖社区11栋，清波路社区10栋，石子岭社区2栋，英雄山社区1栋，长樵溪社区1栋；云集街办果园路社区14栋，桃花岭社区10栋，赵家湾社区10栋，夷陵路社区9栋，二马路社区4栋，白龙井社区1栋，体育场路社区1栋；西坝街办幸福路社区30栋，丫口社区7栋，桥北社区7栋，光明路社区4栋；东苑街办汕头路社区5栋，深圳路社区30栋，珠海路社区1栋，青岛路社区1栋；西陵街办香锦社区9栋，土街头社区8栋，绿萝路社区7栋，刘家大堰社区6栋，铁路坝社区2栋；大公桥街办新隆康路社区21栋，胜利四路社区5栋，北山坡社区1栋，金家台社区1栋；宝塔河街办合益路社区18栋，宝联社区3栋，韩家坝社区3栋，张家坡社区1栋；学院街办环城东路社区17栋，中书街社区4栋，环城北路社区1栋，翁家堰社区1栋，尚书巷社区1栋；伍家岗街办东艳路社区4栋，白马山社区3栋，王家河社区3栋，桔城路社区2栋，八一路社区1栋；窑湾街办朝阳路社区4栋，黄河路社区3栋，望洲社区3栋；北苑街办叶家坝社区4栋，城东社区4栋；南苑街办学堂湾社区2栋，山河园路社区1栋，长江社区1栋；万寿桥街办港务社区1栋，杨岔路社区2栋。,西陵区 伍家岗区住建局
住房,5,排查整治住宅非成套住宅,按照《住宅性能评定标准》要求，重点整治改造既有住宅中没有厨房、卫生间等基本功能空间的情况。,西坝街办桥北社区10套，丫口社区2套，甲街社区1套；夜明珠街办镇平路社区7套，英雄山社区2套，常家湾社区1套；葛洲坝街办东湖社区7套，石子岭社区1套。,西陵区住建局
住房,6,排查整治住宅管线管道破损,针对涉及给水、排水、供热、电力电信管线4方面的问题住宅进行维修，重点整治给水管线跑冒滴漏、排水管线老化破损、渗漏堵塞的问题住宅。,夜明珠街办镇境山社区21栋，金安岭社区19栋，镇平路社区2栋，常家湾社区2栋；西陵街办刘家大堰社区14栋，樵湖岭社区9栋，香锦社区3栋，绿萝路社区2栋，大学路社区1栋；东苑街办汕头路社区4栋，深圳路社区18栋；西坝街办幸福路社区3栋，丫口社区13栋，桥北社区4栋，光明路社区1栋；葛洲坝街办西峡社区15栋，石子岭社区4栋，清波路社区1栋；云集街办果园路社区9栋，赵家湾社区2栋，二马路社区3栋；大公桥街办新隆康路社区6栋，胜利四路社区1栋，北山坡社区1栋；南苑街办学堂湾社区1栋，苏家榜社区4栋，长江社区2栋；伍家岗街办桔城路社区6栋；宝塔河街办韩家坝社区4栋；北苑街办城东社区4栋；学院街办环城东路社区2栋，中书街社区1栋，气象台社区1栋；窑湾街办朝阳路社区2栋；万寿桥街办杨岔路社区1栋。,西陵区 伍家岗区住建局
住房,7,排查整治住宅需要进行适老化改造,针对涉及多层住宅中建成时未安装电梯、入户和通道未进行无障碍改造和楼道未沿墙加装扶手三方面的问题住宅，重点整治多层住宅中建成时未安装电梯，具备加装电梯条件但尚未进行加装改造的住宅。,东苑街办深圳路社区18栋；万寿桥街办港务社区7栋，杨岔路社区1栋；大公桥街办新隆康路社区3栋；夜明珠街办镇境山社区3栋；云集街办山庄路社区3栋；葛洲坝街办西峡社区2栋；南苑街办苏家榜社区2栋。,西陵区 伍家岗区住建局
住房,8,排查整治住宅需要进行数字化改造,针对未安装安防监测设备、烟雾报警器和未安装老年人、残疾人住户紧急呼叫器两方面的住宅，重点整治未安装老年人、残疾人住户紧急呼叫器的住宅。,西坝街办光明路社区8栋；大公桥街办胜利四路社区7栋；西陵街办樵湖岭社区6栋，绿萝路社区1栋；北苑街办城东社区3栋。,西陵区 伍家岗区住建局
小区（社区）,9,社区养老服务设施新改建,补齐社区养老服务设施的短板，重点解决未建设和面积不达标的社区养老服务设施问题。,西陵区2个。,市民政局
小区（社区）,10,社区婴幼儿照护服务设施新（改）建,根据城市更新项目配建婴幼儿照护服务设施，重点解决未建设和面积不达标的婴幼儿照护服务设施问题。,西陵区24个，伍家岗区10个。,西陵区 伍家岗区住建局
小区（社区）,11,新建幼儿园,按照《完整居住社区建设标准(试行)》等文件要求，建设社区幼儿园。,——,市教育局
小区（社区）,12,新建小学,针对小学学位配置不足的区域推进学校的建设，增加学位数。,——,市教育局
小区（社区）,13,增加停车泊位,针对停车难区域，因地制宜增设停车泊位，缓解停车压力。,西陵区20910个，伍家岗区9012个。,西陵区 伍家岗区住建局、市城管委
小区（社区）,14,新增新能源汽车充电桩,补齐新能源汽车充电桩缺口。,西陵区1402个，伍家岗区193个。,西陵区 伍家岗区住建局、市发改委
小区（社区）,15,新增电动自行车充电设施,针对未配建电动自行车集中室外充电设施和停放场所区域推进建设。,西陵区45个，伍家岗区5个。,西陵区 伍家岗区住建局
小区（社区）,16,社区公共活动场地新（改）建,针对未建设、面积不达标和功能不完善的公共活动场地进行改造。,西陵区25个，伍家岗区2个。,西陵区 伍家岗区住建局
小区（社区）,17,步行道新（改）建,针对不达标的步行道进行改造。,西陵区1.79公里，伍家岗区0.3公里。,西陵区 伍家岗区住建局
小区（社区）,18,小区物业管理全覆盖,按照《关于加强和改进住宅物业管理工作的通知》要求分类推进住宅小区物业管理全覆盖。,——,西陵区 伍家岗区住建局
小区（社区）,19,小区智慧化改造,按照《关于深入推进智慧社区建设的意见》要求对小区进行智慧化改造。,西陵区29个，伍家岗区2个。,西陵区 伍家岗区住建局
街区,20,新建中学,针对中学学位配置不足的区域推进学校的建设。,推进西陵区南苑管理区、伍家岗区生物产业园等区域中学建设，完善教育设施。,市教育局
街区,21,多功能活动场地新（改）建,根据“15分钟社区生活圈”建设要求，不断完善街区多功能活动场地设施建设。,西陵区4个（东苑街办、学院街办、夜明珠街办、西陵街办），伍家岗区2个（生物产业园、大公桥街办）,市住新局、市资建局、市财政局、市文旅局等
街区,22,新建菜市场,按照800米服务半径（步行10分钟）建设要求，补齐菜市场设施的建设。,推进西陵区窑湾街办、伍家岗区伍家乡以及生物产业园区域菜市场建设。,西陵区 伍家岗区住建局
街区,23,道路照明问题整改,针对道路照明存在问题进行整改。,推进西陵区62处节点照明改造，伍家岗区1条道路照明改造,西陵区 伍家岗区住建局
街区,24,乱停乱放车辆道路整改,针对乱停乱放车辆等问题的道路，进行重点整改。,西陵区2条（二马路、唐家湾路在一方菜市场路段），伍家岗区2条（兴润路、共谊一路在梧桐邑小区路段）,市公安局交警支队、市城管委
街区,25,老旧商业街区更新改造,针对老旧商业街区进行更新改造。,西陵区葛洲坝街办的葛洲坝宾馆地块、西陵街办的华翔商业中心和西陵后路商业街区,西陵区住建局
街区,26,老旧厂区更新改造,针对老旧厂区进行更新改造。,西陵区5个（夜明珠钢建材市场、宜昌太平鸟创意投资有限公司和宜昌三峡制药有限公司、四零三厂，永兴科技园）,西陵区住建局
街区,27,老旧生活街区更新改造,针对老旧生活街区进行更新改造。,西陵区2个（建设路片区和南湖片区）,西陵区住建局
城区,28,足球场地服务半径覆盖率,在点军、猇亭核心组团等服务空白区域，精准补建标准足球场，并在全市范围内（尤其是盲区及薄弱区域）嵌入建设社区级非标准足球场地，以织密服务网络、提升覆盖便捷性；同时，着力推动学校足球场地延长开放时长，通过必要的设施改造和建立可持续的运营管理机制，盘活存量资源，实现居住区基础足球服务的全覆盖。,——,市住新局、市资建局、市财政局、市文旅局等
城区,29,新建建筑中绿色建筑占比,强制新建项目全覆盖，通过修订技术规定与实施严格全过程监管确保落地；加强行业技术支撑与能力建设，开展技术培训和示范项目引领，并建设信息化管理平台。,——,市住新局、市数据局、市发改委
城区,30,历史建筑空置率,持续活化利用市辖区其他空置历史建筑，近期重点推进葛洲坝更新片区中的西坝甲街民居、西坝皂角树民居等闲置历史建筑活化利用，植入新场景，历史建筑焕发新活力。,15处,市住新局
城区,31,应急供水保障率,加快规模化备用水源建设（含水库、地下水等多元类型），同步完善区域联网供水设施，形成多源互补、互联互通的应急保障网络。,——,市应急管理局、市住新局
