项目类型,总件数,投诉,建议,求助+咨询,投诉%,建议%,求助%,主导
交通设施,9145,5716,1471,1958,62.5,16.1,21.4,投诉
住房,6941,6231,43,667,89.8,0.6,9.6,投诉
停车设施,7353,6468,194,691,88.0,2.6,9.4,投诉
公服设施,1647,993,41,613,60.3,2.5,37.2,投诉
噪声治理,11319,11028,38,253,97.4,0.3,2.2,投诉
城市更新,4507,4064,37,406,90.2,0.8,9.0,投诉
安全消防,687,631,4,52,91.8,0.6,7.6,投诉
市政管网,4946,2952,129,1865,59.7,2.6,37.7,投诉
施工管理,1796,1650,12,134,91.9,0.7,7.5,投诉
物业管理,3616,3236,60,320,89.5,1.7,8.8,投诉
环境治理,3573,2380,154,1039,66.6,4.3,29.1,投诉
街面秩序,1677,1521,23,133,90.7,1.4,7.9,投诉
