board,project_type,中类_归,小类_归,件数
其他,公服设施,基层治理,井盖、灭火器等公共设施被盗窃,4
其他,公服设施,扩展事件,自然灾害-积水点,23
安全韧性底线,交通设施,交通设施问题,交通信号灯破损,919
安全韧性底线,交通设施,交通设施问题,交通护栏破损,147
安全韧性底线,交通设施,交通设施问题,交通标志牌、指路牌破损,118
安全韧性底线,交通设施,交通设施问题,交通标示线破损,59
安全韧性底线,交通设施,交通设施问题,停车告示牌破损,4
安全韧性底线,交通设施,交通设施问题,公交站台设施破损,139
安全韧性底线,交通设施,交通设施问题,公交站牌破损,5
安全韧性底线,交通设施,交通设施问题,公共自行车租赁点及附属设施破损,2
安全韧性底线,交通设施,交通设施问题,减速带破损,67
安全韧性底线,交通设施,交通设施问题,出租车站牌（临时停靠站）破损,5
安全韧性底线,交通设施,交通设施问题,地下通道设施破损,32
安全韧性底线,交通设施,交通设施问题,工程规划告示牌破损,4
安全韧性底线,交通设施,交通设施问题,旅游标志牌破损,2
安全韧性底线,交通设施,交通设施问题,无障碍设施破损,2
安全韧性底线,交通设施,交通设施问题,河道护栏破损,12
安全韧性底线,交通设施,交通设施问题,游步道、骑行道破损,4
安全韧性底线,交通设施,交通设施问题,监控探头破损,23
安全韧性底线,交通设施,交通设施问题,跨河（江、湖）桥设施破损,50
安全韧性底线,交通设施,交通设施问题,路名牌破损,6
安全韧性底线,交通设施,交通设施问题,过街天桥设施破损,59
安全韧性底线,交通设施,交通设施问题,道路隔音屏破损,3
安全韧性底线,交通设施,交通设施问题,门牌破损,18
安全韧性底线,交通设施,交通设施问题,防洪防汛附属设施破损,7
安全韧性底线,交通设施,交通设施问题,高架、立交桥设施破损,18
安全韧性底线,交通设施,道路设施问题,人行道破损,451
安全韧性底线,交通设施,道路设施问题,侧石、止车石破损,225
安全韧性底线,交通设施,道路设施问题,路面塌陷,181
安全韧性底线,交通设施,道路设施问题,车行道破损,186
安全韧性底线,交通设施,道路设施问题,道路积水,136
安全韧性底线,交通设施,道路问题,毁坏桥梁,11
安全韧性底线,安全消防,交通秩序,占用消防通道问题,442
安全韧性底线,安全消防,消防安全,消火栓埋压、圈占或遮挡,4
安全韧性底线,安全消防,消防安全,消防器材问题,84
安全韧性底线,安全消防,消防安全,消防车通道网格线、标牌,1
安全韧性底线,安全消防,消防安全,消防车道占用、堵塞,83
安全韧性底线,安全消防,消防安全,消防通道、应急照明、疏散标志牌等设施问题,35
安全韧性底线,安全消防,消防安全,火灾报警器损坏、拆除,5
安全韧性底线,安全消防,消防安全,灭火器未配备或损坏等,32
安全韧性底线,安全消防,消防安全,社区微型消防站,1
安全韧性底线,市政管网,井盖问题,其它井盖破损、缺失、移位,359
安全韧性底线,市政管网,井盖问题,污水井盖,297
安全韧性底线,市政管网,井盖问题,燃气井盖,6
安全韧性底线,市政管网,井盖问题,电力井盖,137
安全韧性底线,市政管网,井盖问题,网络井盖,5
安全韧性底线,市政管网,井盖问题,自来水井盖,41
安全韧性底线,市政管网,井盖问题,路灯井盖,19
安全韧性底线,市政管网,井盖问题,通讯井盖,27
安全韧性底线,市政管网,井盖问题,雨水井盖,94
安全韧性底线,市政管网,井盖问题,雨水箅子,59
安全韧性底线,市政管网,供电服务,小区线路问题,88
安全韧性底线,市政管网,供电服务,电线杆问题,191
安全韧性底线,市政管网,供电服务,线路改造问题,49
安全韧性底线,市政管网,供电服务,铁塔问题,50
安全韧性底线,市政管网,供电服务,高空线缆问题,243
安全韧性底线,市政管网,市政公共设施问题,临河、临水标志、警示牌及防护设施破损,9
安全韧性底线,市政管网,市政公共设施问题,人防设施破损,6
安全韧性底线,市政管网,市政公共设施问题,健身设施破损,9
安全韧性底线,市政管网,市政公共设施问题,化粪池盖板缺失破裂,14
安全韧性底线,市政管网,市政公共设施问题,城市设施部件不洁,11
安全韧性底线,市政管网,市政公共设施问题,宣传栏破损,5
安全韧性底线,市政管网,市政公共设施问题,岗亭破损,1
安全韧性底线,市政管网,市政公共设施问题,慈善衣物捐赠箱破损,2
安全韧性底线,市政管网,市政公共设施问题,报刊、售货亭破损,7
安全韧性底线,市政管网,市政公共设施问题,景观灯（含地灯、射灯）破损,56
安全韧性底线,市政管网,市政公共设施问题,杆线下垂,45
安全韧性底线,市政管网,市政公共设施问题,桥梁隧道灯破损,43
安全韧性底线,市政管网,市政公共设施问题,水渠破损,22
安全韧性底线,市政管网,市政公共设施问题,消防设施漏水、破损,240
安全韧性底线,市政管网,市政公共设施问题,电力设施（变压器、输电塔、电力交接箱）破损,93
安全韧性底线,市政管网,市政公共设施问题,直饮水机破损,9
安全韧性底线,市政管网,市政公共设施问题,立杆杆体破损、倒伏,46
安全韧性底线,市政管网,市政公共设施问题,自动售货机（亭）破损,1
安全韧性底线,市政管网,市政公共设施问题,路灯破损,782
安全韧性底线,市政管网,市政公共设施问题,通讯交接箱破损,27
安全韧性底线,市政管网,市政公共设施问题,隧道设施破损,25
安全韧性底线,市政管网,管道设施破裂堵塞,化粪池满溢,452
安全韧性底线,市政管网,管道设施破裂堵塞,排水设施堵塞,184
安全韧性底线,市政管网,管道设施破裂堵塞,污水压力管道破裂,126
安全韧性底线,市政管网,管道设施破裂堵塞,燃气管道破裂,34
安全韧性底线,市政管网,管道设施破裂堵塞,自来水管破裂,335
安全韧性底线,环境治理,堡坎、山体问题,堡坎存在安全隐患,49
安全韧性底线,环境治理,堡坎、山体问题,堡坎渗水,15
