事件3类,board,project_type,中类_归,小类_归,件数,事件占比%
建议,其他,公服设施,基层治理,井盖、灭火器等公共设施被盗窃,2,0.003496075655077176
建议,安全韧性底线,交通设施,交通设施问题,交通信号灯破损,280,0.48945059171080463
建议,安全韧性底线,交通设施,交通设施问题,交通护栏破损,19,0.03321271872323317
建议,安全韧性底线,交通设施,交通设施问题,交通标志牌、指路牌破损,34,0.059433286136311984
建议,安全韧性底线,交通设施,交通设施问题,交通标示线破损,20,0.03496075655077176
建议,安全韧性底线,交通设施,交通设施问题,公交站台设施破损,29,0.05069309699861905
建议,安全韧性底线,交通设施,交通设施问题,公交站牌破损,1,0.001748037827538588
建议,安全韧性底线,交通设施,交通设施问题,减速带破损,19,0.03321271872323317
建议,安全韧性底线,交通设施,交通设施问题,出租车站牌（临时停靠站）破损,1,0.001748037827538588
建议,安全韧性底线,交通设施,交通设施问题,地下通道设施破损,6,0.010488226965231528
建议,安全韧性底线,交通设施,交通设施问题,旅游标志牌破损,1,0.001748037827538588
建议,安全韧性底线,交通设施,交通设施问题,无障碍设施破损,2,0.003496075655077176
建议,安全韧性底线,交通设施,交通设施问题,监控探头破损,5,0.00874018913769294
建议,安全韧性底线,交通设施,交通设施问题,跨河（江、湖）桥设施破损,6,0.010488226965231528
建议,安全韧性底线,交通设施,交通设施问题,路名牌破损,1,0.001748037827538588
建议,安全韧性底线,交通设施,交通设施问题,过街天桥设施破损,13,0.022724491758001644
建议,安全韧性底线,交通设施,交通设施问题,门牌破损,2,0.003496075655077176
建议,安全韧性底线,交通设施,道路设施问题,人行道破损,12,0.020976453930463056
建议,安全韧性底线,交通设施,道路设施问题,侧石、止车石破损,7,0.012236264792770115
建议,安全韧性底线,交通设施,道路设施问题,路面塌陷,3,0.005244113482615764
建议,安全韧性底线,交通设施,道路设施问题,车行道破损,7,0.012236264792770115
建议,安全韧性底线,交通设施,道路设施问题,道路积水,3,0.005244113482615764
建议,安全韧性底线,交通设施,道路问题,毁坏桥梁,2,0.003496075655077176
建议,安全韧性底线,安全消防,交通秩序,占用消防通道问题,1,0.001748037827538588
建议,安全韧性底线,安全消防,消防安全,消防器材问题,3,0.005244113482615764
建议,安全韧性底线,市政管网,井盖问题,其它井盖破损、缺失、移位,14,0.02447252958554023
建议,安全韧性底线,市政管网,井盖问题,污水井盖,2,0.003496075655077176
建议,安全韧性底线,市政管网,井盖问题,雨水箅子,1,0.001748037827538588
建议,安全韧性底线,市政管网,供电服务,小区线路问题,2,0.003496075655077176
建议,安全韧性底线,市政管网,供电服务,电线杆问题,2,0.003496075655077176
建议,安全韧性底线,市政管网,供电服务,高空线缆问题,1,0.001748037827538588
建议,安全韧性底线,市政管网,市政公共设施问题,人防设施破损,1,0.001748037827538588
建议,安全韧性底线,市政管网,市政公共设施问题,健身设施破损,2,0.003496075655077176
建议,安全韧性底线,市政管网,市政公共设施问题,城市设施部件不洁,2,0.003496075655077176
建议,安全韧性底线,市政管网,市政公共设施问题,景观灯（含地灯、射灯）破损,14,0.02447252958554023
建议,安全韧性底线,市政管网,市政公共设施问题,桥梁隧道灯破损,5,0.00874018913769294
建议,安全韧性底线,市政管网,市政公共设施问题,电力设施（变压器、输电塔、电力交接箱）破损,1,0.001748037827538588
建议,安全韧性底线,市政管网,市政公共设施问题,路灯破损,79,0.13809498837554843
建议,安全韧性底线,市政管网,管道设施破裂堵塞,排水设施堵塞,3,0.005244113482615764
建议,安全韧性底线,环境治理,堡坎、山体问题,堡坎存在安全隐患,1,0.001748037827538588
建议,安全韧性底线,环境治理,堡坎、山体问题,山体滑坡、堡坎坍塌,3,0.005244113482615764
建议,民生基础需求,交通设施,交通秩序,交通堵塞问题,37,0.06467739961892775
建议,民生基础需求,交通设施,公交服务,公交站牌问题,52,0.09089796703200657
建议,民生基础需求,交通设施,公交服务,公交线路问题,375,0.6555141853269705
建议,民生基础需求,交通设施,城市客运,共享单车管理问题,4,0.006992151310154352
建议,民生基础需求,交通设施,城市客运,共享汽车、电动车问题,4,0.006992151310154352
建议,民生基础需求,交通设施,民航,机场服务问题,11,0.01922841610292447
建议,民生基础需求,交通设施,民航,机场秩序问题,2,0.003496075655077176
建议,民生基础需求,交通设施,道路运输,加气站问题,1,0.001748037827538588
建议,民生基础需求,交通设施,道路运输,加油站问题,1,0.001748037827538588
建议,民生基础需求,交通设施,道路运输,城际公交车问题,13,0.022724491758001644
建议,民生基础需求,交通设施,道路运输,客运汽车站投诉,6,0.010488226965231528
建议,民生基础需求,交通设施,道路问题,道路规划问题,149,0.2604576363032496
建议,民生基础需求,交通设施,道路问题,道路通行问题,336,0.5873407100529655
建议,民生基础需求,交通设施,铁路,火车站停车管理,7,0.012236264792770115
建议,民生基础需求,住房,住房房产,城镇房屋质量问题,2,0.003496075655077176
建议,民生基础需求,住房,小区建设,加装电梯问题 ,6,0.010488226965231528
建议,民生基础需求,住房,小区建设,地下停车场设施缺失,2,0.003496075655077176
建议,民生基础需求,住房,小区建设,小区公共设施问题,14,0.02447252958554023
建议,民生基础需求,住房,小区建设,电动车充电问题,19,0.03321271872323317
建议,民生基础需求,停车设施,交通设施问题,停车场设施破损,17,0.029716643068155992
建议,民生基础需求,停车设施,停车管理,电动车充电桩安装问题,31,0.05418917265369623
建议,民生基础需求,停车设施,停车管理问题,停车场收费问题,30,0.052441134826157636
建议,民生基础需求,停车设施,停车管理问题,废弃车辆、僵尸车,1,0.001748037827538588
建议,民生基础需求,停车设施,停车管理问题,机动车乱停放,7,0.012236264792770115
建议,民生基础需求,停车设施,停车管理问题,私设停车场、停车位,48,0.08390581572185223
建议,民生基础需求,停车设施,停车管理问题,非机动车乱停放,8,0.013984302620308704
建议,民生基础需求,停车设施,车辆乱停放,违章占道,4,0.006992151310154352
建议,民生基础需求,停车设施,车辆乱停放,违规停车,48,0.08390581572185223
建议,民生基础需求,公服设施,学区学籍,初中入学问题,2,0.003496075655077176
建议,民生基础需求,公服设施,学区学籍,小学入学问题,16,0.02796860524061741
建议,民生基础需求,公服设施,学区学籍,配套幼儿园,1,0.001748037827538588
建议,民生基础需求,公服设施,就医,医疗环境投诉,20,0.03496075655077176
建议,民生基础需求,噪声治理,交通噪声,机动车噪声,9,0.01573234044784729
建议,民生基础需求,噪声治理,交通噪声,高架桥行车噪声,2,0.003496075655077176
建议,民生基础需求,噪声治理,交通噪声,高速路噪声,1,0.001748037827538588
建议,民生基础需求,噪声治理,商业噪声,商业经营噪声,2,0.003496075655077176
建议,民生基础需求,噪声治理,建筑施工噪声,施工噪声扰民,15,0.026220567413078818
建议,民生基础需求,噪声治理,生活噪声,家禽噪声扰民,1,0.001748037827538588
建议,民生基础需求,噪声治理,生活噪声,广场舞噪声,3,0.005244113482615764
建议,民生基础需求,噪声治理,生活噪声,邻里噪声,1,0.001748037827538588
建议,民生基础需求,噪声治理,生活噪声,高音喇叭噪声,4,0.006992151310154352
建议,民生基础需求,城市更新,住房房产,老旧小区改造问题,37,0.06467739961892775
建议,民生基础需求,施工管理,施工管理问题,不文明施工（无围挡、物料乱堆、工地扬尘、存在安全隐患）,9,0.01573234044784729
建议,民生基础需求,施工管理,施工管理问题,施工造成道路破损,1,0.001748037827538588
建议,民生基础需求,施工管理,施工管理问题,渣土车道路遗撒,1,0.001748037827538588
建议,民生基础需求,施工管理,施工管理问题,道路施工遗留障碍,1,0.001748037827538588
建议,民生基础需求,物业管理,小区管理,下水道破损问题,1,0.001748037827538588
建议,民生基础需求,物业管理,小区管理,小区停车,28,0.04894505917108046
建议,民生基础需求,物业管理,小区管理,小区垃圾清运问题,21,0.036708794378310344
建议,民生基础需求,物业管理,小区管理,小区绿化问题,10,0.01748037827538588
建议,民生基础需求,环境治理,公厕管理问题,公共厕所、流动厕所不洁,1,0.001748037827538588
建议,民生基础需求,环境治理,公厕管理问题,公共厕所设施破损,33,0.0576852483087734
建议,民生基础需求,环境治理,公厕管理问题,公厕指示牌破损,2,0.003496075655077176
建议,民生基础需求,环境治理,公厕管理问题,移动公厕设施破损,2,0.003496075655077176
建议,民生基础需求,环境治理,园林绿化设施问题,古树(维护设施)破损,2,0.003496075655077176
建议,民生基础需求,环境治理,园林绿化设施问题,绿化护栏破损,5,0.00874018913769294
建议,民生基础需求,环境治理,园林绿化设施问题,绿地枯死、杂草丛生、黄土裸露,9,0.01573234044784729
建议,民生基础需求,环境治理,园林绿化设施问题,花架、花钵缺株、破损,2,0.003496075655077176
建议,民生基础需求,环境治理,园林绿化设施问题,行道树死株、倒伏、断枝,46,0.08040974006677504
建议,民生基础需求,环境治理,园林绿化设施问题,街头坐椅破损,4,0.006992151310154352
建议,民生基础需求,环境治理,园林绿化设施问题,雕塑破损,1,0.001748037827538588
建议,民生基础需求,环境治理,园林绿化设施问题,非法占用绿地、损毁植被,1,0.001748037827538588
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,动物粪便清理,1,0.001748037827538588
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,垃圾间（房）破损、脏污、异味,1,0.001748037827538588
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,暴露生活垃圾,7,0.012236264792770115
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,果皮箱、分类垃圾桶破损、脏污、异味,15,0.026220567413078818
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,生活垃圾清运车辆管理,14,0.02447252958554023
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,积存建筑垃圾渣土,1,0.001748037827538588
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,路面不洁、积灰、积油,2,0.003496075655077176
建议,民生基础需求,环境治理,垃圾清理及环卫设施问题,集贸市场环境卫生问题,1,0.001748037827538588
建议,民生基础需求,街面秩序,立面管理问题,沿街立面脏、缺、损,2,0.003496075655077176
建议,民生基础需求,街面秩序,街面秩序管理问题,电子显示屏、景观灯、施工场地灯光等光污染,11,0.01922841610292447
建议,民生基础需求,街面秩序,违规广告及广告牌破损,户外广告（含霓虹灯、电子显示屏、灯箱广告等）破损,4,0.006992151310154352
建议,民生基础需求,街面秩序,违规广告及广告牌破损,违规设置条幅、灯箱、牌匾等其他广告,1,0.001748037827538588
建议,民生基础需求,街面秩序,违规广告及广告牌破损,门头、招牌破损,5,0.00874018913769294
投诉,其他,公服设施,扩展事件,自然灾害-积水点,14,0.02447252958554023
投诉,安全韧性底线,交通设施,交通设施问题,交通信号灯破损,565,0.9876413725593022
投诉,安全韧性底线,交通设施,交通设施问题,交通护栏破损,67,0.11711853444508538
投诉,安全韧性底线,交通设施,交通设施问题,交通标志牌、指路牌破损,50,0.0874018913769294
投诉,安全韧性底线,交通设施,交通设施问题,交通标示线破损,34,0.059433286136311984
投诉,安全韧性底线,交通设施,交通设施问题,停车告示牌破损,4,0.006992151310154352
投诉,安全韧性底线,交通设施,交通设施问题,公交站台设施破损,75,0.1311028370653941
投诉,安全韧性底线,交通设施,交通设施问题,公交站牌破损,2,0.003496075655077176
投诉,安全韧性底线,交通设施,交通设施问题,公共自行车租赁点及附属设施破损,2,0.003496075655077176
投诉,安全韧性底线,交通设施,交通设施问题,减速带破损,42,0.07341758875662069
投诉,安全韧性底线,交通设施,交通设施问题,出租车站牌（临时停靠站）破损,4,0.006992151310154352
投诉,安全韧性底线,交通设施,交通设施问题,地下通道设施破损,22,0.03845683220584894
投诉,安全韧性底线,交通设施,交通设施问题,工程规划告示牌破损,2,0.003496075655077176
投诉,安全韧性底线,交通设施,交通设施问题,河道护栏破损,9,0.01573234044784729
投诉,安全韧性底线,交通设施,交通设施问题,监控探头破损,10,0.01748037827538588
投诉,安全韧性底线,交通设施,交通设施问题,跨河（江、湖）桥设施破损,38,0.06642543744646634
投诉,安全韧性底线,交通设施,交通设施问题,路名牌破损,4,0.006992151310154352
投诉,安全韧性底线,交通设施,交通设施问题,过街天桥设施破损,38,0.06642543744646634
投诉,安全韧性底线,交通设施,交通设施问题,道路隔音屏破损,3,0.005244113482615764
投诉,安全韧性底线,交通设施,交通设施问题,门牌破损,8,0.013984302620308704
投诉,安全韧性底线,交通设施,交通设施问题,防洪防汛附属设施破损,6,0.010488226965231528
投诉,安全韧性底线,交通设施,交通设施问题,高架、立交桥设施破损,13,0.022724491758001644
投诉,安全韧性底线,交通设施,道路设施问题,人行道破损,118,0.20626846364955337
投诉,安全韧性底线,交通设施,道路设施问题,侧石、止车石破损,38,0.06642543744646634
投诉,安全韧性底线,交通设施,道路设施问题,路面塌陷,108,0.1887880853741675
投诉,安全韧性底线,交通设施,道路设施问题,车行道破损,136,0.23773314454524794
投诉,安全韧性底线,交通设施,道路设施问题,道路积水,113,0.19752827451186045
投诉,安全韧性底线,交通设施,道路问题,毁坏桥梁,7,0.012236264792770115
投诉,安全韧性底线,安全消防,交通秩序,占用消防通道问题,429,0.7499082280140542
投诉,安全韧性底线,安全消防,消防安全,消火栓埋压、圈占或遮挡,4,0.006992151310154352
投诉,安全韧性底线,安全消防,消防安全,消防器材问题,62,0.10837834530739246
投诉,安全韧性底线,安全消防,消防安全,消防车通道网格线、标牌,1,0.001748037827538588
投诉,安全韧性底线,安全消防,消防安全,消防车道占用、堵塞,75,0.1311028370653941
投诉,安全韧性底线,安全消防,消防安全,消防通道、应急照明、疏散标志牌等设施问题,29,0.05069309699861905
投诉,安全韧性底线,安全消防,消防安全,火灾报警器损坏、拆除,3,0.005244113482615764
投诉,安全韧性底线,安全消防,消防安全,灭火器未配备或损坏等,27,0.047197021343541874
投诉,安全韧性底线,安全消防,消防安全,社区微型消防站,1,0.001748037827538588
投诉,安全韧性底线,市政管网,井盖问题,其它井盖破损、缺失、移位,213,0.3723320572657193
投诉,安全韧性底线,市政管网,井盖问题,污水井盖,118,0.20626846364955337
投诉,安全韧性底线,市政管网,井盖问题,燃气井盖,1,0.001748037827538588
投诉,安全韧性底线,市政管网,井盖问题,电力井盖,12,0.020976453930463056
