排序,社区,安全-市政管网,安全-安全消防,安全-住房,安全-交通,民生-公服设施,民生-住房,民生-环境治理,民生-停车设施,民生-交通设施,民生-城市更新,民生-物业街面,安全-市政管网%,安全-安全消防%,安全-住房%,安全-交通%,民生-公服设施%,民生-住房%,民生-环境治理%,民生-停车设施%,民生-交通设施%,民生-城市更新%,民生-物业街面%,总点数,总占比%
1,深圳路社区,18,30,30,0,8,18,0,6,2,0,1,0.68,1.14,1.14,0.0,0.3,0.68,0.0,0.23,0.08,0.0,0.04,113,4.28
2,西峡社区,15,25,42,0,6,2,0,5,0,0,2,0.57,0.95,1.59,0.0,0.23,0.08,0.0,0.19,0.0,0.0,0.08,97,3.67
3,金安岭社区,19,14,40,0,5,0,0,5,3,0,0,0.72,0.53,1.51,0.0,0.19,0.0,0.0,0.19,0.11,0.0,0.0,86,3.26
3,镇境山社区,21,16,30,0,6,3,0,8,1,0,1,0.79,0.61,1.14,0.0,0.23,0.11,0.0,0.3,0.04,0.0,0.04,86,3.26
5,幸福路社区,5,13,30,0,7,0,0,11,3,0,3,0.19,0.49,1.14,0.0,0.26,0.0,0.0,0.42,0.11,0.0,0.11,72,2.73
6,新隆康路社区,8,11,28,0,6,3,0,3,4,0,5,0.3,0.42,1.06,0.0,0.23,0.11,0.0,0.11,0.15,0.0,0.19,68,2.57
7,果园路社区,9,1,15,0,8,0,0,10,0,0,16,0.34,0.04,0.57,0.0,0.3,0.0,0.0,0.38,0.0,0.0,0.61,59,2.23
8,二马路社区,3,1,21,0,21,0,0,3,0,0,8,0.11,0.04,0.79,0.0,0.79,0.0,0.0,0.11,0.0,0.0,0.3,57,2.16
9,桥北社区,4,6,7,0,11,10,0,6,0,0,3,0.15,0.23,0.26,0.0,0.42,0.38,0.0,0.23,0.0,0.0,0.11,47,1.78
11,营盘路社区,0,0,0,0,13,0,0,23,0,0,10,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.87,0.0,0.0,0.38,46,1.74
11,香锦社区,3,0,10,0,13,0,0,14,2,0,4,0.11,0.0,0.38,0.0,0.49,0.0,0.0,0.53,0.08,0.0,0.15,46,1.74
