board,类,社区,投诉数,占比%
其他,公服设施,北山坡社区,1,50.0
其他,公服设施,朝阳路社区,1,50.0
安全韧性底线,交通设施,大学路社区,24,6.1
安全韧性底线,交通设施,万达社区,21,5.4
安全韧性底线,交通设施,港务社区,17,4.3
安全韧性底线,交通设施,张家湾社区,13,3.3
安全韧性底线,交通设施,胡家冲社区,12,3.1
安全韧性底线,交通设施,建设社区,12,3.1
安全韧性底线,交通设施,花溪路社区,10,2.6
安全韧性底线,交通设施,绿萝路社区,9,2.3
安全韧性底线,交通设施,伍临路社区,8,2.0
安全韧性底线,交通设施,宝联社区,8,2.0
安全韧性底线,交通设施,胜利四路社区,8,2.0
安全韧性底线,交通设施,沙河社区,8,2.0
安全韧性底线,交通设施,体育场路社区,7,1.8
安全韧性底线,交通设施,朝阳路社区,7,1.8
安全韧性底线,交通设施,黄河路社区,7,1.8
安全韧性底线,交通设施,金斗山社区,6,1.5
安全韧性底线,交通设施,山庄路社区,6,1.5
安全韧性底线,交通设施,柏临河路社区,6,1.5
安全韧性底线,交通设施,三峡物流园社区,6,1.5
安全韧性底线,交通设施,石板社区,6,1.5
安全韧性底线,交通设施,六泉湖社区,6,1.5
安全韧性底线,交通设施,韩家坝社区,5,1.3
安全韧性底线,交通设施,张家坡社区,5,1.3
安全韧性底线,交通设施,东城社区,5,1.3
安全韧性底线,交通设施,小林园社区,5,1.3
安全韧性底线,交通设施,白沙路社区,5,1.3
安全韧性底线,交通设施,学堂湾社区,5,1.3
安全韧性底线,交通设施,岳湾路社区,5,1.3
安全韧性底线,交通设施,夷陵路社区,5,1.3
安全韧性底线,交通设施,望洲社区,4,1.0
安全韧性底线,交通设施,花艳社区,4,1.0
安全韧性底线,交通设施,枫香树社区,4,1.0
安全韧性底线,交通设施,锦绣社区,4,1.0
安全韧性底线,交通设施,赵家湾社区,4,1.0
安全韧性底线,交通设施,新隆康路社区,4,1.0
安全韧性底线,交通设施,张家店社区,4,1.0
安全韧性底线,交通设施,白家冲社区,4,1.0
安全韧性底线,交通设施,翁家堰社区,4,1.0
安全韧性底线,交通设施,白龙井社区,4,1.0
安全韧性底线,交通设施,鸡山社区,3,0.8
安全韧性底线,交通设施,西峡社区,3,0.8
安全韧性底线,交通设施,古塔社区,3,0.8
安全韧性底线,交通设施,徐家坝社区,3,0.8
安全韧性底线,交通设施,冯家湾社区,3,0.8
安全韧性底线,交通设施,石板溪社区,3,0.8
安全韧性底线,交通设施,汕头路社区,3,0.8
安全韧性底线,交通设施,金安岭社区,3,0.8
安全韧性底线,交通设施,新金岭社区,2,0.5
安全韧性底线,交通设施,大树湾社区,2,0.5
安全韧性底线,交通设施,船柴社区,2,0.5
安全韧性底线,交通设施,营盘路社区,2,0.5
安全韧性底线,交通设施,果园路社区,2,0.5
安全韧性底线,交通设施,中南路社区,2,0.5
安全韧性底线,交通设施,二马路社区,2,0.5
安全韧性底线,交通设施,东站路社区,2,0.5
安全韧性底线,交通设施,朱市街社区,2,0.5
安全韧性底线,交通设施,龙盘湖社区,2,0.5
安全韧性底线,交通设施,魏家湾社区,2,0.5
安全韧性底线,交通设施,东锦苑社区,2,0.5
安全韧性底线,交通设施,八一路社区,2,0.5
安全韧性底线,交通设施,磨盘社区,2,0.5
安全韧性底线,交通设施,唐家湾社区,2,0.5
安全韧性底线,交通设施,四方堰社区,2,0.5
安全韧性底线,交通设施,东星社区,2,0.5
安全韧性底线,交通设施,香锦社区,2,0.5
安全韧性底线,交通设施,长江社区,2,0.5
安全韧性底线,交通设施,常刘路社区,2,0.5
安全韧性底线,交通设施,东山社区,2,0.5
