社区名,投诉数,占比%
朝阳路社区,595,7.77
万达社区,501,6.54
港务社区,417,5.45
建设社区,372,4.86
岳湾路社区,225,2.94
大学路社区,222,2.9
伍临路社区,221,2.89
东城社区,191,2.49
张家湾社区,187,2.44
宝联社区,156,2.04
体育场路社区,136,1.78
枫香树社区,126,1.65
营盘路社区,117,1.53
胜利四路社区,115,1.5
胜利二路社区,111,1.45
冯家湾社区,108,1.41
汕头路社区,107,1.4
花艳社区,97,1.27
小林园社区,93,1.21
柏临河路社区,88,1.15
沈家店社区,83,1.08
兴安社区,83,1.08
胡家冲社区,83,1.08
黄金卡社区,78,1.02
白家冲社区,76,0.99
艾家嘴社区,76,0.99
珠海路社区,74,0.97
果园路社区,73,0.95
张家店社区,72,0.94
花溪路社区,72,0.94
东站路社区,69,0.9
大堰湾社区,66,0.86
魏家湾社区,66,0.86
白沙路社区,65,0.85
东星社区,64,0.84
新隆康路社区,64,0.84
绿萝路社区,61,0.8
中南路社区,59,0.77
合益路社区,57,0.74
锦云社区,56,0.73
白龙井社区,55,0.72
沙河社区,54,0.71
山庄路社区,53,0.69
石板溪社区,53,0.69
港虹社区,52,0.68
翁家堰社区,51,0.67
古塔社区,50,0.65
黄河路社区,48,0.63
气象台社区,47,0.61
白马山社区,47,0.61
张家坡社区,42,0.55
鑫鼎社区,42,0.55
金家台社区,42,0.55
韩家坝社区,42,0.55
香锦社区,39,0.51
临江溪社区,38,0.5
三峡物流园社区,38,0.5
王家坝社区,38,0.5
学堂湾社区,38,0.5
徐家坝社区,37,0.48
八一路社区,37,0.48
朱市街社区,36,0.47
西峡社区,35,0.46
金斗山社区,32,0.42
东山花园社区,32,0.42
桔城路社区,31,0.4
朝阳社区,31,0.4
平云社区,31,0.4
石板社区,31,0.4
唐家湾社区,31,0.4
杨岔路社区,31,0.4
磨盘社区,29,0.38
赵家湾社区,28,0.37
北山坡社区,26,0.34
东湖社区,26,0.34
肖家岗社区,25,0.33
土城路社区,25,0.33
常刘路社区,25,0.33
青岛路社区,24,0.31
五龙社区,24,0.31
山河园路社区,22,0.29
刘家大堰社区,22,0.29
六泉湖社区,22,0.29
桐岭社区,21,0.27
营盘社区,20,0.26
金安岭社区,20,0.26
长江社区,20,0.26
白沙脑社区,18,0.24
大树湾社区,17,0.22
蔡家畈社区,17,0.22
船柴社区,16,0.21
桃花岭社区,15,0.2
李家湖社区,15,0.2
夷陵路社区,14,0.18
环城东路社区,14,0.18
苏家榜社区,13,0.17
望洲社区,12,0.16
龙盘湖社区,11,0.14
黄龙寺社区,11,0.14
东山社区,10,0.13
解放路社区,10,0.13
锦湖社区,10,0.13
锦绣社区,10,0.13
东艳路社区,9,0.12
新金岭社区,9,0.12
黑虎山社区,8,0.1
东门外正街社区,8,0.1
福久源社区,8,0.1
至喜社区,7,0.09
深圳路社区,7,0.09
铁路坝社区,7,0.09
常家湾社区,7,0.09
云池社区,7,0.09
叶家坝社区,7,0.09
丁家坝社区,6,0.08
桐岭新村社区,6,0.08
王家河社区,6,0.08
中书街社区,6,0.08
锦江社区,6,0.08
梅子溪社区,6,0.08
二马路社区,6,0.08
平湖馨苑社区,6,0.08
虎牙社区,5,0.07
竹涛山社区,5,0.07
四方堰社区,5,0.07
鸡山社区,5,0.07
红光社区,5,0.07
镇境山社区,5,0.07
下马槽社区,5,0.07
南苑社区,5,0.07
石板冲社区,4,0.05
土街头社区,4,0.05
绿洲社区,3,0.04
长樵溪社区,3,0.04
金巴岭社区,3,0.04
城东社区,3,0.04
廖家湾社区,2,0.03
临江坪社区,2,0.03
江山社区,2,0.03
东锦苑社区,2,0.03
东方社区,2,0.03
英雄山社区,2,0.03
谭家河社区,2,0.03
石子岭社区,2,0.03
峡州社区,1,0.01
松林路社区,1,0.01
幸福路社区,1,0.01
甲街社区,1,0.01
樵湖岭社区,1,0.01
润城社区,1,0.01
峡江社区,1,0.01
上导堤社区,1,0.01
长江新村社区,1,0.01
双桥社区,1,0.01
