村,住宅,停车,其他,出行,出行安全,噪声,消防安全,物业,环境安全,管网安全
共前村,3,2,0,8,0,8,2,7,2,1
共勤村,70,101,0,30,10,199,5,70,0,25
共升村,2,9,0,2,5,1,0,6,0,2
共同村,8,11,0,2,5,18,0,2,0,2
共和村,10,35,0,56,11,33,3,24,0,18
共强村,2,1,0,1,1,10,0,5,0,1
共联村,12,12,0,11,9,20,0,14,1,11
共谊村,1,6,0,0,5,2,1,3,0,2
前坪村,0,0,0,0,1,0,0,0,0,0
合益村,17,31,0,5,0,48,5,24,0,6
土门村,3,2,0,16,9,14,0,7,1,3
旭光村,41,56,0,41,22,115,7,68,1,11
梅花村,0,3,0,4,0,3,0,2,0,1
汉宜村,69,48,1,19,31,80,7,63,0,48
火光村,49,21,0,21,11,71,4,59,0,9
灵宝村,1,0,0,0,2,1,2,0,0,0
联丰村,4,6,0,8,0,11,3,8,1,1
车站村,2,2,0,3,4,0,0,2,0,3
