社区x,交通设施,住房,停车设施,公服设施,噪声治理,城市更新,安全消防,市政管网,施工管理,物业管理,环境治理,街面秩序,总点数,排序
共勤村,31,46,100,19,175,23,5,34,16,42,9,8,508,1
万达社区,63,49,83,15,130,26,3,35,13,30,25,26,498,2
港务社区,28,52,48,9,65,27,13,53,19,25,58,16,413,3
建设社区,29,65,23,6,107,23,12,30,25,14,19,17,370,4
汉宜村,47,37,48,4,65,31,7,51,9,22,38,5,364,5
旭光村,61,29,54,13,101,12,7,12,3,33,22,11,358,6
火光村,27,43,21,8,58,6,4,14,5,29,21,8,244,7
岳湾路社区,18,24,38,5,83,11,4,11,0,18,7,6,225,8
大学路社区,46,24,25,2,57,6,0,19,4,10,18,11,222,9
伍临路社区,15,39,14,0,58,29,2,10,4,29,13,4,217,10
共和村,67,9,35,1,28,1,3,18,2,9,14,3,190,11
张家湾社区,36,12,41,5,36,2,2,13,7,19,11,1,185,12
宝联社区,24,11,31,1,28,12,3,18,5,4,9,10,156,13
体育场路社区,10,23,8,0,28,14,6,17,3,7,17,3,136,14
合益村,5,14,31,5,36,3,5,6,9,12,7,2,135,15
枫香树社区,14,30,22,2,13,8,5,4,1,14,3,9,125,16
朝阳路社区,15,24,12,2,20,3,3,15,2,12,9,3,120,17
营盘路社区,7,16,11,1,23,18,2,8,6,9,13,3,117,18
胜利四路社区,9,13,12,1,24,9,3,10,6,11,12,4,114,19
胜利二路社区,6,6,11,2,28,23,1,8,9,11,5,1,111,20
花艳社区,38,8,19,1,15,1,0,8,0,1,6,0,97,21
小林园社区,10,7,14,1,17,16,2,8,1,4,8,4,92,22
共联村,18,9,12,4,17,3,0,13,0,3,8,3,90,23
柏临河路社区,12,13,16,4,17,0,4,9,2,6,4,1,88,24
沈家店社区,4,18,4,2,36,0,1,1,2,6,3,6,83,25
胡家冲社区,20,10,15,3,13,7,0,2,3,1,3,4,81,26
艾家嘴社区,5,7,7,0,19,9,1,3,3,12,7,3,76,27
白家冲社区,9,3,21,3,13,0,3,8,1,6,8,1,76,27
果园路社区,4,12,3,0,20,9,3,7,1,5,3,6,73,29
张家店社区,6,9,3,1,31,4,2,5,4,2,4,1,72,30
花溪路社区,17,3,10,3,13,0,0,5,2,11,6,1,71,31
汕头路社区,13,36,2,2,3,1,2,6,2,3,0,0,70,32
东站路社区,8,4,8,1,28,1,4,3,3,6,3,0,69,33
东城社区,21,7,6,1,13,2,1,4,2,5,2,2,66,34
大堰湾社区,2,9,3,2,14,19,0,12,1,3,0,1,66,34
白沙路社区,10,11,7,0,16,2,0,3,0,7,4,5,65,36
魏家湾社区,7,12,9,0,13,8,3,2,3,5,2,0,64,37
新隆康路社区,16,10,10,9,6,4,1,4,1,1,1,1,64,37
东星社区,7,9,7,3,13,1,1,6,5,4,4,3,63,39
中南路社区,3,12,7,2,17,1,3,2,0,10,2,0,59,40
合益路社区,0,10,11,0,12,8,0,4,1,5,1,5,57,41
绿萝路社区,22,4,3,0,10,0,1,9,1,3,4,0,57,41
白龙井社区,15,5,9,3,6,7,0,5,0,1,2,2,55,43
珠海路社区,4,5,13,0,11,4,0,9,1,3,2,2,54,44
石板溪社区,3,7,4,0,8,8,1,9,2,3,5,3,53,45
山庄路社区,13,5,11,0,4,4,1,9,0,1,5,0,53,45
翁家堰社区,5,3,7,10,6,6,0,6,0,3,4,1,51,47
古塔社区,3,3,6,0,16,5,0,11,0,4,0,2,50,48
沙河社区,17,2,3,0,11,4,0,7,0,3,2,0,49,49
共同村,6,8,11,0,13,0,0,3,4,2,0,1,48,50
黄河路社区,14,4,7,0,7,1,0,9,1,2,2,1,48,50
白马山社区,3,10,4,1,16,0,0,2,0,8,0,3,47,52
气象台社区,2,3,1,5,9,1,1,13,2,3,6,1,47,52
金家台社区,1,19,1,0,7,6,0,1,0,5,1,1,42,56
韩家坝社区,7,5,6,0,13,0,0,3,1,3,2,2,42,56
鑫鼎社区,4,6,6,2,7,0,0,6,0,4,2,5,42,56
土门村,22,2,2,2,3,0,0,3,2,0,5,1,42,56
联丰村,6,4,6,4,11,0,3,3,0,2,3,0,42,56
张家坡社区,9,8,5,0,9,3,3,1,0,1,1,0,40,59
香锦社区,4,8,6,0,5,5,1,4,0,3,2,1,39,60
临江溪社区,5,12,3,0,6,0,0,6,0,3,1,2,38,61
三峡物流园社区,10,3,10,0,5,0,0,5,1,2,1,1,38,61
八一路社区,6,6,3,1,7,3,0,2,0,3,5,1,37,63
徐家坝社区,3,4,5,0,14,1,3,1,4,1,0,1,37,63
朱市街社区,14,3,5,0,3,0,0,9,0,1,1,0,36,65
西峡社区,4,5,5,1,9,1,0,1,0,2,5,2,35,66
共前村,7,2,2,1,8,1,2,2,0,5,3,0,33,67
金斗山社区,9,0,5,1,2,0,0,6,0,0,9,0,32,68
唐家湾社区,2,2,3,0,10,1,0,9,0,0,4,0,31,70
杨岔路社区,3,3,6,0,7,2,1,3,0,1,5,0,31,70
石板社区,11,5,2,2,3,3,0,2,0,2,1,0,31,70
桔城路社区,5,2,11,0,2,3,0,2,0,4,2,0,31,70
冯家湾社区,9,2,7,0,5,3,0,1,1,1,1,0,30,73
黄金卡社区,4,4,3,0,8,2,0,2,0,2,2,2,29,74
磨盘社区,3,10,0,0,0,5,0,0,0,5,4,2,29,74
王家坝社区,2,0,4,0,15,1,1,1,0,0,1,3,28,76
赵家湾社区,10,1,1,2,3,6,0,4,0,1,0,0,28,76
共升村,7,1,9,1,0,1,0,2,1,0,5,0,27,78
东湖社区,3,0,3,0,2,2,1,10,0,4,1,0,26,79
北山坡社区,1,1,1,1,8,6,1,3,0,2,2,0,26,79
常刘路社区,2,2,2,0,8,1,1,0,0,4,4,1,25,82
土城路社区,1,4,3,4,2,0,0,9,0,1,1,0,25,82
肖家岗社区,5,2,2,1,5,1,0,5,0,0,3,1,25,82
兴安社区,2,5,4,0,4,6,0,0,1,2,0,0,24,84
五龙社区,5,2,0,1,2,0,0,9,0,1,4,0,24,84
学堂湾社区,11,1,1,0,6,1,0,0,1,0,2,0,23,86
刘家大堰社区,1,5,2,0,7,3,0,2,1,1,0,0,22,88
六泉湖社区,6,1,6,0,2,0,0,1,1,1,3,1,22,88
山河园路社区,2,1,1,0,7,6,0,1,1,2,1,0,22,88
青岛路社区,2,2,2,0,14,1,0,0,0,1,0,0,22,88
共强村,2,2,1,0,10,0,0,1,0,2,3,0,21,91
桐岭社区,0,0,6,0,4,4,0,4,1,0,2,0,21,91
金安岭社区,4,2,0,0,0,3,0,6,0,3,2,0,20,94
共谊村,5,1,6,0,2,0,1,2,0,1,2,0,20,94
东山花园社区,1,3,3,1,5,0,0,5,0,0,2,0,20,94
白沙脑社区,2,1,1,0,1,4,0,0,2,4,1,2,18,96
大树湾社区,11,0,0,0,0,0,0,1,3,0,2,0,17,97
蔡家畈社区,2,0,1,0,0,3,1,1,1,3,4,1,17,97
船柴社区,2,5,0,0,1,1,0,2,1,3,1,0,16,99
车站村,5,2,2,0,0,0,0,4,0,0,2,0,15,101
桃花岭社区,1,1,4,0,0,2,0,3,0,0,3,1,15,101
李家湖社区,0,1,3,0,6,2,0,3,0,0,0,0,15,101
夷陵路社区,5,0,3,0,3,1,0,0,0,0,2,0,14,103
环城东路社区,1,4,2,1,1,0,0,2,1,0,2,0,14,103
苏家榜社区,1,0,2,0,4,0,2,1,2,1,0,0,13,105
望洲社区,4,0,1,0,3,1,0,1,0,1,1,0,12,106
黄龙寺社区,8,0,0,0,0,0,0,1,0,0,2,0,11,107
龙盘湖社区,3,1,1,1,1,0,0,3,0,1,0,0,11,107
解放路社区,1,2,0,0,2,2,0,1,0,1,1,0,10,111
锦湖社区,1,0,3,0,0,1,0,2,0,0,0,3,10,111
长江社区,3,1,3,0,1,2,0,0,0,0,0,0,10,111
锦绣社区,5,0,0,1,1,0,0,2,0,0,1,0,10,111
东山社区,4,0,1,1,0,0,0,2,0,2,0,0,10,111
港虹社区,3,0,3,0,0,0,1,0,0,3,0,0,10,111
新金岭社区,5,1,1,0,1,0,0,0,0,0,1,0,9,115
东艳路社区,0,4,1,0,0,1,0,2,0,1,0,0,9,115
营盘社区,0,1,1,1,1,2,1,1,0,0,0,0,8,119
黑虎山社区,1,0,1,0,0,4,0,0,2,0,0,0,8,119
东门外正街社区,1,1,1,0,0,1,0,1,0,1,2,0,8,119
福久源社区,0,7,0,0,1,0,0,0,0,0,0,0,8,119
梅花村,3,0,2,1,0,0,0,1,0,0,0,1,8,119
云池社区,4,0,0,0,0,1,0,1,0,0,1,0,7,124
叶家坝社区,2,1,0,0,0,0,0,0,0,0,4,0,7,124
常家湾社区,0,1,1,0,0,1,0,2,0,1,0,1,7,124
深圳路社区,1,4,1,0,0,0,0,0,0,0,1,0,7,124
铁路坝社区,1,1,1,0,1,2,0,0,0,0,0,1,7,124
二马路社区,2,0,0,0,2,0,0,0,1,0,1,0,6,131
平云社区,0,1,1,0,1,2,0,0,0,1,0,0,6,131
中书街社区,1,1,1,1,2,0,0,0,0,0,0,0,6,131
至喜社区,5,0,0,0,0,0,0,1,0,0,0,0,6,131
锦云社区,0,1,2,0,1,0,0,0,1,0,1,0,6,131
桐岭新村社区,1,1,1,1,0,0,0,1,0,1,0,0,6,131
梅子溪社区,1,0,0,2,0,0,0,2,0,0,1,0,6,131
王家河社区,3,0,1,0,1,0,0,1,0,0,0,0,6,131
平湖馨苑社区,0,0,2,0,3,0,0,0,1,0,0,0,6,131
灵宝村,2,1,0,0,1,0,2,0,0,0,0,0,6,131
红光社区,0,0,1,0,0,0,0,0,0,2,1,1,5,140
朝阳社区,0,2,0,0,1,2,0,0,0,0,0,0,5,140
南苑社区,0,1,2,0,0,0,0,0,0,0,2,0,5,140
鸡山社区,4,0,0,0,0,0,0,0,0,0,1,0,5,140
虎牙社区,0,0,1,0,0,0,0,0,1,0,0,3,5,140
镇境山社区,1,0,0,0,0,1,0,3,0,0,0,0,5,140
下马槽社区,1,1,0,0,1,2,0,0,0,0,0,0,5,140
四方堰社区,2,0,1,0,1,1,0,0,0,0,0,0,5,140
竹涛山社区,1,1,0,1,0,0,0,1,0,0,0,0,4,146
土街头社区,1,1,0,0,1,0,0,1,0,0,0,0,4,146
锦江社区,1,0,0,0,3,0,0,0,0,0,0,0,4,146
石板冲社区,0,0,0,0,1,1,0,1,0,1,0,0,4,146
绿洲社区,0,0,1,0,0,0,0,1,1,0,0,0,3,151
城东社区,1,1,0,0,0,0,0,0,0,0,1,0,3,151
丁家坝社区,2,0,0,0,0,1,0,0,0,0,0,0,3,151
长樵溪社区,1,0,0,2,0,0,0,0,0,0,0,0,3,151
金巴岭社区,1,0,0,0,0,0,0,2,0,0,0,0,3,151
英雄山社区,0,0,0,0,1,0,0,0,0,1,0,0,2,157
东方社区,0,0,0,0,0,0,0,2,0,0,0,0,2,157
临江坪社区,0,2,0,0,0,0,0,0,0,0,0,0,2,157
东锦苑社区,2,0,0,0,0,0,0,0,0,0,0,0,2,157
廖家湾社区,0,0,1,0,1,0,0,0,0,0,0,0,2,157
石子岭社区,0,0,0,0,0,0,0,2,0,0,0,0,2,157
江山社区,0,0,0,0,1,0,1,0,0,0,0,0,2,157
谭家河社区,0,0,0,0,1,0,0,0,0,0,1,0,2,157
甲街社区,0,0,0,0,0,0,0,0,0,1,0,0,1,167
润城社区,0,0,0,1,0,0,0,0,0,0,0,0,1,167
樵湖岭社区,1,0,0,0,0,0,0,0,0,0,0,0,1,167
