归并类,项目类型,小类,件数
求助-市政设施,市政管网,路灯破损,780
求助-市政设施,市政管网,化粪池满溢,452
求助-市政设施,市政管网,其它井盖破损、缺失、移位,359
求助-市政设施,市政管网,自来水管破裂,334
求助-市政设施,市政管网,水质问题投诉,315
求助-市政设施,市政管网,污水井盖,297
求助-市政设施,市政管网,水压问题投诉,285
求助-市政设施,市政管网,高空线缆问题,243
求助-市政设施,市政管网,消防设施漏水、破损,240
求助-市政设施,市政管网,电线杆问题,191
求助-市政设施,市政管网,排水设施堵塞,184
求助-市政设施,市政管网,电力井盖,137
求助-市政设施,市政管网,污水压力管道破裂,126
求助-市政设施,市政管网,燃气气压问题投诉,103
求助-市政设施,市政管网,雨水井盖,94
求助-市政设施,市政管网,电力设施（变压器、输电塔、电力交接箱）破损,92
求助-市政设施,市政管网,小区线路问题,88
求助-市政设施,市政管网,雨水箅子,59
求助-市政设施,市政管网,景观灯（含地灯、射灯）破损,55
求助-市政设施,市政管网,铁塔问题,50
求助-市政设施,市政管网,线路改造问题,49
求助-市政设施,市政管网,立杆杆体破损、倒伏,46
求助-市政设施,市政管网,杆线下垂,45
求助-市政设施,市政管网,桥梁隧道灯破损,43
求助-市政设施,市政管网,自来水井盖,41
求助-市政设施,市政管网,燃气管道破裂,34
求助-市政设施,市政管网,通讯交接箱破损,27
求助-市政设施,市政管网,通讯井盖,27
求助-市政设施,市政管网,隧道设施破损,25
求助-市政设施,市政管网,水渠破损,22
求助-市政设施,市政管网,路灯井盖,19
求助-市政设施,市政管网,化粪池盖板缺失破裂,14
求助-市政设施,市政管网,城市设施部件不洁,11
求助-市政设施,市政管网,直饮水机破损,9
求助-市政设施,市政管网,健身设施破损,9
求助-市政设施,市政管网,临河、临水标志、警示牌及防护设施破损,9
求助-市政设施,市政管网,报刊、售货亭破损,7
求助-市政设施,市政管网,人防设施破损,6
求助-市政设施,市政管网,燃气井盖,6
求助-市政设施,市政管网,网络井盖,5
求助-市政设施,市政管网,宣传栏破损,5
求助-市政设施,市政管网,慈善衣物捐赠箱破损,2
