rank,community,TJSafe,TJLiv,HotSafe,HotLiv,high_dim,score
1,香锦社区,13,17,33,148,4,0.89
2,果园路社区,25,10,23,104,4,0.87
3,桃花岭社区,15,9,19,69,4,0.81
4,汕头路社区,14,3,48,597,3,0.8
5,港务社区,2,8,168,985,3,0.8
6,新隆康路社区,47,10,6,60,3,0.79
7,体育场路社区,4,13,24,94,3,0.79
8,赵家湾社区,13,8,15,44,3,0.75
9,朝阳路社区,7,4,34,51,1,0.74
10,胜利四路社区,6,5,20,78,2,0.74
11,大学路社区,1,6,38,133,3,0.72
12,金安岭社区,73,11,9,11,2,0.72
13,深圳路社区,78,28,3,11,2,0.69
14,东湖社区,17,8,12,13,2,0.68
15,西峡社区,82,7,3,20,2,0.66
16,韩家坝社区,11,3,9,50,0,0.65
17,东门外正街社区,22,11,4,9,2,0.65
18,杨岔路社区,3,6,8,44,1,0.64
19,刘家大堰社区,20,5,4,27,1,0.64
20,宝联社区,3,1,52,414,2,0.63
21,胜利二路社区,6,1,24,188,2,0.63
22,营盘路社区,0,27,14,48,2,0.62
23,北山坡社区,5,4,4,46,0,0.6
24,合益路社区,18,2,3,73,2,0.6
25,伍临路社区,0,4,24,269,2,0.6
26,王家河社区,17,4,2,38,1,0.59
27,珠海路社区,2,3,13,46,1,0.58
28,桔城路社区,20,2,4,38,1,0.58
29,八一路社区,1,1,30,349,2,0.57
30,气象台社区,1,4,14,29,1,0.55
31,幸福路社区,48,14,2,1,2,0.55
32,艾家嘴社区,2,0,24,231,2,0.55
33,二马路社区,25,4,1,17,1,0.54
34,古塔社区,0,2,30,132,2,0.53
35,常家湾社区,14,11,1,3,2,0.5
36,东星社区,0,0,88,279,2,0.49
37,花艳社区,0,1,45,182,2,0.49
38,镇境山社区,67,14,0,0,2,0.48
39,张家湾社区,0,0,42,273,2,0.48
40,魏家湾社区,0,0,38,261,2,0.48
41,大堰湾社区,0,2,16,66,2,0.48
42,船柴社区,3,2,5,23,0,0.47
43,张家坡社区,1,0,14,71,2,0.47
44,东城社区,0,0,29,206,2,0.46
45,桥北社区,17,17,0,1,2,0.45
46,东站路社区,0,0,24,227,2,0.45
47,长江社区,3,1,10,26,0,0.45
48,临江坪社区,0,0,30,97,2,0.44
49,锦湖社区,0,0,28,97,2,0.44
50,铁路坝社区,4,18,0,5,1,0.44
51,花溪路社区,0,0,29,113,2,0.44
52,临江溪社区,0,1,13,133,2,0.43
53,肖家岗社区,14,5,0,6,1,0.43
54,绿萝路社区,21,9,0,1,2,0.43
55,望洲社区,0,3,21,15,1,0.43
56,学堂湾社区,3,3,1,27,0,0.42
57,冯家湾社区,0,0,16,130,2,0.42
58,翁家堰社区,1,0,10,41,0,0.42
59,枫香树社区,0,1,14,90,2,0.42
60,青岛路社区,1,3,2,31,0,0.41
61,镇平路社区,14,11,0,0,2,0.41
62,土街头社区,9,4,1,2,0,0.4
63,东艳路社区,4,1,2,39,0,0.4
64,建设社区,0,0,11,121,1,0.4
65,石板溪社区,0,0,17,59,2,0.4
66,石子岭社区,6,2,3,5,0,0.4
67,白沙路社区,0,2,4,54,1,0.39
68,樵湖岭社区,10,9,0,1,1,0.39
69,东锦苑社区,0,0,16,58,2,0.39
70,环城东路社区,21,3,1,1,1,0.39
71,黄金卡社区,0,0,13,92,2,0.39
72,柏临河路社区,0,0,15,52,2,0.38
73,金巴岭社区,0,1,10,39,0,0.36
74,朱市街社区,0,0,16,37,1,0.36
75,长樵溪社区,1,13,1,0,1,0.36
76,白龙井社区,0,1,9,41,0,0.36
77,丫口社区,27,3,0,0,1,0.35
78,白家冲社区,0,0,6,71,1,0.35
79,沙河社区,0,1,11,31,0,0.34
80,金斗山社区,0,0,12,34,0,0.34
81,金家台社区,2,0,6,11,0,0.34
82,山河园路社区,1,1,3,27,0,0.34
83,徐家坝社区,0,1,9,31,0,0.33
84,黄河路社区,3,1,2,14,0,0.32
85,苏家榜社区,8,4,0,1,0,0.32
86,南苑社区,0,10,1,5,1,0.32
87,清波路社区,15,3,0,0,1,0.32
88,锦云社区,0,0,6,44,0,0.32
89,白马山社区,4,1,1,18,0,0.32
90,夜明珠社区,4,0,4,5,0,0.31
91,解放路社区,0,4,1,19,0,0.31
92,中书街社区,5,0,2,7,0,0.31
93,大树湾社区,0,0,6,32,0,0.3
94,李家湖社区,0,1,4,37,0,0.3
95,夷陵路社区,10,3,0,1,0,0.3
96,福久源社区,0,0,6,31,0,0.29
97,小林园社区,3,0,4,4,0,0.29
98,江山社区,0,2,3,15,0,0.29
99,叶家坝社区,4,3,0,3,0,0.29
100,山庄路社区,1,10,0,0,1,0.29
101,石板冲社区,0,0,5,24,0,0.28
102,四方堰社区,2,5,0,0,0,0.27
103,磨盘社区,0,0,3,34,0,0.26
104,英雄山社区,2,3,0,2,0,0.25
105,城东社区,8,1,0,5,0,0.25
106,平湖社区,0,0,3,33,0,0.25
107,光明路社区,6,2,0,0,0,0.24
108,沈家店社区,0,3,0,21,0,0.24
109,港虹社区,0,0,2,39,0,0.24
110,五龙社区,0,0,4,20,0,0.24
111,黄龙寺社区,0,0,7,7,0,0.24
112,桐岭新村社区,0,0,4,16,0,0.23
113,王家坝社区,0,0,3,22,0,0.23
114,营盘社区,0,0,4,16,0,0.23
115,梅子溪社区,0,0,4,15,0,0.23
116,东山花园社区,0,2,2,6,0,0.22
117,谭家河社区,0,0,6,6,0,0.22
118,兴安社区,0,0,1,33,0,0.2
119,鑫鼎社区,0,1,1,20,0,0.19
120,绿洲社区,0,0,3,11,0,0.19
121,上导堤社区,0,7,0,1,1,0.19
122,甲街社区,0,6,0,1,1,0.19
123,东方社区,0,0,7,2,0,0.19
124,黑虎山社区,0,0,3,8,0,0.18
125,后坪社区,0,0,2,14,0,0.18
126,六泉湖社区,0,0,4,4,0,0.17
127,茶庵社区,0,0,1,21,0,0.17
128,峡州社区,0,5,0,0,0,0.17
129,龙盘湖社区,0,0,4,3,0,0.16
130,竹涛山社区,0,0,2,10,0,0.16
131,云池社区,0,0,2,10,0,0.16
132,至喜社区,0,0,2,7,0,0.15
133,环城北路社区,1,1,0,3,0,0.14
134,墨池巷社区,4,0,0,0,0,0.14
135,土城路社区,0,0,2,5,0,0.13
136,锦江社区,0,0,1,7,0,0.12
137,尚书巷社区,3,0,0,1,0,0.12
138,蔡家畈社区,0,0,1,6,0,0.12
139,下马槽社区,0,0,2,3,0,0.11
140,新金岭社区,0,0,0,11,0,0.09
141,石板社区,0,0,0,8,0,0.08
142,平湖馨苑社区,0,2,0,0,0,0.08
143,（范围外/未匹配）,0,2,0,0,0,0.08
144,万达社区,0,2,0,0,0,0.08
145,三峡物流园社区,0,2,0,0,0,0.08
146,鸡山社区,0,0,2,0,0,0.07
147,虎牙社区,0,0,0,5,0,0.06
148,丁家坝社区,0,0,0,4,0,0.05
149,长江新村社区,0,0,1,1,0,0.05
150,桐岭社区,0,0,0,3,0,0.04
151,朝阳社区,0,0,0,3,0,0.04
152,锦绣社区,0,0,0,3,0,0.04
153,廖家湾社区,0,0,0,2,0,0.03
154,常刘路社区,0,1,0,1,0,0.03
155,岳湾路社区,0,1,0,0,0,0.02
156,胡家冲社区,0,1,0,0,0,0.02
157,唐家湾社区,0,1,0,0,0,0.02
158,松林路社区,0,0,0,1,0,0.0
159,张家店社区,0,0,0,1,0,0.0
160,东山社区,0,0,0,1,0,0.0
161,红光社区,0,0,0,1,0,0.0
