社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_v2,rank_v1
胜利四路社区,6,10,20,95,44,0.23648954935887614,0.028462761028837474,13.636363636363635,22.727272727272727,454.5454545454545,2159.090909090909,562.1380154858961,4040.366986304878,13.158596947345272,19.928451178130207,422.19874429204316,2139.324282603488,0.8948170731707317,1,6.0
绿萝路社区,21,10,20,41,52,0.19415996677995695,0.03908007692733619,40.38461538461539,19.230769230769234,384.61538461538464,788.4615384615385,793.2430649417621,1560.8976439176608,38.83422897136043,17.245505066545626,361.7106398887618,783.9678748546338,0.8932926829268293,2,65.0
胜利二路社区,6,3,9,102,30,0.2937001635977891,0.02452748304573265,20.0,10.0,300.0,3400.0,366.93532651593625,4525.535693696547,18.85827205326888,8.678517049613955,271.8033196006052,3352.0382881728297,0.8528963414634146,3,5.0
港务社区,2,15,83,334,106,0.29778494658391214,0.05096656393850951,1.8867924528301887,14.150943396226415,783.0188679245283,3150.943396226415,333.5520130513463,8181.8346730830235,1.9342662084256512,13.44328833136019,757.4504059973596,3138.3155425926307,0.8521341463414634,4,8.0
宝联社区,3,26,29,127,94,0.722575362722934,0.05159950629725509,3.1914893617021276,27.659574468085108,308.51063829787233,1351.063829787234,562.0208812258093,3023.284740387112,3.2134362188692687,25.879565572154185,298.4245021698998,1345.773164505156,0.8429878048780488,5,7.0
汕头路社区,14,3,10,97,39,3.180385339188553,0.030673913740386145,35.8974358974359,7.6923076923076925,256.4102564102564,2487.1794871794873,554.2168548781343,3488.3060865859047,34.1113504424904,6.996003174617446,238.0435950831769,2461.0077997058183,0.8429878048780488,6,2.0
果园路社区,25,26,11,62,93,0.43476168298271195,0.05069830836913655,26.881720430107524,27.956989247311824,118.27956989247312,666.6666666666666,1005.9507238124557,1439.8902517315544,26.327007620559506,26.13727218296918,115.6304673614034,664.7556463830447,0.836890243902439,7,3.0
赵家湾社区,13,13,8,20,44,0.32115911278496106,0.024782028440730734,29.545454545454547,29.545454545454547,181.8181818181818,454.5454545454545,1049.1473715391053,1129.8510155036518,28.27046692626954,25.7624629276379,171.35692047169542,452.7672739049771,0.8323170731707317,8,4.0
体育场路社区,4,15,29,107,89,1.0090519358675896,0.04608713399192749,4.49438202247191,16.853932584269664,325.8426966292135,1202.247191011236,412.2625634158113,2950.9320328710705,4.484413571656824,15.813437269458127,314.49666926646296,1197.44144602029,0.8277439024390244,9,12.0
朝阳路社区,7,4,58,536,84,2.351654379148879,0.03898557538571295,8.333333333333332,4.761904761904762,690.4761904761905,6380.952380952382,282.1556406739907,15236.4045963955,8.2195569189711,4.646254162454038,662.5483762031324,6347.090330316879,0.8262195121951219,10,23.0
