社区,体检安全,体检民生,12345安全,12345民生,安全量,民生量,合计,双高
丁家坝社区,0,0,0,4,0,4,4,False
万达社区,0,7,0,0,0,7,7,False
三峡物流园社区,0,2,0,0,0,2,2,False
上导堤社区,0,9,0,1,0,10,10,False
下马槽社区,0,0,2,3,2,3,5,False
东城社区,0,0,29,206,29,206,235,True
东山社区,0,0,0,1,0,1,1,False
东山花园社区,0,3,2,6,2,9,11,False
东方社区,0,0,7,2,7,2,9,False
东星社区,0,0,88,279,88,279,367,True
东湖社区,17,8,12,13,29,21,50,False
东站路社区,0,0,24,227,24,227,251,True
东艳路社区,4,1,2,39,6,40,46,False
东锦苑社区,0,0,16,58,16,58,74,False
东门外正街社区,22,13,4,9,26,22,48,False
丫口社区,27,7,0,0,27,7,34,False
中书街社区,5,1,2,7,7,8,15,False
临江坪社区,0,0,30,97,30,97,127,True
临江溪社区,0,1,13,133,13,134,147,False
二马路社区,25,12,1,17,26,29,55,False
云池社区,0,0,2,10,2,10,12,False
五龙社区,0,0,4,20,4,20,24,False
伍临路社区,0,8,24,269,24,277,301,True
体育场路社区,4,15,24,94,28,109,137,True
光明路社区,6,2,0,0,6,2,8,False
八一路社区,1,1,30,349,31,350,381,True
六泉湖社区,0,0,4,4,4,4,8,False
兴安社区,0,0,1,33,1,33,34,False
冯家湾社区,0,0,16,130,16,130,146,False
刘家大堰社区,20,5,4,27,24,32,56,False
北山坡社区,5,5,4,46,9,51,60,False
南苑社区,0,13,1,5,1,18,19,False
古塔社区,0,2,30,132,30,134,164,True
叶家坝社区,4,3,0,3,4,6,10,False
合益路社区,18,2,3,73,21,75,96,True
后坪社区,0,0,2,14,2,14,16,False
唐家湾社区,0,1,0,0,0,1,1,False
四方堰社区,2,9,0,0,2,9,11,False
土城路社区,0,0,2,5,2,5,7,False
土街头社区,9,4,1,2,10,6,16,False
城东社区,8,8,0,5,8,13,21,False
墨池巷社区,4,1,0,0,4,1,5,False
夜明珠社区,4,2,4,5,8,7,15,False
大堰湾社区,0,3,16,66,16,69,85,False
大学路社区,1,6,38,133,39,139,178,True
大树湾社区,0,0,6,32,6,32,38,False
夷陵路社区,10,8,0,1,10,9,19,False
学堂湾社区,3,7,1,27,4,34,38,False
宝联社区,3,26,52,414,55,440,495,True
小林园社区,3,6,4,4,7,10,17,False
尚书巷社区,3,5,0,1,3,6,9,False
山庄路社区,1,11,0,0,1,11,12,False
山河园路社区,1,2,3,27,4,29,33,False
岳湾路社区,0,2,0,0,0,2,2,False
峡州社区,0,6,0,0,0,6,6,False
常刘路社区,0,2,0,1,0,3,3,False
常家湾社区,14,13,1,3,15,16,31,False
平湖社区,0,0,3,33,3,33,36,False
平湖馨苑社区,0,2,0,0,0,2,2,False
幸福路社区,48,17,2,1,50,18,68,False
廖家湾社区,0,0,0,2,0,2,2,False
建设社区,0,9,11,121,11,130,141,False
张家坡社区,1,1,14,71,15,72,87,False
张家店社区,0,12,0,1,0,13,13,False
张家湾社区,0,0,42,273,42,273,315,True
徐家坝社区,0,2,9,31,9,33,42,False
新金岭社区,0,0,0,11,0,11,11,False
新隆康路社区,47,15,6,60,53,75,128,True
望洲社区,0,3,21,15,21,18,39,False
朝阳社区,0,0,0,3,0,3,3,False
朝阳路社区,7,4,34,51,41,55,96,False
朱市街社区,0,0,16,37,16,37,53,False
李家湖社区,0,1,4,37,4,38,42,False
杨岔路社区,3,18,8,44,11,62,73,False
松林路社区,0,0,0,1,0,1,1,False
果园路社区,25,26,23,104,48,130,178,True
枫香树社区,0,1,14,90,14,91,105,False
柏临河路社区,0,1,15,52,15,53,68,False
桃花岭社区,15,16,19,69,34,85,119,True
桐岭新村社区,0,0,4,16,4,16,20,False
桐岭社区,0,0,0,3,0,3,3,False
桔城路社区,20,6,4,38,24,44,68,False
桥北社区,17,20,0,1,17,21,38,False
梅子溪社区,0,0,4,15,4,15,19,False
樵湖岭社区,10,14,0,1,10,15,25,False
气象台社区,1,10,14,29,15,39,54,False
汕头路社区,14,3,48,597,62,600,662,True
江山社区,0,2,3,15,3,17,20,False
沈家店社区,0,3,0,21,0,24,24,False
沙河社区,0,1,11,31,11,32,43,False
深圳路社区,78,29,3,11,81,40,121,False
清波路社区,15,4,0,0,15,4,19,False
港务社区,2,15,168,985,170,1000,1170,True
港虹社区,0,0,2,39,2,39,41,False
王家坝社区,0,0,3,22,3,22,25,False
王家河社区,17,8,2,38,19,46,65,False
环城东路社区,21,7,1,1,22,8,30,False
环城北路社区,1,4,0,3,1,7,8,False
珠海路社区,2,3,13,46,15,49,64,False
甲街社区,0,6,0,1,0,7,7,False
白家冲社区,0,0,6,71,6,71,77,False
白沙路社区,0,6,4,54,4,60,64,False
白马山社区,4,1,1,18,5,19,24,False
白龙井社区,0,4,9,41,9,45,54,False
石子岭社区,6,4,3,5,9,9,18,False
石板冲社区,0,0,5,24,5,24,29,False
石板溪社区,0,3,17,59,17,62,79,False
石板社区,0,0,0,8,0,8,8,False
磨盘社区,0,0,3,34,3,34,37,False
福久源社区,0,0,6,31,6,31,37,False
竹涛山社区,0,1,2,10,2,11,13,False
红光社区,0,0,0,1,0,1,1,False
绿洲社区,0,0,3,11,3,11,14,False
绿萝路社区,21,10,0,1,21,11,32,False
翁家堰社区,1,8,10,41,11,49,60,False
肖家岗社区,14,6,0,6,14,12,26,False
胜利二路社区,6,3,24,188,30,191,221,True
胜利四路社区,6,10,20,78,26,88,114,True
胡家冲社区,0,1,0,0,0,1,1,False
至喜社区,0,0,2,7,2,7,9,False
船柴社区,3,2,5,23,8,25,33,False
艾家嘴社区,2,2,24,231,26,233,259,True
花溪路社区,0,0,29,113,29,113,142,True
花艳社区,0,2,45,182,45,184,229,True
苏家榜社区,8,5,0,1,8,6,14,False
英雄山社区,2,3,0,2,2,5,7,False
茶庵社区,0,0,1,21,1,21,22,False
营盘社区,0,0,4,16,4,16,20,False
营盘路社区,0,37,14,48,14,85,99,False
蔡家畈社区,0,0,1,6,1,6,7,False
虎牙社区,0,0,0,5,0,5,5,False
西峡社区,82,9,3,20,85,29,114,False
解放路社区,0,5,1,19,1,24,25,False
谭家河社区,0,0,6,6,6,6,12,False
赵家湾社区,13,13,15,44,28,57,85,True
金安岭社区,73,11,9,11,82,22,104,False
金家台社区,2,2,6,11,8,13,21,False
金巴岭社区,0,1,10,39,10,40,50,False
金斗山社区,0,0,12,34,12,34,46,False
鑫鼎社区,0,1,1,20,1,21,22,False
铁路坝社区,4,21,0,5,4,26,30,False
锦云社区,0,0,6,44,6,44,50,False
锦江社区,0,0,1,7,1,7,8,False
锦湖社区,0,0,28,97,28,97,125,True
锦绣社区,0,0,0,3,0,3,3,False
镇境山社区,67,15,0,0,67,15,82,False
镇平路社区,14,12,0,0,14,12,26,False
长樵溪社区,1,13,1,0,2,13,15,False
长江新村社区,0,0,1,1,1,1,2,False
长江社区,3,3,10,26,13,29,42,False
青岛路社区,1,3,2,31,3,34,37,False
韩家坝社区,11,6,9,50,20,56,76,False
香锦社区,13,21,33,148,46,169,215,True
魏家湾社区,0,0,38,261,38,261,299,True
鸡山社区,0,0,2,0,2,0,2,False
黄河路社区,3,5,2,14,5,19,24,False
黄金卡社区,0,0,13,92,13,92,105,False
黄龙寺社区,0,0,7,7,7,7,14,False
黑虎山社区,0,0,3,8,3,8,11,False
龙盘湖社区,0,1,4,3,4,4,8,False
