社区,楼栋数,体检点_2025,体检点_2026新增,体检点_全覆盖,密度_每百栋_全覆盖,area_km2
竹涛山社区,35.0,1,0,1,2.9,0.247
江山社区,96.0,2,0,2,2.1,0.326
花溪路社区,31.0,0,0,0,0.0,2.1
李家湖社区,38.0,1,0,1,2.6,0.391
四方堰社区,65.0,11,0,11,16.9,0.158
翁家堰社区,53.0,9,0,9,17.0,0.122
唐家湾社区,15.0,1,0,1,6.7,0.833
望洲社区,425.0,3,0,3,0.7,0.348
峡州社区,34.0,6,0,6,17.6,0.329
常家湾社区,82.0,27,0,27,32.9,0.193
金安岭社区,56.0,84,0,84,150.0,0.19
平湖馨苑社区,46.0,2,0,2,4.3,0.175
镇境山社区,78.0,82,0,82,105.1,0.285
镇平路社区,203.0,26,0,26,12.8,0.349
白龙井社区,111.0,4,0,4,3.6,0.594
绿萝路社区,52.0,31,0,31,59.6,0.194
茶庵社区,167.0,0,0,0,0.0,0.363
福久源社区,59.0,0,0,0,0.0,0.288
解放路社区,50.0,5,0,5,10.0,0.18
长樵溪社区,51.0,14,0,14,27.5,0.198
鑫鼎社区,8.0,1,0,1,12.5,0.333
气象台社区,69.0,11,0,11,15.9,0.449
石板溪社区,80.0,3,0,3,3.8,0.182
铁路坝社区,56.0,25,0,25,44.6,0.24
胡家冲社区,53.0,1,0,1,1.9,0.315
松林路社区,11.0,0,0,0,0.0,0.226
青岛路社区,35.0,4,0,4,11.4,1.291
南苑社区,122.0,13,0,13,10.7,0.481
山河园路社区,31.0,3,0,3,9.7,0.251
艾家嘴社区,166.0,4,0,4,2.4,0.865
古塔社区,68.0,2,0,2,2.9,0.59
东山花园社区,100.0,3,0,3,3.0,0.529
城东社区,109.0,16,0,16,14.7,0.421
廖家湾社区,36.0,0,0,0,0.0,0.355
学堂湾社区,62.0,10,0,10,16.1,0.56
叶家坝社区,26.0,7,0,7,26.9,0.718
汕头路社区,39.0,17,0,17,43.6,3.18
深圳路社区,127.0,107,0,107,84.3,0.364
珠海路社区,42.0,5,0,5,11.9,0.548
