社区,市政设施,消防安全,危房,总点数,总占比%,覆盖类数,排序,严重度
西峡社区,15,25,42,82,8.84,3,1,严重
深圳路社区,18,30,30,78,8.41,3,2,严重
金安岭社区,19,14,40,73,7.87,3,3,严重
镇境山社区,21,16,30,67,7.22,3,4,严重
幸福路社区,5,13,30,48,5.17,3,5,严重
新隆康路社区,8,11,28,47,5.06,3,6,严重
丫口社区,13,7,7,27,2.91,3,7,严重
二马路社区,3,1,21,25,2.69,3,8,严重
果园路社区,9,1,15,25,2.69,3,8,严重
东门外正街社区,0,22,0,22,2.37,1,10,较严重
绿萝路社区,2,13,6,21,2.26,3,11,严重
环城东路社区,2,0,19,21,2.26,2,11,严重
桔城路社区,6,12,2,20,2.16,3,13,严重
刘家大堰社区,14,0,6,20,2.16,2,13,严重
合益路社区,0,0,18,18,1.94,1,15,较严重
东湖社区,0,6,11,17,1.83,2,17,较严重
桥北社区,4,6,7,17,1.83,3,17,较严重
王家河社区,0,14,3,17,1.83,2,17,较严重
清波路社区,1,4,10,15,1.62,3,19,较严重
桃花岭社区,0,1,14,15,1.62,2,19,较严重
常家湾社区,2,0,12,14,1.51,2,22,较严重
肖家岗社区,0,0,14,14,1.51,1,22,较严重
镇平路社区,2,3,9,14,1.51,3,22,较严重
汕头路社区,4,5,5,14,1.51,3,22,较严重
赵家湾社区,2,1,10,13,1.4,3,25,较严重
香锦社区,3,0,10,13,1.4,2,25,较严重
韩家坝社区,4,4,3,11,1.19,3,27,较严重
夷陵路社区,0,0,10,10,1.08,1,28,较严重
樵湖岭社区,9,1,0,10,1.08,2,28,较严重
土街头社区,0,1,8,9,0.97,2,30,较严重
苏家榜社区,4,4,0,8,0.86,2,31,较严重
城东社区,4,0,4,8,0.86,2,31,较严重
朝阳路社区,2,1,4,7,0.75,3,33,较严重
胜利四路社区,1,0,5,6,0.65,2,35,较严重
石子岭社区,4,0,2,6,0.65,2,35,较严重
光明路社区,1,1,4,6,0.65,3,35,较严重
胜利二路社区,0,6,0,6,0.65,1,35,一般
中书街社区,1,0,4,5,0.54,2,38,较严重
北山坡社区,1,2,2,5,0.54,3,38,较严重
白马山社区,0,0,4,4,0.43,1,43,一般
体育场路社区,0,3,1,4,0.43,2,43,较严重
叶家坝社区,0,0,4,4,0.43,1,43,一般
墨池巷社区,2,2,0,4,0.43,2,43,较严重
夜明珠社区,0,0,4,4,0.43,1,43,一般
铁路坝社区,0,2,2,4,0.43,2,43,较严重
东艳路社区,0,0,4,4,0.43,1,43,一般
学堂湾社区,1,0,2,3,0.32,2,50,较严重
杨岔路社区,1,0,2,3,0.32,2,50,较严重
小林园社区,0,0,3,3,0.32,1,50,一般
船柴社区,0,3,0,3,0.32,1,50,一般
尚书巷社区,0,2,1,3,0.32,2,50,较严重
宝联社区,0,0,3,3,0.32,1,50,一般
长江社区,2,0,1,3,0.32,2,50,较严重
黄河路社区,0,0,3,3,0.32,1,50,一般
英雄山社区,0,0,2,2,0.22,1,57,一般
艾家嘴社区,0,0,2,2,0.22,1,57,一般
金家台社区,0,1,1,2,0.22,2,57,较严重
四方堰社区,0,0,2,2,0.22,1,57,一般
港务社区,0,0,2,2,0.22,1,57,一般
珠海路社区,0,1,1,2,0.22,2,57,较严重
张家坡社区,0,0,1,1,0.11,1,65,一般
山庄路社区,0,1,0,1,0.11,1,65,一般
山河园路社区,0,0,1,1,0.11,1,65,一般
大学路社区,1,0,0,1,0.11,1,65,一般
翁家堰社区,0,0,1,1,0.11,1,65,一般
环城北路社区,0,0,1,1,0.11,1,65,一般
气象台社区,1,0,0,1,0.11,1,65,一般
八一路社区,0,0,1,1,0.11,1,65,一般
青岛路社区,0,0,1,1,0.11,1,65,一般
长樵溪社区,0,0,1,1,0.11,1,65,一般
