社区,公服设施,住房,停车设施,交通设施,物业街面,总点数,总占比%,覆盖类数,排序,严重度
深圳路社区,2,18,6,2,0,28,5.85,6,1,严重
营盘路社区,4,0,23,0,0,27,5.64,4,2,严重
铁路坝社区,1,0,16,1,0,18,3.76,5,3,严重
桥北社区,1,10,6,0,0,17,3.55,5,4,严重
香锦社区,1,0,14,2,0,17,3.55,5,4,严重
镇境山社区,2,3,8,1,0,14,2.92,6,6,严重
幸福路社区,0,0,11,3,0,14,2.92,4,6,严重
体育场路社区,2,0,11,0,0,13,2.71,4,8,严重
长樵溪社区,10,0,3,0,0,13,2.71,4,8,严重
常家湾社区,0,1,10,0,0,11,2.3,4,11,严重
金安岭社区,3,0,5,3,0,11,2.3,5,11,严重
镇平路社区,0,6,5,0,0,11,2.3,4,11,严重
东门外正街社区,1,0,10,0,0,11,2.3,4,11,严重
新隆康路社区,0,3,3,4,0,10,2.09,5,15,严重
山庄路社区,1,3,5,1,0,10,2.09,6,15,严重
南苑社区,7,0,3,0,0,10,2.09,4,15,严重
果园路社区,0,0,10,0,0,10,2.09,3,15,严重
绿萝路社区,1,0,8,0,0,9,1.88,4,19,较严重
桃花岭社区,1,0,8,0,0,9,1.88,4,19,较严重
樵湖岭社区,3,0,6,0,0,9,1.88,4,19,较严重
东湖社区,1,7,0,0,0,8,1.67,4,22,较严重
港务社区,0,7,1,0,0,8,1.67,4,22,较严重
赵家湾社区,1,0,7,0,0,8,1.67,4,22,较严重
西峡社区,0,2,5,0,0,7,1.46,4,24,较严重
上导堤社区,3,1,2,1,0,7,1.46,6,24,较严重
杨岔路社区,0,1,5,0,0,6,1.25,4,27,较严重
甲街社区,5,1,0,0,0,6,1.25,4,27,较严重
大学路社区,0,0,6,0,0,6,1.25,3,27,较严重
峡州社区,0,0,5,0,0,5,1.04,3,31,较严重
胜利四路社区,1,0,4,0,0,5,1.04,4,31,较严重
四方堰社区,2,0,2,1,0,5,1.04,5,31,较严重
刘家大堰社区,1,0,4,0,0,5,1.04,4,31,较严重
肖家岗社区,1,0,3,1,0,5,1.04,5,31,较严重
伍临路社区,1,0,3,0,0,4,0.84,4,38,较严重
苏家榜社区,0,2,2,0,0,4,0.84,4,38,较严重
解放路社区,3,0,1,0,0,4,0.84,4,38,较严重
北山坡社区,0,0,4,0,0,4,0.84,3,38,较严重
王家河社区,2,0,2,0,0,4,0.84,4,38,较严重
气象台社区,1,0,3,0,0,4,0.84,4,38,较严重
朝阳路社区,1,0,3,0,0,4,0.84,4,38,较严重
二马路社区,1,0,3,0,0,4,0.84,4,38,较严重
土街头社区,2,0,2,0,0,4,0.84,4,38,较严重
珠海路社区,1,0,2,0,0,3,0.63,4,49,较严重
环城东路社区,0,0,3,0,0,3,0.63,3,49,较严重
叶家坝社区,3,0,0,0,0,3,0.63,3,49,较严重
丫口社区,0,2,1,0,0,3,0.63,4,49,较严重
学堂湾社区,1,0,2,0,0,3,0.63,4,49,较严重
韩家坝社区,0,0,3,0,0,3,0.63,3,49,较严重
英雄山社区,1,2,0,0,0,3,0.63,4,49,较严重
青岛路社区,0,0,3,0,0,3,0.63,3,49,较严重
沈家店社区,3,0,0,0,0,3,0.63,3,49,较严重
汕头路社区,2,0,1,0,0,3,0.63,4,49,较严重
清波路社区,2,0,1,0,0,3,0.63,4,49,较严重
望洲社区,0,0,2,1,0,3,0.63,4,49,较严重
夷陵路社区,1,0,2,0,0,3,0.63,4,49,较严重
桔城路社区,0,0,0,2,0,2,0.42,3,62,较严重
光明路社区,1,0,1,0,0,2,0.42,4,62,较严重
万达社区,2,0,0,0,0,2,0.42,3,62,较严重
三峡物流园社区,2,0,0,0,0,2,0.42,3,62,较严重
东山花园社区,1,0,1,0,0,2,0.42,4,62,较严重
合益路社区,1,0,1,0,0,2,0.42,4,62,较严重
古塔社区,0,0,2,0,0,2,0.42,3,62,较严重
大堰湾社区,2,0,0,0,0,2,0.42,3,62,较严重
平湖馨苑社区,1,0,1,0,0,2,0.42,4,62,较严重
江山社区,0,0,2,0,0,2,0.42,3,62,较严重
石子岭社区,1,1,0,0,0,2,0.42,4,62,较严重
船柴社区,1,0,1,0,0,2,0.42,4,62,较严重
（范围外/未匹配）,2,0,0,0,0,2,0.42,3,62,较严重
白沙路社区,1,0,1,0,0,2,0.42,4,62,较严重
徐家坝社区,1,0,0,0,0,1,0.21,3,81,较严重
李家湖社区,1,0,0,0,0,1,0.21,3,81,较严重
常刘路社区,0,0,0,1,0,1,0.21,3,81,较严重
八一路社区,1,0,0,0,0,1,0.21,3,81,较严重
临江溪社区,1,0,0,0,0,1,0.21,3,81,较严重
东艳路社区,1,0,0,0,0,1,0.21,3,81,较严重
唐家湾社区,1,0,0,0,0,1,0.21,3,81,较严重
城东社区,0,0,1,0,0,1,0.21,3,81,较严重
宝联社区,1,0,0,0,0,1,0.21,3,81,较严重
山河园路社区,0,0,1,0,0,1,0.21,3,81,较严重
岳湾路社区,1,0,0,0,0,1,0.21,3,81,较严重
白马山社区,0,0,1,0,0,1,0.21,3,81,较严重
环城北路社区,1,0,0,0,0,1,0.21,3,81,较严重
沙河社区,1,0,0,0,0,1,0.21,3,81,较严重
枫香树社区,1,0,0,0,0,1,0.21,3,81,较严重
花艳社区,1,0,0,0,0,1,0.21,3,81,较严重
白龙井社区,1,0,0,0,0,1,0.21,3,81,较严重
胜利二路社区,0,0,1,0,0,1,0.21,3,81,较严重
胡家冲社区,1,0,0,0,0,1,0.21,3,81,较严重
长江社区,0,0,1,0,0,1,0.21,3,81,较严重
金巴岭社区,1,0,0,0,0,1,0.21,3,81,较严重
鑫鼎社区,1,0,0,0,0,1,0.21,3,81,较严重
黄河路社区,0,0,1,0,0,1,0.21,3,81,较严重
