社区,公服设施,住房,停车设施,交通设施,物业街面,总点数,总占比%,覆盖类数,排序,严重度
峡江社区,10,7,18,0,0,35,19.02,3,1,严重
五龙社区,6,7,8,3,0,24,13.04,4,2,严重
云池社区,16,0,0,0,0,16,8.7,1,3,严重
红光社区,2,7,4,0,0,13,7.07,3,4,严重
平云社区,1,0,12,0,0,13,7.07,2,5,严重
润城社区,2,0,6,0,0,8,4.35,2,6,较严重
永兴社区,0,0,7,0,0,7,3.8,1,7,较严重
至喜社区,3,0,0,3,0,6,3.26,2,8,较严重
朝阳社区,0,1,3,0,1,5,2.72,3,9,一般
长江市场社区,2,0,3,0,0,5,2.72,2,10,一般
虎牙社区,1,2,1,1,0,5,2.72,4,11,一般
梅子溪社区,2,0,2,0,0,4,2.17,2,12,一般
营盘社区,1,2,1,0,0,4,2.17,3,13,一般
鸡山社区,0,0,3,1,0,4,2.17,2,14,一般
磨盘社区,1,0,2,1,0,4,2.17,3,15,一般
下马槽社区,2,0,1,0,1,4,2.17,3,16,一般
东城社区,0,0,3,1,0,4,2.17,2,17,一般
古老背社区,1,0,1,1,0,3,1.63,3,18,一般
黄金卡社区,0,0,2,0,0,2,1.09,1,19,一般
谭家榜社区,0,0,2,0,0,2,1.09,1,20,一般
双桥社区,0,0,2,0,0,2,1.09,1,21,一般
蔡家畈社区,2,0,0,0,0,2,1.09,1,22,一般
港虹社区,0,0,2,0,0,2,1.09,1,23,一般
绿洲社区,0,0,2,0,0,2,1.09,1,24,一般
朱市街社区,0,0,1,0,0,1,0.54,1,25,一般
六泉湖社区,0,0,1,0,0,1,0.54,1,26,一般
谭家河社区,1,0,0,0,0,1,0.54,1,27,一般
望江社区,0,0,1,0,0,1,0.54,1,28,一般
锦江社区,0,0,1,0,0,1,0.54,1,29,一般
七里新村社区,0,0,1,0,0,1,0.54,1,30,一般
长江新村社区,0,0,1,0,0,1,0.54,1,31,一般
锦云社区,0,0,1,0,0,1,0.54,1,32,一般
