维度,序号,指标项,体检结果,单位,原始体检结果,问题明细,问题分布/落位,问题_task_8,问题_project_type,问题_board
住房,1,存在结构安全隐患的住宅数量（栋）,42,栋,42,（1）共19栋住宅存在混凝土结构构件裂缝，如承重墙体、楼板、结构梁开裂，裂缝肉眼清晰可见，裂缝较深。墙体、楼板裂缝多为贯通状;梁裂缝多集中于梁的底部，呈现多条裂缝的问题（非常严重问题）。西陵区13栋，占比68%；伍家岗区6栋，占比32%。,,危房,住房,安全韧性底线
住房,1,存在结构安全隐患的住宅数量（栋）,42,栋,42,（2）共24栋住宅存在违规拆除结构承重构件如户内承重墙体拆墙打洞，底商或者地库结构柱拆除，砖混结构拆除阳台承重墙垛的问题（非常严重问题）。西陵区17栋，占比71%；伍家岗区7栋，占比29%。,,危房,住房,安全韧性底线
住房,2,存在燃气安全隐患的住宅数量(栋),6,栋,6,（1）共0栋住宅存在燃气立管运行年限满20年，且存在锈蚀严重、破损等安全隐患问题。,,城市安全韧性,市政管网,安全韧性底线
住房,2,存在燃气安全隐患的住宅数量(栋),6,栋,6,（2）共0栋住宅存在燃气引入管运行年限满20年，且存在锈蚀严重、破损等安全隐患问题。,,城市安全韧性,市政管网,安全韧性底线
住房,2,存在燃气安全隐患的住宅数量(栋),6,栋,6,（3）共6栋住宅存在燃气水平管运行年限满20年，且存在锈蚀严重、破损等安全隐患问题。西陵区4栋，占比67%；伍家岗区2栋，占比33%。,,城市安全韧性,市政管网,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（1）共80栋住宅存在楼梯间内楼梯踏步缺损、楼梯扶手松动损坏、照明损坏缺失、安全护栏松动损坏或缺失的问题。西陵区65栋，占比81.25%；伍家岗区15栋，占比18.75%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（2）共12栋住宅存在通风井道、排风烟道等堵塞，造成通风不畅、异味串味的问题。西陵区12栋，占比100%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（3）共37栋住宅存在消防门缺失、损坏、无法关闭的问题。西陵区20栋，占比54%；伍家岗区17栋，占比46%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（4）共94栋住宅存在高层住宅消火栓缺失或无水、无日常维护，老化损坏的问题。西陵区69栋，占比73%；伍家岗区25栋，占比27%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（5）共13栋住宅存在灭火器缺失、未设置灭火器保护设施的问题。西陵区10栋，占比77%；伍家岗区3栋，占比23%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（6）共30栋住宅存在消防安全出口指示灯损坏或者缺失的问题。西陵区11栋，占比37%；伍家岗区19栋，占比63%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（7）共42栋住宅存在住户占用消防楼梯、楼道、管道井等公共空间，用于堆放杂物的问题。西陵区40栋，占比95%；伍家岗区2栋，占比5%。,,城市安全韧性,安全消防,安全韧性底线
住房,3,存在楼道安全隐患的住宅数量（栋）,242,栋,242,（8）共40栋住宅存在公共楼道停放自行车、电动自行车以及违规充电的问题。西陵区32栋，占比80%；伍家岗区8栋，占比20%。,,城市安全韧性,安全消防,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（1）共43栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落（无隐患）的问题。西陵区35栋，占比81%；伍家岗区8栋，占比19%。,,危房,住房,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（2）共136栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落(有隐患，损坏或脱落面积10平方米以下)的问题。西陵区115栋，占比85%；伍家岗区21栋，占比15%。,,危房,住房,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（3）共55栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落(隐患较大，损坏或脱落面积10至30平方米)的问题。西陵区50栋，占比91%；伍家岗区5栋，占比9%。,,危房,住房,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（4）共62栋住宅存在外墙装饰材料和保温材料开裂、损坏、脱落(隐患严重，损坏或脱落面积30平方米以上)的问题。西陵区49栋，占比79%；伍家岗区13栋，占比21%。,,危房,住房,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（5）共9栋住宅存在门窗玻璃存在破损、脱落等情况的问题。西陵区9栋，占比100%。,,危房,住房,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（6）共245栋住宅存在屋面排水不畅、漏水的问题。西陵区207栋，占比84%；伍家岗区38栋，占比16%。,,危房,住房,安全韧性底线
住房,4,存在围护安全隐患的住宅数量（栋）,454,栋,454,（7）共152栋住宅存在外墙内侧、地下室渗水漏水的问题。西陵区128栋，占比84%；伍家岗区24栋，占比16%。,,危房,住房,安全韧性底线
住房,5,非成套住宅数量(套),31,套,31（套）,（1）共15套住宅存在没有独立厨房的问题。西陵区15栋，占比100%。,,老旧小区,住房,民生基础需求
住房,5,非成套住宅数量(套),31,套,31（套）,（2）共31套住宅存在没有独立卫生间的问题。西陵区31栋，占比100%。,,老旧小区,住房,民生基础需求
住房,6,存在管线管道破损的住宅数量(栋),186,栋,186,（1）共157栋住宅存在给水管线跑冒滴漏、排水管线老化破损、渗漏堵塞的问题。西陵区142栋，占比90%；伍家岗区15栋，占比10%。,,城市安全韧性,市政管网,安全韧性底线
住房,6,存在管线管道破损的住宅数量(栋),186,栋,186,（2）共56栋住宅存在电力电信管线老化破损及裸露、私搭乱接的问题。西陵区52栋，占比93%；伍家岗区4栋，占比7%。,,城市安全韧性,市政管网,安全韧性底线
住房,6,存在管线管道破损的住宅数量(栋),186,栋,186,（3）共1栋住宅存在因供暖管道漏水、压力不足等原因导致采暖季温度不达标的问题。西陵区1栋，占比100%。,,城市安全韧性,市政管网,安全韧性底线
住房,7,需要进行适老化改造的住宅数量（栋）,39,栋,39,（1）共29栋住宅存在多层住宅中建成时未安装电梯，具备加装电梯条件但尚未进行加装改造（是否具备加装条件根据当地相关要求判定）的问题。西陵区21栋，占比72%；伍家岗区8栋，占比28%。,,老旧小区,住房,民生基础需求
住房,7,需要进行适老化改造的住宅数量（栋）,39,栋,39,（2）共5栋住宅存在住宅单元出入口和通道未进行无障碍改造、地面防滑处理的问题。西陵区2栋，占比40%；伍家岗区3栋，占比60%。,,老旧小区,住房,民生基础需求
住房,7,需要进行适老化改造的住宅数量（栋）,39,栋,39,（3）共3栋住宅存在多层无电梯住宅楼梯间未沿墙加装扶手的问题。西陵区3栋，占比100%。,,老旧小区,住房,民生基础需求
住房,7,需要进行适老化改造的住宅数量（栋）,39,栋,39,（4）共3栋住宅存在纳入分散供养特困人员和建档立卡贫困人口范围的高龄、失能、残疾老年人等特殊困难老年人家庭未实施适老化改造的问题。西陵区3栋，占比100%。,,老旧小区,住房,民生基础需求
住房,8,需要进行数字化改造的住宅数量（栋）,25,栋,25,（1）共8栋住宅存在住宅公共空间未安装楼宇入侵报警、视频监控等安防检测设备的问题。西陵区2栋，占比25%；伍家岗区6栋，占比75%。,,城市功能,住房,其他
住房,8,需要进行数字化改造的住宅数量（栋）,25,栋,25,（2）共13栋住宅存在高层住宅的楼梯间、走道、候梯厅、门厅等公共部位未安装烟感报警器的问题。西陵区7栋，占比54%；伍家岗区6栋，占比46%。,,城市功能,住房,其他
住房,8,需要进行数字化改造的住宅数量（栋）,25,栋,25,（3）共15栋住宅存在未安装家庭健康紧急呼叫系统，无法保障有需要的居家老年人、残疾人安装一键紧急呼叫、安全监护无感化监测等智能产品的问题。西陵区15栋，占比100%。,,城市功能,住房,其他
小区（社区）,1,未达标配建养老服务设施的小区数量（个）,夷陵路社区、赵家湾社区,个,夷陵路社区、赵家湾社区,社区养老服务基础设施配建不足；居家养老服务供给存在短板。,,完整社区,公服设施,民生基础需求
小区（社区）,2,未达标配建婴幼儿照护服务设施的小区数量（个）,白沙路社区、朝阳路社区、大堰湾社区、光明,个,白沙路社区、朝阳路社区、大堰湾社区、光明路社区、甲街社区、解放路社区、金安岭社区、金巴岭社区、南苑社区、平湖馨苑社区、三峡物流园社区、上导堤社区、深圳路社区、沈家店社区、石子岭社区、万达社区、伍临路社区、鑫鼎社区、徐家坝社区、学堂湾社区、叶家坝社区、长樵溪社区,社区婴幼儿照护服务体系配置与服务质量存在短板，设施规划建设不达标；现状需求不足，导致设施运营困难。,,完整社区,公服设施,民生基础需求
小区（社区）,3,未达标配建幼儿园的小区数量（个）,金安岭社区、白龙井社区、解放路社区、铁路,个,金安岭社区、白龙井社区、解放路社区、铁路坝社区、深圳路社区、临江溪社区、沈家店社区、王家河社区、土街头社区、大堰湾社区、上导堤社区,社区幼儿园设施规划建设不达标；普惠性服务供给存在不足。,,完整社区,公服设施,民生基础需求
小区（社区）,4,小学学位缺口数（个）,李家湖社区、四方堰社区、峡州社区、金安岭,个,李家湖社区、四方堰社区、峡州社区、金安岭社区、平湖馨苑社区、镇境山社区、解放路社区、气象台社区、胡家冲社区、南苑社区、东山花园社区、汕头路社区、珠海路社区、宝联社区、岳湾路社区、八一路社区、东艳路社区、花艳社区、沈家店社区、王家河社区、枫香树社区、东湖社区、桥北社区、刘家大堰社区、樵湖岭社区、香锦社区、营盘路社区、二马路社区、英雄山社区、桃花岭社区、体育场路社区,李家湖社区（400个）、四方堰社区（48个）、峡州社区（0个）、金安岭社区（7个）、平湖馨苑社区（5个）、镇境山社区（61个）、解放路社区（101个）、气象台社区（15个）、胡家冲社区（1016个）、南苑社区（3个）、东山花园社区（42个）、汕头路社区（85个）、珠海路社区（12个）、宝联社区（438个）、岳湾路社区（1184个）、八一路社区（1059个）、东艳路社区（649个）、花艳社区（991个）、沈家店社区（313个）、王家河社区（21个）、枫香树社区（356个）、东湖社区（25个）、桥北社区（54个）、刘家大堰社区（55个）、樵湖岭社区（82个）、香锦社区（129个）、营盘路社区（75个）、二马路社区（23个）、英雄山社区（84个）、桃花岭社区（53个）、体育场路社区（60个）。 小学学位供给存在缺口，部分现状学校存在超额、超班现象。,,城市功能,公服设施,民生基础需求
