id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,xiling_wujia,dianping,2025-07-14T10:45:21+08:00,2025-07-14T10:45:21+08:00,磨基山公园绿化做得漂亮,"磨基山,绿化,公园,漂亮",11,urban_renewal,environment,喜爱,5,positive,0.63,high,0.85,True,宜昌,relevant,科教文化服务,8,0,文化宫,,T2,宜昌市工人文化宫,ermalu,general,111.28723504708363,30.69600821495108,527518.86,3397306.92,宜昌市工人文化宫,科教文化服务
e0002,xiling_wujia,dianping,2025-07-13T18:20:46+08:00,2025-07-13T18:20:46+08:00,没什么亮点,"亮点,没什么,夜经济",5,urban_renewal,facility,好奇,3,neutral,0.38,high,0.93,True,宜昌,relevant,政府机构及社会团体,6,2,地市级政府及事业单位,,T2,宜昌市人民政府,ermalu,ermalu_oldstreet,111.2808795970867,30.694604369542407,526910.36,3397149.74,宜昌市人民政府,政府机构及社会团体
e0003,xiling_wujia,xiaohongshu,2025-07-12T03:31:53+08:00,2025-07-12T03:31:53+08:00,没什么亮点,"亮点,没什么",5,urban_operation,environment,中性,2,neutral,0.42,low,0.98,True,宜昌,relevant,风景名胜,1,0,公园,,T2,滨江公园,ermalu,riverside,111.2814245938716,30.692769195137277,526963.08,3396946.42,滨江公园,风景名胜
e0004,xiling_wujia,weibo,2025-07-17T08:29:48+08:00,2025-07-17T08:29:48+08:00,二马路春节人多挤死了，寸步难行,"二马路,挤死,寸步难行,人多,春节,夜经济",15,urban_operation,event,失望,4,negative,0.63,low,0.86,True,宜昌,relevant,休闲娱乐,1,7,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,ermalu_oldstreet,111.28151168002273,30.693517807242724,526971.22,3397029.43,Nine.籁Whisky&cocktail bar,休闲娱乐
e0005,xiling_wujia,dianping,2025-07-14T07:38:25+08:00,2025-07-14T07:38:25+08:00,万达广场品牌全，逛着舒服,"万达,舒服,广场,品牌",12,urban_operation,service,期待,4,positive,0.7,low,0.87,True,宜昌,relevant,体育休闲服务,3,0,诊所,,T2,刘勇中医诊所,ermalu,ermalu_oldstreet,111.27915056523368,30.69614668411582,526744.28,3397320.32,刘勇中医诊所,体育休闲服务
e0006,xiling_wujia,meituan,2025-07-13T06:46:06+08:00,2025-07-13T06:46:06+08:00,大南门那边停车太难，绕了三圈,"大南门,三圈,太难,停车,那边",14,urban_planning,service,失望,5,negative,0.93,medium,0.78,True,宜昌,relevant,购物服务,0,1,步行街,,T2,宜昌解放路步行街,ermalu,ermalu_oldstreet,111.28103962502077,30.7000949144475,526924.17,3397758.49,宜昌解放路步行街,购物服务
e0007,xiling_wujia,xiaohongshu,2025-07-17T00:29:24+08:00,2025-07-17T00:29:24+08:00,普通水平,"普通,水平,夜经济",4,urban_governance,service,好奇,2,neutral,0.44,high,0.87,True,宜昌,relevant,餐饮服务,0,0,中餐厅,,T2,瑜儿腊货馆@埋点,ermalu,ermalu_oldstreet,111.28366772913013,30.695009738519325,527177.37,3397195.36,瑜儿腊货馆,餐饮服务
e0008,xiling_wujia,meituan,2025-07-18T11:12:53+08:00,2025-07-18T11:12:53+08:00,便利店 24 小时营业，方便,"24,便利店,营业,方便,小时",14,urban_operation,service,满足,5,positive,0.7,low,0.92,True,宜昌,relevant,住宿服务,1,3,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,general,111.28153246036511,30.69892575085557,526971.71,3397628.99,宜昌丽锦快捷假日酒店,住宿服务
e0009,xiling_wujia,12345,2025-07-15T22:51:04+08:00,2025-07-15T22:51:04+08:00,解放路一带焕新后很有活力,"焕新后,解放路,活力,一带,暑假",12,urban_operation,service,满足,5,positive,0.76,high,0.86,True,宜昌,relevant,购物服务,6,5,步行街,,T2,恒大步行街,ermalu,ermalu_oldstreet,111.27836404206205,30.69842019219514,526668.3,3397572.18,恒大步行街,购物服务
e0010,xiling_wujia,dianping,2025-07-13T16:33:31+08:00,2025-07-13T16:33:31+08:00,下水道臭气熏天没人管，失望,"臭气熏天,没人管,下水道,失望",13,urban_planning,service,愤怒,5,negative,0.89,medium,0.97,True,宜昌,relevant,体育休闲服务,17,0,药房,,T2,圆心大药房(宜昌第一人民医院店),ermalu,general,111.28644159230834,30.697982317981968,527442.29,3397525.59,圆心大药房(宜昌第一人民医院店),体育休闲服务
