id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e0001,xiling_wujia,dianping,2025-07-14T10:45:21+08:00,2025-07-14T10:45:21+08:00,这片城区配套越来越完善了,"这片,城区,配套,完善,越来越",12,urban_operation,culture,喜爱,1.0,positive,1.0,high,0.95,True,宜昌,relevant,科教文化服务,8,0,文化宫,,T2,宜昌市工人文化宫,ermalu,general,111.2872,30.696,527518.9,3.397307e+06,宜昌市工人文化宫,科教文化服务,0.94,Very Positive,0.12,期待建议,期待建议,,
e0002,xiling_wujia,dianping,2025-07-19T01:39:41+08:00,2025-07-19T01:39:41+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_governance,service,愤怒,1.0,negative,1.0,low,0.956,True,宜昌,relevant,政府机构及社会团体,7,0,地市级政府及事业单位,,T2,宜昌市人民政府,ermalu,ermalu_oldstreet,111.2809,30.6946,526910.4,3.3971498e+06,宜昌市人民政府,政府机构及社会团体,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e0003,xiling_wujia,weibo,2025-07-12T03:31:53+08:00,2025-07-12T03:31:53+08:00,没什么特别,"没什么,特别",5,urban_operation,environment,好奇,0.256,neutral,0.256,low,0.98,True,宜昌,relevant,风景名胜,1,0,公园,,T2,滨江公园,ermalu,riverside,111.2814,30.6928,526963.06,3.3969465e+06,滨江公园,风景名胜,0.46,Neutral,0.05,其他,其他,,
e0004,xiling_wujia,dianping,2025-07-12T20:39:38+08:00,2025-07-12T20:39:38+08:00,大南门那边停车太难，绕了三圈,"大南门,三圈,太难,停车,那边",14,urban_operation,facility,愤怒,1.0,negative,1.0,medium,0.961,True,宜昌,relevant,休闲娱乐,5,4,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,ermalu_oldstreet,111.2815,30.6935,526971.25,3.3970295e+06,Nine.籁Whisky&cocktail bar,休闲娱乐,0.04,Very Negative,0.14,不满抱怨,不满抱怨,,
e0005,xiling_wujia,dianping,2025-07-18T15:12:25+08:00,2025-07-18T15:12:25+08:00,大南门那边停车太难，绕了三圈,"大南门,三圈,太难,停车,那边",14,urban_operation,event,愤怒,1.0,negative,1.0,high,0.909,True,宜昌,relevant,体育休闲服务,2,0,诊所,,T2,刘勇中医诊所,ermalu,ermalu_oldstreet,111.2792,30.6961,526744.25,3.3973202e+06,刘勇中医诊所,体育休闲服务,0.04,Very Negative,0.14,不满抱怨,不满抱怨,,
e0006,xiling_wujia,xiaohongshu,2025-07-12T18:47:22+08:00,2025-07-12T18:47:22+08:00,二马路春节人多挤死了，寸步难行,"二马路,挤死,寸步难行,人多,春节",15,urban_operation,service,愤怒,0.78,negative,0.78,high,0.892,True,宜昌,relevant,购物服务,8,5,步行街,,T2,宜昌解放路步行街,ermalu,ermalu_oldstreet,111.281,30.7001,526924.2,3.3977585e+06,宜昌解放路步行街,购物服务,0.21,Negative,0.15,不满抱怨,不满抱怨,,
e0007,xiling_wujia,dianping,2025-07-13T14:31:13+08:00,2025-07-13T14:31:13+08:00,价格普通,"普通,价格",14,urban_operation,service,好奇,0.298,neutral,0.298,medium,0.915,True,宜昌,relevant,餐饮服务,10,1,中餐厅,,T2,瑜儿腊货馆@埋点,ermalu,ermalu_oldstreet,111.2837,30.695,527177.4,3.3971952e+06,瑜儿腊货馆,餐饮服务,0.57,Neutral,0.04,其他,其他,,
e0008,xiling_wujia,xiaohongshu,2025-07-14T05:00:55+08:00,2025-07-14T05:00:55+08:00,普通,普通,2,urban_operation,service,好奇,0.242,neutral,0.242,low,0.956,True,宜昌,relevant,住宿服务,10,0,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,general,111.2815,30.6989,526971.7,3.397629e+06,宜昌丽锦快捷假日酒店,住宿服务,0.53,Neutral,0.02,其他,其他,,
e0009,xiling_wujia,xiaohongshu,2025-07-15T03:56:41+08:00,2025-07-15T03:56:41+08:00,二马路施工围挡还在，走路不方便,"二马路,围挡,走路,施工,方便",15,urban_operation,service,愤怒,0.86,negative,0.86,low,0.955,True,宜昌,relevant,购物服务,8,1,步行街,,T2,恒大步行街,ermalu,ermalu_oldstreet,111.2784,30.6984,526668.3,3.3975722e+06,恒大步行街,购物服务,0.17,Very Negative,0.15,不满抱怨,不满抱怨,,
e0010,xiling_wujia,12345,2025-07-12T18:16:01+08:00,2025-07-12T18:16:01+08:00,设双向四车道,"车道,双向",6,urban_operation,event,中性,0.312,neutral,0.312,medium,0.862,True,宜昌,relevant,体育休闲服务,13,1,药房,,T2,圆心大药房(宜昌第一人民医院店),ermalu,general,111.2864,30.698,527442.3,3.3975255e+06,圆心大药房(宜昌第一人民医院店),体育休闲服务,0.42,Neutral,0.06,其他,其他,,
