id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,xiling_wujia,xiaohongshu,2025-02-03T04:48:10+08:00,2025-02-03T04:48:10+08:00,二马路那边人挺多的,"二马路,那边",9,urban_operation,facility,好奇,3,neutral,0.45,low,0.87,True,宜昌,relevant,科教文化服务,6,2,小学,,T1,红星路小学,ermalu,ermalu_oldstreet,111.28315067226329,30.6932312370866,527128.33,3396998.06,红星路小学,科教文化服务
e0002,xiling_wujia,12345,2025-02-05T14:50:47+08:00,2025-02-05T14:50:47+08:00,大南门那边停车太难，绕了三圈,"大南门,三圈,太难,停车,那边",14,urban_governance,culture,愤怒,4,negative,0.97,medium,0.99,True,宜昌,relevant,休闲娱乐,4,6,网吧,,T1,奥汀电竞,ermalu,ermalu_oldstreet,111.2811658719709,30.695134490575715,526937.64,3397208.58,奥汀电竞,休闲娱乐
e0003,xiling_wujia,meituan,2025-02-02T07:18:17+08:00,2025-02-02T07:18:17+08:00,宜昌站周边整治后有序多了,"宜昌,有序,整治,周边,开街",12,urban_operation,service,满足,5,positive,0.88,low,0.84,True,宜昌,relevant,交通设施服务,0,3,公共停车场,,T1,宜昌城市地面停车场,ermalu,transit_hub,111.27798656656503,30.696226576416123,526632.74,3397328.9,宜昌城市地面停车场,交通设施服务
e0004,xiling_wujia,meituan,2025-02-06T14:36:36+08:00,2025-02-06T14:36:36+08:00,就这样吧,这样,4,urban_renewal,service,好奇,2,neutral,0.24,low,0.81,True,宜昌,relevant,公司企业,1,12,公司,,T1,国家电网湖北省电力公司宜昌供电公司,ermalu,ermalu_oldstreet,111.28359148337769,30.69285661629754,527170.67,3396956.63,国家电网湖北省电力公司宜昌供电公司,公司企业
e0005,xiling_wujia,xiaohongshu,2025-02-07T16:22:24+08:00,2025-02-07T16:22:24+08:00,二马路开街垃圾满地没人扫,"开街,二马路,满地,垃圾,没人",15,urban_governance,event,失望,5,negative,0.71,medium,0.97,True,宜昌,relevant,金融保险服务,1,2,中国工商银行,,T1,阿杜菜馆@埋点,ermalu,ermalu_oldstreet,111.28244150530321,30.69720110365826,527059.28,3397438.01,中国工商银行(三峡云集支行),金融保险服务
e0006,xiling_wujia,xiaohongshu,2025-02-03T09:07:49+08:00,2025-02-03T09:07:49+08:00,二马路春节人多挤死了，寸步难行,"二马路,挤死,寸步难行,人多,春节,年货",15,urban_operation,service,愤怒,5,negative,0.99,low,0.8,True,宜昌,relevant,商务住宅,22,0,住宅小区,,T1,紫晶城天御,ermalu,ermalu_oldstreet,111.27594997743158,30.696921086820563,526437.43,3397405.42,紫晶城天御,商务住宅
e0007,xiling_wujia,xiaohongshu,2025-02-05T12:10:36+08:00,2025-02-05T12:10:36+08:00,二马路开街垃圾满地没人扫,"开街,二马路,满地,垃圾,没人",12,urban_governance,culture,愤怒,5,negative,0.85,low,0.82,True,宜昌,relevant,休闲娱乐,6,0,迪厅,,T1,夜上海舞厅,ermalu,ermalu_oldstreet,111.27972219668688,30.69671376952533,526798.89,3397383.33,夜上海舞厅,休闲娱乐
e0008,xiling_wujia,dianping,2025-02-01T06:46:07+08:00,2025-02-01T06:46:07+08:00,二马路春节人多挤死了，寸步难行,"二马路,挤死,寸步难行,人多,春节",4,urban_operation,event,愤怒,3,negative,0.27,high,0.86,True,宜昌,relevant,餐饮服务,10,6,中餐厅,,T1,把把烧(恒大步行街店)@埋点,ermalu,ermalu_oldstreet,111.27855640944351,30.699278795375367,526686.49,3397667.42,把把烧(恒大步行街店),餐饮服务
e0009,xiling_wujia,weibo,2025-02-03T12:29:07+08:00,2025-02-03T12:29:07+08:00,普通水平,"普通,水平",4,urban_governance,service,好奇,3,neutral,0.38,high,0.86,True,宜昌,relevant,休闲娱乐,8,0,网吧,,T1,奥汀电竞,ermalu,ermalu_oldstreet,111.28116096759186,30.695292491047894,526937.12,3397226.1,奥汀电竞,休闲娱乐
e0010,xiling_wujia,xiaohongshu,2025-02-09T13:05:33+08:00,2025-02-09T13:05:33+08:00,二马路开街垃圾满地没人扫,"开街,二马路,满地,垃圾,没人",12,urban_renewal,facility,失望,5,negative,0.91,low,0.88,True,宜昌,relevant,科教文化服务,0,1,小学,,T1,红星路小学,ermalu,ermalu_oldstreet,111.2830690085767,30.69301933158761,527120.56,3396974.55,红星路小学,科教文化服务
