id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,narrative_zone,topic,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e00001,yichang,dianping,2025-02-06T08:23:32+08:00,2025-02-06T08:23:32+08:00,,,0,,,,0.167,,0.0,,0.435,True,宜昌,,,0,0,,,T1,,outside_cc,general,,,111.53909347211824,30.233079573877976,551893.52,3346074.22,,background
e00002,yichang,meituan,2025-02-04T18:45:28+08:00,2025-02-04T18:45:28+08:00,长江沿线景观带做得漂亮，喜欢,"景观带,沿线,漂亮,长江,喜欢",14,urban_operation,environment,满足,0.117,positive,0.66,medium,0.556,True,宜昌,relevant,城市生活,1,0,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.38256404390343,30.679799166980636,536658.14,3395537.15,,core
e00003,yichang,12345,2025-02-03T16:54:00+08:00,2025-02-03T16:54:00+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为,开街",11,urban_operation,service,失望,0.117,negative,0.66,high,0.525,True,宜昌,relevant,城市生活,3,2,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.38251973303166,30.680601220144908,536653.59,3395626.06,,core
e00004,yichang,12345,2025-02-06T03:34:44+08:00,2025-02-06T03:34:44+08:00,夷陵广场周边停车太难，绕三圈找不到位,"三圈,夷陵,太难,停车,到位",18,urban_governance,service,愤怒,1.0,negative,0.78,medium,0.568,True,宜昌,relevant,购物服务,6,2,综合市场,,T1,东门综合市场(东门外正街),core,general,commercial,,111.27794234912756,30.707072283523566,526625.52,3398531.3,东门综合市场(东门外正街),购物服务
e00005,yichang,dianping,2025-02-09T16:03:12+08:00,2025-02-09T16:03:12+08:00,伍家发展快，变化大,"伍家,变化,发展",9,urban_governance,service,期待,1.0,positive,0.86,high,0.591,True,宜昌,relevant,城市生活,22,10,,,T1,2025-02 春节·二马路一期开街爆满,core,general,general,,111.27764916532824,30.707208007178465,526597.4,3398546.28,,core
e00006,yichang,meituan,2025-02-05T01:49:42+08:00,2025-02-05T01:49:42+08:00,感觉一般,"感觉,一般,年货",4,urban_renewal,service,中性,0.525,neutral,0.29,high,0.602,True,宜昌,relevant,商务住宅,7,0,商住两用楼宇,,T1,亚洲广场,core,general,residential,社区服务配套,111.27751707440495,30.706883258028054,526584.84,3398510.24,亚洲广场,商务住宅
e00007,yichang,meituan,2025-02-01T04:46:14+08:00,2025-02-01T04:46:14+08:00,文创产品同质化严重，没意思,"文创,同质化,没意思,严重,产品",13,urban_operation,culture,失望,1.0,negative,0.61,high,0.573,True,宜昌,relevant,科教文化服务,6,4,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.2766749869571,30.70718146718187,526504.09,3398543.1,宜昌市西陵区图书馆,科教文化服务
e00008,yichang,xiaohongshu,2025-02-06T10:12:25+08:00,2025-02-06T10:12:25+08:00,一般水平,"水平,一般",4,urban_operation,culture,好奇,0.525,neutral,0.43,high,0.536,True,宜昌,relevant,科教文化服务,20,1,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.2763085802101,30.707521279458447,526468.89,3398580.69,宜昌市西陵区图书馆,科教文化服务
e00009,yichang,dianping,2025-02-07T11:41:25+08:00,2025-02-07T11:41:25+08:00,这段路烂得不像话，半年没人修,"没人修,不像话,这段,半年",14,urban_operation,culture,愤怒,1.0,negative,0.76,high,0.558,True,宜昌,relevant,科教文化服务,4,2,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.27693957203658,30.707661207823204,526529.3,3398596.35,宜昌市西陵区图书馆,科教文化服务
e00010,yichang,xiaohongshu,2025-02-08T20:24:21+08:00,2025-02-08T20:24:21+08:00,城区施工吵死了，半夜还轰,"吵死,半夜,城区,施工",12,urban_operation,culture,愤怒,1.0,negative,0.75,medium,0.551,True,宜昌,relevant,科教文化服务,4,1,图书馆,,T1,宜昌市西陵区图书馆,core,riverside,general,,111.27694595012863,30.707672533892797,526529.91,3398597.61,宜昌市西陵区图书馆,科教文化服务
