id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,narrative_zone,topic,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e00003,yichang,dianping,2025-07-18T04:49:43+08:00,2025-07-18T04:49:43+08:00,也就那样吧,那样,5,urban_operation,event,好奇,0.242,neutral,0.242,high,0.603,True,宜昌,relevant,体育休闲服务,3,0,医疗保健用品,,T2,自然之声助听器(宜昌西陵店),core,general,venue,,111.2772,30.7069,526553.44,3.3985112e+06,自然之声助听器(宜昌西陵店),体育休闲服务,0.53,Neutral,0.05,其他,其他,,
e00004,yichang,xiaohongshu,2025-07-12T14:44:02+08:00,2025-07-12T14:44:02+08:00,下水道臭气熏天没人管，失望,"臭气熏天,没人管,下水道,失望",13,urban_operation,service,失望,1.0,negative,1.0,high,0.575,True,宜昌,relevant,城市生活,1,0,,,T2,2025-07 暑假周末·年轻人涌入,core,general,general,,111.2779,30.7076,526617.9,3.398594e+06,,core,0.0,Very Negative,0.13,失望厌恶,失望厌恶,,
e00005,yichang,meituan,2025-07-16T17:12:56+08:00,2025-07-16T17:12:56+08:00,活动结束垃圾满地没人扫，太乱,"太乱,满地,垃圾,没人,结束",14,urban_operation,event,失望,1.0,negative,1.0,low,0.611,True,宜昌,relevant,体育休闲服务,19,0,医疗保健用品,,T2,自然之声助听器(宜昌西陵店),core,general,venue,,111.2772,30.7069,526556.94,3.3985075e+06,自然之声助听器(宜昌西陵店),体育休闲服务,0.1,Very Negative,0.14,不满抱怨,不满抱怨,,
e00022,yichang,12345,2025-07-14T05:56:31+08:00,2025-07-14T05:56:31+08:00,一般般,一般般,3,urban_renewal,service,好奇,0.2,neutral,0.2,medium,0.574,True,宜昌,relevant,城市生活,10,0,,,T2,2025-07 暑假周末·年轻人涌入,core,general,general,,111.3335,30.656,531960.6,3.3928848e+06,,core,0.5,Neutral,0.03,其他,其他,,
e00028,yichang,dianping,2025-07-19T19:24:12+08:00,2025-07-19T19:24:12+08:00,邻居们相处融洽，社区氛围好,"邻居们,融洽,相处,氛围,社区",13,urban_renewal,service,满足,1.0,positive,1.0,low,0.549,True,宜昌,relevant,商务住宅,0,2,住宅小区,,T2,江山多娇三期,core,general,residential,,111.346,30.6448,533167.7,3.3916462e+06,江山多娇三期,商务住宅,1.0,Very Positive,0.13,喜悦满意,喜悦满意,,
e00029,yichang,weibo,2025-07-18T13:47:38+08:00,2025-07-18T13:47:38+08:00,小区环境一般,"小区,环境,一般",6,urban_renewal,service,好奇,0.27,neutral,0.27,low,0.555,True,宜昌,relevant,商务住宅,1,12,住宅小区,,T2,江天一色,core,general,residential,,111.3459,30.644,533156.4,3.3915518e+06,江天一色,商务住宅,0.55,Neutral,0.06,其他,其他,,
e00030,yichang,12345,2025-07-12T21:13:50+08:00,2025-07-12T21:13:50+08:00,快递丢件了客服推诿扯皮,"丢件,扯皮,快递,推诿,客服",11,urban_renewal,service,愤怒,1.0,negative,1.0,low,0.55,True,宜昌,relevant,商务住宅,4,2,住宅小区,,T2,江天一色,core,general,residential,,111.3459,30.644,533160.3,3.391558e+06,江天一色,商务住宅,0.01,Very Negative,0.11,不满抱怨,不满抱怨,,
e00031,yichang,xiaohongshu,2025-07-18T19:43:53+08:00,2025-07-18T19:43:53+08:00,小区环境一般,"小区,环境,一般",6,urban_operation,facility,中性,0.27,neutral,0.27,low,0.583,True,宜昌,relevant,商务住宅,15,5,住宅小区,,T2,江山多娇三期,core,general,residential,社区服务配套,111.3451,30.6446,533077.2,3.3916242e+06,江山多娇三期,商务住宅,0.55,Neutral,0.06,其他,其他,,
e00032,yichang,xiaohongshu,2025-07-16T07:04:07+08:00,2025-07-16T07:04:07+08:00,这家老字号味道正宗，强烈推荐,"老字号,强烈推荐,正宗,味道,这家",14,urban_renewal,service,期待,0.9,positive,0.9,high,0.588,True,宜昌,relevant,商务住宅,2,1,住宅小区,,T2,江山多娇三期,core,general,residential,,111.3444,30.6446,533017.25,3.3916245e+06,江山多娇三期,商务住宅,0.85,Very Positive,0.14,怀旧认同,怀旧认同,,
e00033,yichang,xiaohongshu,2025-07-18T23:35:47+08:00,2025-07-18T23:35:47+08:00,社区物业响应及时，点赞,"点赞,社区,响应,物业,及时",11,urban_operation,service,满足,0.73,positive,0.73,low,0.579,True,宜昌,relevant,商务住宅,5,4,住宅小区,,T2,江天一色,core,general,residential,,111.3458,30.6439,533148.5,3.3915435e+06,江天一色,商务住宅,0.69,Positive,0.11,喜悦满意,喜悦满意,,
