board,中类,指标,社区,点数,占比,指标类型
安全韧性底线,市政管网,存在燃气安全隐患的住宅数量（栋）,幸福路社区,2,0.3333,问题类
安全韧性底线,市政管网,存在燃气安全隐患的住宅数量（栋）,墨池巷社区,2,0.3333,问题类
安全韧性底线,市政管网,存在燃气安全隐患的住宅数量（栋）,新隆康路社区,2,0.3333,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,镇境山社区,21,0.1129,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,金安岭社区,19,0.1022,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,深圳路社区,18,0.0968,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,西峡社区,15,0.0806,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,刘家大堰社区,14,0.0753,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,丫口社区,13,0.0699,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,果园路社区,9,0.0484,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,樵湖岭社区,9,0.0484,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,新隆康路社区,6,0.0323,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,桔城路社区,6,0.0323,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,韩家坝社区,4,0.0215,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,石子岭社区,4,0.0215,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,桥北社区,4,0.0215,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,苏家榜社区,4,0.0215,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,汕头路社区,4,0.0215,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,城东社区,4,0.0215,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,香锦社区,3,0.0161,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,幸福路社区,3,0.0161,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,二马路社区,3,0.0161,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,环城东路社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,朝阳路社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,长江社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,赵家湾社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,常家湾社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,镇平路社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,绿萝路社区,2,0.0108,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,光明路社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,清波路社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,气象台社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,学堂湾社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,中书街社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,杨岔路社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,大学路社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,北山坡社区,1,0.0054,问题类
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,胜利四路社区,1,0.0054,问题类
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,深圳路社区,30,0.125,问题类
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,西峡社区,25,0.1042,问题类
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,东门外正街社区,22,0.0917,问题类
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,镇境山社区,16,0.0667,问题类
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,王家河社区,14,0.0583,问题类
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,金安岭社区,14,0.0583,问题类
