board,中类,指标,街办,点数,占比
安全韧性底线,市政管网,存在燃气安全隐患的住宅数量（栋）,西坝街办,2,0.3333
安全韧性底线,市政管网,存在燃气安全隐患的住宅数量（栋）,学院街办,2,0.3333
安全韧性底线,市政管网,存在燃气安全隐患的住宅数量（栋）,大公桥街办,2,0.3333
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,夜明珠街办,44,0.2366
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,西陵街办,29,0.1559
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,东苑管理区,22,0.1183
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,西坝街办,21,0.1129
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,葛洲坝街办,20,0.1075
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,云集街办,14,0.0753
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,大公桥街办,8,0.043
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,南苑管理区,7,0.0376
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,伍家岗街办,6,0.0323
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,宝塔河街办,4,0.0215
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,学院街办,4,0.0215
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,北苑管理区,4,0.0215
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,窑湾街办,2,0.0108
安全韧性底线,市政管网,存在管线管道破损的住宅数量（栋）,万寿桥街办,1,0.0054
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,东苑管理区,36,0.15
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,葛洲坝街办,35,0.1458
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,夜明珠街办,33,0.1375
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,西坝街办,27,0.1125
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,伍家岗街办,26,0.1083
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,学院街办,26,0.1083
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,大公桥街办,20,0.0833
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,西陵街办,20,0.0833
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,云集街办,8,0.0333
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,南苑管理区,4,0.0167
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,宝塔河街办,4,0.0167
安全韧性底线,安全消防,存在楼道安全隐患的住宅数量（栋）,窑湾街办,1,0.0042
安全韧性底线,住房,存在结构安全隐患的住宅数量（栋）,云集街办,24,0.5714
安全韧性底线,住房,存在结构安全隐患的住宅数量（栋）,大公桥街办,9,0.2143
安全韧性底线,住房,存在结构安全隐患的住宅数量（栋）,学院街办,5,0.119
安全韧性底线,住房,存在结构安全隐患的住宅数量（栋）,宝塔河街办,2,0.0476
安全韧性底线,住房,存在结构安全隐患的住宅数量（栋）,伍家岗街办,1,0.0238
安全韧性底线,住房,存在结构安全隐患的住宅数量（栋）,万寿桥街办,1,0.0238
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,夜明珠街办,111,0.2445
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,葛洲坝街办,66,0.1454
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,云集街办,50,0.1101
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,西坝街办,48,0.1057
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,东苑管理区,37,0.0815
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,西陵街办,32,0.0705
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,大公桥街办,27,0.0595
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,宝塔河街办,25,0.0551
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,学院街办,23,0.0507
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,伍家岗街办,13,0.0286
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,北苑管理区,8,0.0176
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,窑湾街办,7,0.0154
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,南苑管理区,4,0.0088
安全韧性底线,住房,存在围护安全隐患的住宅数量（栋）,万寿桥街办,3,0.0066
民生基础需求,公服设施,未达标配建养老服务设施的小区数量（个）,云集街办,2,1.0
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,葛洲坝街办,6,0.1765
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,西坝街办,6,0.1765
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,伍家乡,5,0.1471
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,夜明珠街办,4,0.1176
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,北苑管理区,3,0.0882
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,伍家岗街办,3,0.0882
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,南苑管理区,2,0.0588
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,学院街办,1,0.0294
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,东苑管理区,1,0.0294
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,宝塔河街办,1,0.0294
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,窑湾街办,1,0.0294
民生基础需求,公服设施,未达标配建婴幼儿照护服务设施的小区数量（个）,万寿桥街办,1,0.0294
