办件编号,投诉时间,polarity,score,polarity_score_5,emotion_intensity,domain,element,topic,issue_label,place_name,place_source,place_confidence,region,region_scope,lon,lat,emotion_aspect,source,geocode_status
20241231001755,2024-12-31,Very Negative,0.1,1,0.7,urban_operation,environment,生活噪声,高音喇叭噪声,滨江公园,content,medium,枝江市,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001754,2024-12-31,Negative,0.3,2,0.5,urban_renewal,environment,建筑施工噪声,施工噪声扰民,夷陵区新坪村,content,high,夷陵区,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001752,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,生活噪声,高音喇叭噪声,宜都市名都花园山水苑,content,high,宜都市,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001757,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,生活噪声,高音喇叭噪声,西陵区二马路,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001746,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,商业噪声,商业经营噪声,当阳市凯旋名邸小区,content,high,当阳市,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001740,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,交通噪声,机动车噪声,西陵区滨江壹号小区,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001733,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,商业噪声,商业经营噪声,西陵区弘洋拉菲小镇,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001727,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,车辆乱停放,违规停车,西陵区吾悦广场,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001720,2024-12-31,Negative,0.3,2,0.5,urban_governance,service,小区管理,小区停车,西陵区,region,low,西陵区,中心城区,111.287,30.7,求助,2024年12345投诉数据_raw,region
20241231001721,2024-12-31,Very Negative,0.1,1,0.5,urban_operation,environment,生活噪声,邻里噪声,夷陵区萧氏茗邸小区,content,high,夷陵区,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001714,2024-12-31,Neutral,0.5,3,0.5,urban_operation,environment,公共设施异响噪声,物业设备噪声,伍家岗区,region,low,伍家岗区,中心城区,111.333,30.655,咨询,2024年12345投诉数据_raw,region
20241231001713,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,生活噪声,高音喇叭噪声,土寨院子饭店,content,medium,伍家岗区,中心城区,110.872986,31.138309,投诉,2024年12345投诉数据_raw,ok
20241231001706,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,我在山庄路等27路,content,medium,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001697,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,车辆乱停放,违规停车,西陵区西陵二路,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001695,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,生活噪声,高音喇叭噪声,宜昌市政府旁边的新建的满意楼,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001717,2024-12-31,Neutral,0.5,3,0.5,urban_operation,service,公交服务,公交线路问题,点军区塘上龙悦小区,content,high,点军区,中心城区,,,建议,2024年12345投诉数据_raw,miss
20241231001686,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,车辆乱停放,违规停车,现在路,content,medium,夷陵区,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001687,2024-12-31,Very Negative,0.1,1,0.7,urban_operation,environment,生活噪声,高音喇叭噪声,西陵区二马路和红星路,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001688,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,车辆乱停放,违规停车,伍家岗区东山大道福泰华府小区,content,high,伍家岗区,中心城区,111.313885,30.682564,投诉,2024年12345投诉数据_raw,ok
20241231001743,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,停车管理问题,私设停车场、停车位,高新区,region,low,高新区,高新区,111.305,30.69,投诉,2024年12345投诉数据_raw,region
20241231001665,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,车辆乱停放,违规停车,从伍家岗区张家店小区走河运路回河运小区,content,high,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001662,2024-12-31,Negative,0.3,2,0.5,urban_renewal,facility,小区建设,电动车充电问题,伍家区东山大道,content,high,伍家岗区,中心城区,111.30882,30.684813,投诉,2024年12345投诉数据_raw,ok
20241231001660,2024-12-31,Very Negative,0.1,1,0.5,urban_governance,facility,交通设施问题,停车场设施破损,伍家区九棠府小区,content,high,伍家岗区,中心城区,111.306724,30.680978,投诉,2024年12345投诉数据_raw,ok
20241231001653,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,道路设施问题,人行道破损,夷陵区罗河路,content,high,夷陵区,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001648,2024-12-31,Neutral,0.5,3,0.5,urban_operation,service,公交服务,公交线路问题,现夷陵长江大桥,content,medium,枝江市,县市,,,建议,2024年12345投诉数据_raw,miss
20241231001650,2024-12-31,Negative,0.3,2,0.5,urban_renewal,facility,小区建设,小区公共设施问题,西陵区,region,low,西陵区,中心城区,111.287,30.7,投诉,2024年12345投诉数据_raw,region
20241231001627,2024-12-31,Very Negative,0.1,1,0.7,urban_governance,facility,道路问题,道路通行问题,西陵区CBD小吃街道路,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001619,2024-12-31,Very Negative,0.1,1,0.5,urban_operation,service,公交服务,公交线路问题,您好！夷陵长江大桥,content,medium,点军区,中心城区,111.295118,30.68185,投诉,2024年12345投诉数据_raw,ok
20241231001631,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,停车管理问题,私设停车场、停车位,西陵区,region,low,西陵区,中心城区,111.287,30.7,投诉,2024年12345投诉数据_raw,region
20241231001608,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,车辆乱停放,违规停车,伍家岗区,region,low,伍家岗区,中心城区,111.333,30.655,投诉,2024年12345投诉数据_raw,region
20241231001602,2024-12-31,Very Negative,0.1,1,0.7,urban_operation,service,公交服务,公交线路问题,我在点军区政务服务中心公交站,content,high,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001601,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,我12月31日17:15分在点军区二十七中学门口等27路,content,high,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001598,2024-12-31,Neutral,0.5,3,0.5,urban_operation,service,学区学籍,初中入学问题,枝江市,region,low,枝江市,县市,111.759,30.426,咨询,2024年12345投诉数据_raw,region
20241231001599,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,点军区二十七中学的门口27路,content,high,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001594,2024-12-31,Negative,0.3,2,0.5,urban_governance,service,小区管理,小区停车,我要投诉伍家岗宜昌国际广场的比亚迪4S店,content,medium,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001753,2024-12-31,Neutral,0.5,3,0.5,urban_governance,service,街面秩序管理问题,电子显示屏、景观灯、施工场地灯光等光污染,伍家区灯塔广场,content,high,伍家岗区,中心城区,111.306724,30.680978,建议,2024年12345投诉数据_raw,ok
20241231001758,2024-12-31,Negative,0.3,2,0.5,urban_governance,environment,垃圾清理及环卫设施问题,路面不洁、积灰、积油,夷陵广场这边道路,content,medium,西陵区,中心城区,111.293779,30.702559,投诉,2024年12345投诉数据_raw,ok
20241231001587,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,只能乘坐27路,content,medium,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001585,2024-12-31,Neutral,0.5,3,0.5,urban_operation,service,公交服务,公交线路问题,建议555路,content,medium,西陵区,中心城区,,,建议,2024年12345投诉数据_raw,miss
20241231001574,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,交通设施问题,交通信号灯破损,夷陵区梅子垭路和锦江大道,content,high,夷陵区,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001562,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,交通设施问题,交通信号灯破损,多从西陵区香山总部鑫苑走西陵二路,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001553,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,2024年12月27中站等往紫阳方向27路,content,medium,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001548,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,点军区,region,low,点军区,中心城区,111.268,30.67,投诉,2024年12345投诉数据_raw,region
20241231001542,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,2024年12月31日17：30左右在北山坡BRT站,content,medium,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001541,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,道路问题,道路通行问题,城东大道（中南路往胜利三路方向）与港窑路十字路,content,medium,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001531,2024-12-31,Neutral,0.5,3,0.5,urban_operation,service,公交服务,公交线路问题,夷陵长江大桥,content,medium,点军区,中心城区,111.295118,30.68185,建议,2024年12345投诉数据_raw,ok
20241231001526,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,山庄路到点军区紫阳的27路,content,high,点军区,中心城区,111.261107,30.73578,投诉,2024年12345投诉数据_raw,ok
20241231001522,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,商业噪声,商业经营噪声,绿萝路,content,medium,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001523,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,我在西陵区现代城市广场,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001580,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,2月31日晚上六点在点军区李家河换乘中心等到五龙方向的545路,content,high,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001535,2024-12-31,Negative,0.3,2,0.5,urban_renewal,facility,小区建设,地下停车场设施缺失,西陵区白龙井路,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001505,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,李家河BRT站等往江南创科园方向的552-1路,content,medium,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001485,2024-12-31,Negative,0.3,2,0.5,urban_renewal,facility,住房房产,房屋防水问题,顶楼,content,medium,夷陵区,县市,,,投诉,2024年12345投诉数据_raw,miss
20241231001484,2024-12-31,Negative,0.3,2,0.5,urban_operation,service,公交服务,公交线路问题,我于12月31日下午5点左右在点军区磨基山(公交站)等27路,content,high,点军区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001471,2024-12-31,Very Negative,0.1,1,0.7,urban_renewal,environment,施工管理问题,不文明施工（无围挡、物料乱堆、工地扬尘、存在安全隐患）,伍家岗区,region,low,伍家岗区,中心城区,111.333,30.655,投诉,2024年12345投诉数据_raw,region
20241231001525,2024-12-31,Negative,0.3,2,0.5,urban_governance,facility,交通设施问题,停车场设施破损,7:30分左右将车牌号为鄂EDE1593的车辆停在虾皇(伍临路,content,medium,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001458,2024-12-31,Negative,0.3,2,0.5,urban_governance,environment,垃圾清理及环卫设施问题,暴露生活垃圾,伍家岗汉宜村,content,medium,伍家岗区,中心城区,111.323683,30.674206,投诉,2024年12345投诉数据_raw,ok
20241231001450,2024-12-31,Neutral,0.5,3,0.5,urban_governance,facility,民航,机场服务问题,点军区,region,low,点军区,中心城区,111.268,30.67,咨询,2024年12345投诉数据_raw,region
20241231001446,2024-12-31,Negative,0.3,2,0.5,urban_renewal,environment,施工管理问题,不文明施工（无围挡、物料乱堆、工地扬尘、存在安全隐患）,伍家岗区大公桥,content,high,伍家岗区,中心城区,111.298275,30.6876,投诉,2024年12345投诉数据_raw,ok
20241231001461,2024-12-31,Very Negative,0.1,1,0.5,urban_renewal,environment,施工管理问题,不文明施工（无围挡、物料乱堆、工地扬尘、存在安全隐患）,伍家岗胜利四路至胜利三路沿江大道附近（大公桥,content,medium,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001428,2024-12-31,Neutral,0.5,3,0.5,urban_operation,service,公交服务,公交线路问题,场到点军区土城乡镇,content,high,西陵区,中心城区,111.113697,30.653596,咨询,2024年12345投诉数据_raw,ok
20241231001413,2024-12-31,Very Negative,0.1,1,0.7,urban_renewal,environment,施工管理问题,不文明施工（无围挡、物料乱堆、工地扬尘、存在安全隐患）,映伍家岗区银海丽景小区旁边楼,content,high,伍家岗区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
20241231001404,2024-12-31,Neutral,0.5,3,0.5,urban_governance,service,小区管理,小区停车,西陵区窑湾乡望州村,content,high,西陵区,中心城区,,,咨询,2024年12345投诉数据_raw,miss
20241231001463,2024-12-31,Negative,0.3,2,0.5,urban_operation,environment,商业噪声,商业设备噪声,西陵区白龙岗小区,content,high,西陵区,中心城区,,,投诉,2024年12345投诉数据_raw,miss
