id_e,scope,location_mentioned,text,keywords,text_length,relevance,relevance_category,primary_emotion,emotion_intensity,urban_value,l1_confidence,has_location,like_count,comment_count,tags,source,url,crawl_time,publish_time,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,规划范围,夷陵大道,住在锦绣社区门口，路灯被占了真是受够了,"受够了,锦绣,路灯,社区,门口",19,relevant,民生,怀念,4,high,0.74,True,55,4,民生关注,weibo,https://weibo.com/8272268168/e2b97f59,2026-06-13T12:00:00.000000,2026-03-22T07:16:07,111.31165339014808,30.69531633680043,529858.51,3397236.46,夷陵中学,教育
e0002,规划范围,三峡大学,东山大道的渣土车半夜经过噪音大问题，已经持续大半年了,"渣土,大半年,东山,噪音,半夜",26,relevant,环境,怀念,3,low,0.87,True,5,2,周边环境,meituan,https://www.meituan.com/meishi/521212970/,2026-06-13T12:00:00.000000,2026-06-08T20:01:20,111.33338031454942,30.71443141554381,531933.81,3399361.64,夷陵大道-港窑段,次级商圈
e0003,规划范围,锦绣社区,水悦城星巴克那边空气有异味,"星巴克,水悦城,异味,那边,空气",13,relevant,城市,愤怒,1,medium,0.81,True,5,1,宜昌环境|城市生活|身边事,weibo,https://weibo.com/5836495657/8d210ba0,2026-06-13T12:00:00.000000,2026-06-03T19:53:22,111.28608826691124,30.695165287363103,527409.23,3397213.19,滨江公园-双亭,沿江休闲
e0004,规划范围,三峡大学,三峡大学沁苑红绿灯被占了，打12345有用吗,"有用吗,沁苑,12345,红绿灯,三峡",22,relevant,民生,怀念,5,medium,0.95,True,1,2,民生,xiaohongshu,https://www.xiaohongshu.com/explore/af81ceefeed126439cc4c37f,2026-06-13T12:00:00.000000,2026-05-30T09:41:36,111.29094209412682,30.707238277575527,527870.79,3398552.86,西陵一路商区,次级商圈
e0005,规划范围,国贸大厦,住在东山大道长途站，下水道没人管真是受够了,"受够了,没人管,下水道,东山,长途",21,relevant,城市,愤怒,2,medium,0.7,True,5,5,民生关注|城市设施,weibo,https://weibo.com/5276956928/a5688b9d,2026-06-13T12:00:00.000000,2026-05-31T01:22:35,111.32084512560503,30.7047616130147,530736.15,3398286.09,三峡职业技术学院,教育
e0006,规划范围,云集路,体育场路加油站河水发臭了，大家有没有同感,"发臭,同感,加油站,体育场,河水",20,relevant,城市,好奇,5,high,0.86,True,21,4,身边事|宜昌环境|城市生活,weibo,https://weibo.com/8347912132/ecc5aa54,2026-06-13T12:00:00.000000,2026-03-25T10:05:50,111.30279819723847,30.705396620868076,529007.1,3398351.69,CBD中央商务区,核心商圈
e0007,规划范围,均瑶广场,吐槽体育场路加油站的减速带，早该换了,"减速带,吐槽,早该,加油站,体育场",18,relevant,设施,好奇,1,low,0.72,True,23,1,基础设施,meituan,https://www.meituan.com/meishi/268622909/,2026-06-13T12:00:00.000000,2026-05-31T15:14:42,111.30002522163997,30.70845289232052,528740.55,3398689.81,东门外,社区
e0008,规划范围,绿萝路,中建之星的银行办事效率太低，大家有没有同感,"办事效率,同感,之星,太低,中建",21,relevant,社区,愤怒,3,medium,0.77,True,4,4,便民|生活服务|社区|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/08d78bdac34a2b0e3f7a23e6,2026-06-13T12:00:00.000000,2026-03-20T00:39:08,111.31913386781501,30.68797647704725,530577.51,3396424.74,沿江大道东段社区,社区
e0009,规划范围,夷陵广场,沿江大道的环境问题：下水道反味,"反味,下水道,沿江,大道,环境",15,relevant,城市,喜爱,2,low,0.72,True,5,0,城市|生活,xiaohongshu,https://www.xiaohongshu.com/explore/fdcd7ca0e0eea4dcb10ab67e,2026-06-13T12:00:00.000000,2026-04-30T15:39:28,111.30684183061204,30.694613362776295,529397.74,3397157.25,胜利四路社区,社区
e0010,规划范围,白龙岗小区,住在磨基山森林公园附近，空气有异味，快受不了了,"基山,异味,森林公园,受不了,空气",23,relevant,城市,中性,4,high,0.86,True,32,5,城市生活|身边事,weibo,https://weibo.com/1679440556/b1b8d191,2026-06-13T12:00:00.000000,2026-06-03T14:09:36,111.30501989415,30.70034140211914,529221.46,3397791.82,胜利四路社区,社区
e0011,规划范围,均瑶广场,东山公园山顶的绿化带被破坏了影响了周边居民生活,"绿化带,东山,山顶,周边,公园",23,relevant,城市,愤怒,4,medium,0.86,True,36,3,宜昌环境|身边事|城市生活,weibo,https://weibo.com/2502492232/2fd664c7,2026-06-13T12:00:00.000000,2026-05-23T20:00:44,111.3300936406038,30.704961308661034,531622.08,3398310.8,三峡职业技术学院,教育
e0012,规划范围,夷陵大道,每天路过东山大道长途站，消防设施需要增加太危险了,"消防设施,东山,长途,路过,大道",24,relevant,设施,怀念,3,high,0.85,True,11,0,公共设施,dianping,https://www.dianping.com/review/78587600,2026-06-13T12:00:00.000000,2026-03-22T19:27:50,111.30662971865547,30.710288215279945,529372.67,3398894.99,绿萝路,社区
