id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0001,xiling_wujia,dianping,2025-09-19T21:30:43+08:00,2025-09-19T21:30:43+08:00,磨基山公园绿化做得漂亮,"磨基山,绿化,公园,漂亮",11,urban_renewal,environment,喜爱,5,positive,0.63,high,0.85,True,宜昌,relevant,科教文化服务,8,0,文化宫,,T2,宜昌市工人文化宫,ermalu,111.28714702127245,30.695698011694994,527510.52,3397272.51,宜昌市工人文化宫,科教文化服务
e0002,xiling_wujia,xiaohongshu,2025-09-27T00:11:17+08:00,2025-09-27T00:11:17+08:00,没什么亮点,"亮点,没什么",5,urban_renewal,facility,好奇,2,neutral,0.49,high,0.94,True,宜昌,relevant,政府机构及社会团体,0,2,地市级政府及事业单位,,T2,宜昌市人民政府,ermalu,111.2809349970127,30.694143005592846,526915.79,3397098.61,宜昌市人民政府,政府机构及社会团体
e0003,xiling_wujia,xiaohongshu,2025-09-15T07:03:47+08:00,2025-09-15T07:03:47+08:00,停车场收费贵还找不到位，真坑,"真坑,停车场,收费,到位",14,urban_operation,facility,愤怒,4,negative,0.79,low,0.98,True,宜昌,relevant,风景名胜,1,0,公园,,T2,滨江公园,ermalu,111.28127975100027,30.69293975141621,526949.16,3396965.29,滨江公园,风景名胜
e0004,xiling_wujia,weibo,2025-09-25T16:59:37+08:00,2025-09-25T16:59:37+08:00,活动结束垃圾满地没人扫，太乱,"太乱,满地,垃圾,没人,结束",14,urban_operation,event,失望,4,negative,0.63,low,0.86,True,宜昌,relevant,休闲娱乐,1,7,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,111.28131234137462,30.693366378600565,526952.16,3397012.6,Nine.籁Whisky&cocktail bar,休闲娱乐
e0005,xiling_wujia,dianping,2025-09-19T15:16:51+08:00,2025-09-19T15:16:51+08:00,物业服务到位，响应及时,"服务到位,响应,物业,及时",11,urban_operation,service,喜爱,4,positive,0.7,low,0.87,True,宜昌,relevant,体育休闲服务,3,0,诊所,,T2,刘勇中医诊所,ermalu,111.27906498781726,30.69588244666313,526736.15,3397291.0,刘勇中医诊所,体育休闲服务
e0006,xiling_wujia,xiaohongshu,2025-09-21T04:54:25+08:00,2025-09-21T04:54:25+08:00,这家店服务态度差，不会再来了,"服务态度,再来,这家,不会",14,urban_planning,service,失望,4,negative,0.89,high,0.9,True,宜昌,relevant,购物服务,0,0,步行街,,T2,宜昌解放路步行街,ermalu,111.28106331555404,30.70015941594598,526926.42,3397765.65,宜昌解放路步行街,购物服务
e0007,xiling_wujia,xiaohongshu,2025-09-21T08:37:22+08:00,2025-09-21T08:37:22+08:00,普通,普通,10,urban_operation,culture,好奇,5,neutral,0.94,medium,0.95,True,宜昌,relevant,餐饮服务,7,8,中餐厅,,T2,瑜儿腊货馆@埋点,ermalu,111.2840444682433,30.69473164838519,527213.54,3397164.62,瑜儿腊货馆,餐饮服务
e0008,xiling_wujia,dianping,2025-09-28T13:07:52+08:00,2025-09-28T13:07:52+08:00,普通,普通,2,urban_operation,facility,好奇,1,neutral,0.37,medium,0.81,True,宜昌,relevant,住宿服务,2,1,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.28128955577164,30.698594821354227,526948.53,3397592.24,宜昌丽锦快捷假日酒店,住宿服务
e0009,xiling_wujia,xiaohongshu,2025-10-01T18:31:14+08:00,2025-10-01T18:31:14+08:00,这条路坑坑洼洼半年没人修,"没人修,坑坑洼洼,半年,这条,银杏",12,urban_operation,facility,失望,5,negative,0.77,high,0.85,True,宜昌,relevant,购物服务,1,2,步行街,,T2,恒大步行街,ermalu,111.27806669244629,30.698830773766083,526639.7,3397617.63,恒大步行街,购物服务
e0010,xiling_wujia,meituan,2025-09-27T20:45:45+08:00,2025-09-27T20:45:45+08:00,普通水平,"普通,水平",11,urban_renewal,service,好奇,4,neutral,0.87,medium,0.93,True,宜昌,relevant,休闲娱乐,4,4,网吧,,T2,二马路历史文化街区@埋点,ermalu,111.28106727242694,30.695491007597873,526928.09,3397248.09,奥汀电竞,休闲娱乐
