id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e0001,xiling_wujia,weibo,2026-05-03T15:34:44+08:00,2026-05-03T15:34:44+08:00,这片城区配套越来越完善了,"这片,城区,配套,完善,越来越",12,urban_operation,event,期待,1.0,positive,1.0,medium,0.902,True,宜昌,relevant,体育休闲服务,14,4,口腔医院,,T3,宜昌牙管家口腔(隆康路总院),ermalu,general,111.2873,30.6954,527529.1,3.3972445e+06,宜昌牙管家口腔(隆康路总院),体育休闲服务,0.94,Very Positive,0.12,期待建议,期待建议,,
e0002,xiling_wujia,dianping,2026-05-01T15:26:21+08:00,2026-05-01T15:26:21+08:00,国庆活动办得热闹喜庆,"办得,喜庆,热闹,国庆,活动",10,urban_operation,event,满足,0.92,positive,0.92,medium,0.863,True,宜昌,relevant,体育休闲服务,2,13,口腔医院,,T3,宜昌牙管家口腔(隆康路总院),ermalu,general,111.2879,30.6951,527581.6,3.397202e+06,宜昌牙管家口腔(隆康路总院),体育休闲服务,0.86,Very Positive,0.1,喜悦满意,喜悦满意,,
e0003,xiling_wujia,weibo,2026-05-04T02:16:11+08:00,2026-05-04T02:16:11+08:00,二马路施工围挡还在，走路不方便,"二马路,围挡,走路,施工,方便",15,urban_governance,service,愤怒,0.86,negative,0.86,low,0.966,True,宜昌,relevant,政府机构及社会团体,9,0,地市级政府及事业单位,,T3,宜昌市人民政府,ermalu,ermalu_oldstreet,111.2815,30.695,526965.25,3.3971978e+06,宜昌市人民政府,政府机构及社会团体,0.17,Very Negative,0.15,不满抱怨,不满抱怨,,
e0004,xiling_wujia,weibo,2026-05-05T08:54:17+08:00,2026-05-05T08:54:17+08:00,剧院演出水准很高，推荐,"水准,剧院,演出,推荐",14,urban_renewal,culture,满足,1.0,positive,1.0,medium,0.958,True,宜昌,relevant,科教文化服务,11,6,中学,,T3,瑜儿腊货馆@埋点,ermalu,ermalu_oldstreet,111.2845,30.6947,527261.44,3.397162e+06,宜昌市五中,科教文化服务,0.99,Very Positive,0.11,喜悦满意,喜悦满意,,
e0005,xiling_wujia,meituan,2026-05-01T20:39:50+08:00,2026-05-01T20:39:50+08:00,二马路那边人挺多的,"二马路,那边",9,urban_operation,event,中性,0.26,neutral,0.26,high,0.943,True,宜昌,relevant,休闲娱乐,4,3,迪厅,,T3,夜上海舞厅,ermalu,ermalu_oldstreet,111.2797,30.6971,526794.56,3.397431e+06,夜上海舞厅,休闲娱乐,0.53,Neutral,0.09,其他,其他,,
e0006,xiling_wujia,12345,2026-05-06T06:16:02+08:00,2026-05-06T06:16:02+08:00,便利店 24 小时营业，方便,"24,便利店,营业,方便,小时",14,urban_planning,service,满足,0.82,positive,0.82,medium,0.99,True,宜昌,relevant,餐饮服务,3,2,特色/地方风味餐厅,,T3,花果牛魔王高品质烤牛肉@埋点,ermalu,ermalu_oldstreet,111.2807,30.6968,526890.3,3.3973958e+06,花果牛魔王高品质烤牛肉,餐饮服务,0.81,Very Positive,0.14,喜悦满意,喜悦满意,,
e0007,xiling_wujia,dianping,2026-05-05T09:23:23+08:00,2026-05-05T09:23:23+08:00,节日人多拥挤差点出事,"人多,出事,拥挤,差点,节日",10,urban_operation,event,失望,0.8,negative,0.8,high,0.985,True,宜昌,relevant,餐饮服务,13,1,中餐厅,,T3,瑜儿腊货馆,ermalu,ermalu_oldstreet,111.2833,30.6955,527146.44,3.3972468e+06,瑜儿腊货馆,餐饮服务,0.2,Very Negative,0.1,不满抱怨,不满抱怨,,
e0008,xiling_wujia,meituan,2026-05-03T05:19:12+08:00,2026-05-03T05:19:12+08:00,二马路开街后人气回来了，热闹得像过年,"开街,二马路,过年,人气,热闹",18,urban_operation,service,期待,0.5,positive,0.5,high,0.928,True,宜昌,relevant,住宿服务,0,1,宾馆酒店,,T3,宜昌丽锦快捷假日酒店,ermalu,ermalu_oldstreet,111.2815,30.6977,526968.75,3.3974922e+06,宜昌丽锦快捷假日酒店,住宿服务,0.65,Positive,0.18,其他,其他,,
e0009,xiling_wujia,12345,2026-05-04T12:58:06+08:00,2026-05-04T12:58:06+08:00,这家老字号味道正宗，强烈推荐,"老字号,强烈推荐,正宗,味道,这家",14,urban_operation,service,满足,0.9,positive,0.9,low,0.855,True,宜昌,relevant,购物服务,14,4,步行街,,T3,宜昌解放路步行街,ermalu,ermalu_oldstreet,111.2798,30.7016,526801.75,3.39792e+06,宜昌解放路步行街,购物服务,0.85,Very Positive,0.14,怀旧认同,怀旧认同,,
e0010,xiling_wujia,weibo,2026-05-06T01:25:59+08:00,2026-05-06T01:25:59+08:00,大南门改造完很有老宜昌味道，喜欢,"大南门,宜昌,味道,改造,喜欢",10,urban_operation,service,期待,0.76,positive,0.76,high,0.958,True,宜昌,relevant,购物服务,4,2,特色商业街,,T3,二马路历史文化街区@埋点,ermalu,ermalu_oldstreet,111.2805,30.6958,526877.06,3.3972835e+06,二马路历史文化街区,购物服务,0.78,Positive,0.16,期待建议,期待建议,,
