id,POI名称,百度一级分类,百度二级分类,区域,X_北向_米,Y_东向_米,domain,element,采样权重,影响半径(米),地址提示
yc_poi_000,解放路步行街,购物,步行街/商业街,西陵-解放路,3407200,528000,urban_operation,service,2.0,300,西陵区解放路步行街中心
yc_poi_001,夷陵广场,休闲娱乐,休闲广场,西陵-夷陵广场,3407800,528500,urban_operation,event,1.8,300,西陵区夷陵广场
yc_poi_002,铁路坝商圈,购物,百货商场,西陵-铁路坝,3408000,529800,urban_operation,service,1.5,300,西陵区铁路坝
yc_poi_003,CBD 万达广场,购物,购物中心,西陵-CBD,3408800,530800,urban_operation,event,2.2,300,西陵区沿江大道万达广场
yc_poi_004,兴发广场,购物,购物中心,西陵-兴发,3408000,529200,urban_operation,service,1.4,300,西陵区兴发广场
yc_poi_005,卓悦广场,购物,购物中心,西陵-卓悦,3408200,529600,urban_operation,service,1.0,300,西陵区卓悦广场
yc_poi_006,水悦城,购物,购物中心,西陵-水悦城,3408600,530400,urban_operation,service,1.2,300,西陵区水悦城
yc_poi_007,太古里（西陵）,购物,购物中心,西陵-太古里,3409200,531200,urban_operation,service,1.0,300,西陵区太古里
yc_poi_008,伍家岗万达,购物,购物中心,伍家-万达,3411500,537000,urban_operation,service,1.6,300,伍家岗区万达广场
yc_poi_009,国贸大厦,购物,百货商场,西陵-国贸,3407900,528800,urban_operation,service,1.3,300,西陵区国贸大厦
yc_poi_010,大洋百货,购物,百货商场,西陵-大洋,3407700,528700,urban_operation,service,1.2,300,西陵区大洋百货
yc_poi_011,新世纪百货,购物,百货商场,西陵-新世纪,3407500,528400,urban_operation,service,1.0,300,西陵区新世纪百货
yc_poi_012,雅斯百货（CBD 店）,购物,百货商场,西陵-雅斯,3408900,530900,urban_operation,service,0.9,300,西陵区雅斯百货
yc_poi_013,雅斯广场（伍家店）,购物,购物中心,伍家-雅斯,3411500,536500,urban_operation,service,1.1,300,伍家岗区雅斯广场
yc_poi_014,北山超市（CBD）,购物,超市,西陵-北山,3408800,530700,urban_operation,service,0.7,300,西陵区北山超市
yc_poi_015,东方超市（伍家）,购物,超市,伍家-东方,3411600,536800,urban_operation,service,0.7,300,伍家岗区东方超市
yc_poi_016,悦活里超市,购物,超市,西陵-悦活里,3408200,529900,urban_operation,service,0.5,300,西陵区悦活里
yc_poi_017,二马路（主街）,道路,城市支路,西陵-二马路,3406500,524800,urban_renewal,culture,2.5,300,西陵区二马路
yc_poi_018,大南门,旅游景点,文物古迹,西陵-大南门,3406300,524200,urban_renewal,culture,2.0,300,西陵区大南门
yc_poi_019,红星路,道路,城市支路,西陵-红星路,3406700,525500,urban_renewal,culture,1.5,300,西陵区红星路
yc_poi_020,献福路,道路,城市支路,西陵-献福路,3406600,524600,urban_renewal,culture,1.4,300,西陵区献福路
yc_poi_021,樵湖岭,生活服务,公用事业,西陵-樵湖岭,3407000,525000,urban_renewal,facility,1.3,300,西陵区樵湖岭
yc_poi_022,文庙（西陵）,旅游景点,文物古迹,西陵-文庙,3406500,524500,urban_renewal,culture,1.8,300,西陵区文庙
yc_poi_023,古佛寺,旅游景点,寺庙,西陵-古佛寺,3406800,525200,urban_renewal,culture,1.2,300,西陵区古佛寺
yc_poi_024,西陵剧场,休闲娱乐,剧院,西陵-二马路,3406400,524400,urban_renewal,culture,1.1,300,西陵区二马路西陵剧场
yc_poi_025,二马路老茶馆（老字号）,美食,茶座,西陵-二马路,3406550,524700,urban_renewal,culture,1.6,300,西陵区二马路老茶馆
yc_poi_026,九码头（老字号）,美食,中餐厅,西陵-二马路,3406450,524900,urban_renewal,culture,1.5,300,西陵区二马路九码头
yc_poi_027,陶然居（二马路店）,美食,中餐厅,西陵-二马路,3406500,524600,urban_renewal,culture,1.0,300,西陵区二马路陶然居
yc_poi_028,老宜昌（老字号）,美食,中餐厅,西陵-二马路,3406450,524500,urban_renewal,culture,1.2,300,西陵区二马路老宜昌
yc_poi_029,宜昌市民中心,政府机构,各级政府,西陵-市民中心,3407700,528500,urban_governance,service,0.8,300,西陵区市民中心
yc_poi_030,西陵区政府,政府机构,各级政府,西陵-政府,3407600,528300,urban_governance,facility,0.6,300,西陵区西陵区政府
yc_poi_031,伍家岗区政府,政府机构,各级政府,伍家-政府,3412000,536500,urban_governance,facility,0.6,300,伍家岗区伍家岗区政府
yc_poi_032,宜昌市规划局,政府机构,行政单位,西陵-规划,3407800,528700,urban_planning,facility,0.4,300,西陵区规划局
yc_poi_033,宜昌市住建局,政府机构,行政单位,西陵-住建,3407750,528600,urban_renewal,facility,0.4,300,西陵区住建局
yc_poi_034,宜昌市城管委,政府机构,行政单位,西陵-城管,3407700,528900,urban_governance,facility,0.5,300,西陵区城管委
yc_poi_035,宜昌市公安局,政府机构,公检法机构,西陵-公安,3407800,529000,urban_governance,facility,0.4,300,西陵区公安局
yc_poi_036,12345 政务服务热线,政府机构,行政单位,西陵-12345,3407700,528500,urban_governance,service,0.3,300,西陵区12345受理中心
yc_poi_037,西陵区市民服务中心,政府机构,行政单位,西陵-二马路,3406800,524700,urban_governance,service,0.5,300,西陵区市民服务中心（樵湖岭）
yc_poi_038,宜昌市中心医院,医疗,综合医院,西陵-中心医院,3408800,529500,urban_governance,service,0.9,300,西陵区中心医院
yc_poi_039,宜昌市第一人民医院,医疗,综合医院,西陵-一医院,3407300,527500,urban_governance,service,0.8,300,西陵区一医院
yc_poi_040,宜昌市第二人民医院,医疗,综合医院,西陵-二医院,3407200,526800,urban_governance,service,0.7,300,西陵区二医院
yc_poi_041,宜昌市中医医院,医疗,专科医院,西陵-中医院,3408300,528900,urban_governance,service,0.6,300,西陵区中医院
yc_poi_042,伍家医院,医疗,综合医院,伍家-医院,3411800,536000,urban_governance,service,0.6,300,伍家岗区伍家医院
yc_poi_043,三峡大学附属仁和医院,医疗,综合医院,西陵-仁和,3409600,528200,urban_governance,service,0.5,300,西陵区仁和医院
yc_poi_044,西陵区疾控中心,医疗,疾控中心,西陵-疾控,3407650,528400,urban_governance,service,0.3,300,西陵区疾控中心
yc_poi_045,三峡大学,教育培训,高等院校,西陵-三大学,3409500,528000,urban_operation,service,1.2,300,西陵区三峡大学
